s t h tm
0 1 0 0.108925518978
0 1 1 0.0203400547656
0 2 0 0.0927767311946
0 2 1 3.74183914458e-05
0 3 0 0.0163853403619
0 3 1 0.0473098013311
0 4 0 0.0138193482137
0 4 1 0.00995062342728
0 5 0 0.0185486267659
0 5 1 0.0157607563071
0 6 0 0.0123567203747
0 6 1 0.0371348177613
0 7 0 0.0676187822121
0 7 1 0.0200160959699
0 8 0 0.0673555346072
0 8 1 0.0439052781138
0 9 0 0.00709106811967
0 9 1 0.0922694833123
0 10 0 0.036891136344
0 10 1 0.00485028660103
0 11 0 0.0643740643008
0 11 1 0.000925004371236
1 0 0 0.013568003488
1 0 1 0.00603549950602
1 2 0 0.00254918877394
1 2 1 0.00501037097806
1 3 0 0.00268573600422
1 3 1 0.00250212847278
1 4 0 0.000833529263267
1 4 1 0.00110249581173
1 5 0 0.00116074227054
1 5 1 0.00163370052246
1 6 0 0.0037441082247
1 6 1 0.000286896115304
1 7 0 0.00231449081996
1 7 1 0.00482322579904
1 8 0 0.00607413371415
1 8 1 0.00298787639585
1 9 0 0.000413132238199
1 9 1 0.0076796211718
1 10 0 0.00240039690172
1 10 1 0.000999373309284
1 11 0 0.00289500293165
1 11 1 0.00242349875835
2 0 0 0.0202329577629
2 0 1 0.0432826244481
2 1 0 0.0203767628884
2 1 1 0.0137355991716
2 3 0 0.00936292847593
2 3 1 0.00744581396007
2 4 0 0.00360629395146
2 4 1 0.00266645025454
2 5 0 0.00703261925813
2 5 1 0.00202140853587
2 6 0 0.00127102336722
2 6 1 0.0117894785038
2 7 0 0.0133393581957
2 7 1 0.00978692830934
2 8 0 0.029240464786
2 8 1 0.000120555451045
2 9 0 0.0166178741489
2 9 1 0.00960274288612
2 10 0 0.00110891665425
2 10 1 0.00990637915275
2 11 0 0.00525691893447
2 11 1 0.0119750896215
3 0 0 0.00976473504172
3 0 1 0.00898385740428
3 1 0 0.0042579958644
3 1 1 0.0058113249446
3 2 0 0.00706832789321
3 2 1 0.000161558770789
3 4 0 0.000826373865349
3 4 1 0.00102522098065
3 5 0 0.000376856640983
3 5 1 0.00229572024802
3 6 0 0.00100652845162
3 6 1 0.00284868342238
3 7 0 0.00488093929036
3 7 1 0.00194550085864
3 8 0 0.00607936164442
3 8 1 0.00258745338058
3 9 0 0.0011685555246
3 9 1 0.0065712721734
3 10 0 0.00272307280554
3 10 1 0.000528433117465
3 11 0 0.00356732671685
3 11 1 0.00151923463015
4 0 0 0.0119401550763
4 0 1 0.235907907714
4 1 0 0.130649967817
4 1 1 0.00246197982406
4 2 0 0.0569167948774
4 2 1 0.0386590948376
4 3 0 0.0449563694209
4 3 1 0.0206340590321
4 5 0 0.0142215280402
4 5 1 0.0211087510978
4 6 0 0.0370317815102
4 6 1 0.0139324067288
4 7 0 0.0521461260026
4 7 1 0.0380963800124
4 8 0 0.0205968866575
4 8 1 0.0939745576055
4 9 0 0.0294057016379
4 9 1 0.0729113819961
4 10 0 0.0100874997554
4 10 1 0.0328959640136
4 11 0 0.0161821177548
4 11 1 0.0510599634772
5 0 0 0.0362972957331
5 0 1 0.0326470378859
5 1 0 0.000514662237246
5 1 1 0.0365133234708
5 2 0 0.0119086578119
5 2 1 0.0146778563301
5 3 0 0.016488989186
5 3 1 0.00175641620701
5 4 0 0.000990213600367
5 4 1 0.00581866942063
5 6 0 0.00162687479417
5 6 1 0.0125499235108
5 7 0 0.00141820204592
5 7 1 0.0236847153271
5 8 0 0.00205564122454
5 8 1 0.0298148998945
5 9 0 0.00806779804474
5 9 1 0.0203939259223
5 10 0 0.00178095682207
5 10 1 0.0101758292539
5 11 0 0.00384687595815
5 11 1 0.0148579726068
6 0 0 0.00123409262701
6 0 1 0.00438043773599
6 1 0 0.00289382700922
6 1 1 0.000121573083784
6 2 0 0.00105837779952
6 2 1 0.00110671370348
6 3 0 0.000112896818014
6 3 1 0.00137293061999
6 4 0 0.000160031838889
6 4 1 0.000394454345111
6 5 0 0.000617900798561
6 5 1 0.000182440034439
6 7 0 0.00027807264662
6 7 1 0.00176620110838
6 8 0 0.000168636652061
6 8 1 0.00242676330894
6 9 0 0.00094724821844
6 9 1 0.00137055231756
6 10 0 0.000516727467065
6 10 1 0.000456981827935
6 11 0 0.00107973964764
6 11 1 0.000443502868365
7 0 0 0.0503437247748
7 0 1 0.00537260295519
7 1 0 0.0109567175564
7 1 1 0.0189668929656
7 2 0 0.0104264138065
7 2 1 0.0110590782915
7 3 0 0.00385392458833
7 3 1 0.0108908257497
7 4 0 0.00377634830714
7 4 1 0.00172614824286
7 5 0 0.000610119130379
7 5 1 0.00733213948162
7 6 0 0.00256185370707
7 6 1 0.00889491291993
7 8 0 0.0128964592974
7 8 1 0.0128592398406
7 9 0 0.00953165758355
7 9 1 0.0134692571705
7 10 0 0.00502899168443
7 10 1 0.00463370540257
7 11 0 0.00431754627523
7 11 1 0.0107984961618
8 0 0 0.036836848121
8 0 1 0.030760919789
8 1 0 0.0217967521794
8 1 1 0.0145080324596
8 2 0 0.0213188019653
8 2 1 0.00474844559772
8 3 0 0.00405675977558
8 3 1 0.0138322909184
8 4 0 0.00453039726205
8 4 1 0.00214550008895
8 5 0 0.0064953705175
8 5 1 0.0031405652345
8 6 0 0.0101955873681
8 6 1 0.00370432102594
8 7 0 0.0197098449968
8 7 1 0.00490278222516
8 9 0 0.0181112613409
8 9 1 0.00979457094611
8 10 0 0.00325390715272
8 10 1 0.00846934851928
8 11 0 0.00599018782537
8 11 1 0.0123493325636
9 0 0 0.0146931843163
9 0 1 0.0974165039227
9 1 0 0.0360908291198
9 1 1 0.0241200064342
9 2 0 0.0242673392526
9 2 1 0.0189647242894
9 3 0 0.0201780150294
9 3 1 0.00949065537562
9 4 0 0.00427619522107
9 4 1 0.00679566105193
9 5 0 0.0154347484369
9 5 1 0.000546278548092
9 6 0 0.0166493963806
9 6 1 0.00640335291436
9 7 0 0.0278596349648
9 7 1 0.0129599667762
9 8 0 0.0213545679803
9 8 1 0.0304697987427
9 10 0 0.018338490799
9 10 1 0.00110431891398
9 11 0 0.00214037065881
9 11 1 0.0282753956722
10 0 0 0.101118873711
10 0 1 0.026559138585
10 1 0 0.0644262617887
10 1 1 0.00414586541026
10 2 0 0.0476905642053
10 2 1 0.00154500166874
10 3 0 0.0309541317738
10 3 1 0.00283453470317
10 4 0 0.0122356928692
10 4 1 0.000373677682828
10 5 0 0.00494227826604
10 5 1 0.01325798428
10 6 0 0.0115951765315
10 6 1 0.0146588364285
10 7 0 0.0442440400243
10 7 1 0.00224405297467
10 8 0 0.0146639410329
10 8 1 0.0443571144671
10 9 0 0.0180061255349
10 9 1 0.0347021414391
10 11 0 0.0296286436292
10 11 1 0.00501086566385
11 0 0 0.011279897745
11 0 1 0.00276107109499
11 1 0 0.00514750498212
11 1 1 0.00239348883488
11 2 0 0.00173106797477
11 2 1 0.00368345120423
11 3 0 0.00209153610584
11 3 1 0.00162426119216
11 4 0 0.000200148302475
11 4 1 0.00118652568952
11 5 0 0.00178900406842
11 5 1 0.000212509854579
11 6 0 0.00254274139695
11 6 1 0.000344457200052
11 7 0 0.00132550777858
11 7 1 0.00378686712042
11 8 0 0.000886943803744
11 8 1 0.00560370236426
11 9 0 0.0031721021031
11 9 1 0.0026243159399
11 10 0 0.0024063109182
11 10 1 2.87675268045e-05
