s t h tm
0 1 0 0.00169540350273
0 1 1 0.0326129533613
0 2 0 0.0102933926927
0 2 1 0.0085357197923
0 3 0 0.00151581235301
0 3 1 0.00247563935099
0 4 0 0.0058357764759
0 4 1 0.0073752137341
0 5 0 0.000546497772869
0 5 1 0.000339469654131
0 6 0 8.7948342091e-05
0 6 1 0.0146195814889
0 7 0 0.0305065016065
0 7 1 0.00708859687148
0 8 0 0.000671124255293
0 8 1 0.0148694144437
0 9 0 0.000859563191715
0 9 1 0.000183803015285
0 10 0 0.00145848587757
0 10 1 0.00194198540743
0 11 0 0.018333114615
0 11 1 0.024047007251
0 12 0 0.00164940364796
0 12 1 0.000746458909039
0 13 0 0.00214714525763
0 13 1 0.0364003433014
0 14 0 0.0851363237375
0 14 1 0.0215424730275
0 15 0 0.00792396884196
0 15 1 0.025047614776
0 16 0 0.0147928014135
0 16 1 0.0225648048475
0 17 0 6.77243093807e-05
0 17 1 0.000374205278619
0 18 0 0.000253958887186
0 18 1 0.000468542829814
0 19 0 0.00291911498549
0 19 1 0.00157711398651
0 20 0 0.0396479676643
0 20 1 0.00340482167967
0 21 0 0.00640867726936
0 21 1 0.0216575756856
0 22 0 0.000229726682795
0 22 1 0.00339060466621
0 23 0 0.000660608259676
0 23 1 0.000821038547324
0 24 0 0.0156819919518
0 24 1 0.00342363144518
0 25 0 0.00141055736901
0 25 1 0.000553743639987
0 26 0 0.000104295995478
0 26 1 0.000297884397522
0 27 0 0.00108733192199
0 27 1 0.00362399733101
0 28 0 0.0835603989192
0 28 1 0.00582132162885
0 29 0 0.0471425294566
0 29 1 0.00602215979645
0 30 0 0.000705205015156
0 30 1 0.00440787831084
0 31 0 0.00253096283643
0 31 1 0.0111840776156
0 32 0 0.0109946769768
0 32 1 0.0095227932682
0 33 0 0.0575263236617
0 33 1 0.0026529664123
0 34 0 0.0102514646649
0 34 1 0.0014042350951
0 35 0 0.00365026117625
0 35 1 0.0149126157238
1 0 0 0.000753200391566
1 0 1 0.000333731619434
1 2 0 0.00134828541272
1 2 1 0.000185314814281
1 3 0 0.000150126597532
1 3 1 0.000174970575468
1 4 0 0.000472564864469
1 4 1 0.000603448548531
1 5 0 3.39219252628e-05
1 5 1 3.82386637372e-05
1 6 0 0.000247596488386
1 6 1 0.000950307614614
1 7 0 0.00188288590364
1 7 1 0.00117917300236
1 8 0 0.00101309480924
1 8 1 0.000252656494759
1 9 0 1.71867309078e-05
1 9 1 6.77937300922e-05
1 10 0 0.000153123039425
1 10 1 0.000123839750575
1 11 0 0.00263447085883
1 11 1 0.000817320328169
1 12 0 0.000184669478719
1 12 1 1.0469584281e-05
1 13 0 0.00132448927803
1 13 1 0.00181514023297
1 14 0 0.00481374998048
1 14 1 0.00387506246952
1 15 0 0.000618758399465
1 15 1 0.00206672282953
1 16 0 0.00148269837689
1 16 1 0.00156001717911
1 17 0 3.46635717998e-05
1 17 1 1.33086620015e-06
1 18 0 2.62722137131e-05
1 18 1 3.25743622869e-05
1 19 0 2.96417278259e-05
1 19 1 0.000336568723174
1 20 0 0.000627280265703
1 20 1 0.0028792985803
1 21 0 0.00129011557352
1 21 1 0.000995834544475
1 22 0 0.000209309486616
1 22 1 8.5560544384e-05
1 23 0 9.48527185064e-05
1 23 1 2.58249754936e-05
1 24 0 0.00153267285904
1 24 1 2.34487269644e-05
1 25 0 1.71228199634e-05
1 25 1 0.000142866265037
1 26 0 1.22448997284e-05
1 26 1 2.05120312716e-05
1 27 0 0.000204048152512
1 27 1 0.000179681862488
1 28 0 0.00022374630615
1 28 1 0.00705624774985
1 29 0 0.00037802255546
1 29 1 0.00395215389854
1 30 0 1.57378988725e-05
1 30 1 0.000400714324127
1 31 0 0.000877376872444
1 31 1 0.000239690603556
1 32 0 0.00104637651648
1 32 1 0.000624737672524
1 33 0 0.00137610621267
1 33 1 0.00352539793533
1 34 0 0.00087167678526
1 34 1 7.76607797397e-05
1 35 0 0.00149500388057
1 35 1 1.69118964274e-05
2 0 0 0.00255925371443
2 0 1 0.000962418893568
2 1 0 0.00428624538687
2 1 1 0.00476751159613
2 3 0 0.000148663255549
2 3 1 0.000904655441451
2 4 0 0.00158872146595
2 4 1 0.00189757475505
2 5 0 0.000230953415113
2 5 1 2.84774888671e-06
2 6 0 0.00183556456431
2 6 1 0.00204565893569
2 7 0 0.00692790866003
2 7 1 0.00299319851397
2 8 0 0.00243613179959
2 8 1 0.00166491743841
2 9 0 7.81111985604e-06
2 9 1 0.000267526580144
2 10 0 0.000111331051065
2 10 1 0.000786031674935
2 11 0 0.0105024573864
2 11 1 0.000681386999567
2 12 0 0.000534756194774
2 12 1 9.74966832257e-05
2 13 0 0.00461947955002
2 13 1 0.00555295730298
2 14 0 0.0229371685185
2 14 1 0.00521468687455
2 15 0 0.00382575350297
2 15 1 0.00487523753003
2 16 0 0.00927723227339
2 16 1 0.000581202215611
2 17 0 6.73655308411e-05
2 17 1 4.92568741589e-05
2 18 0 8.59386547341e-05
2 18 1 0.000104724949266
2 19 0 0.000137169217958
2 19 1 0.00104935698704
