s t k edges
7 3 0 7-6,6-1,1-2,2-3 15366.0546814
7 3 1 7-15,15-29,29-1,1-0,0-2,2-3 15398.1165881
7 3 2 7-15,15-29,29-1,1-2,2-27,27-3 16182.5690413
7 3 3 7-17,17-27,27-3 17016.909629
7 3 4 7-21,21-2,2-3 16253.5481469
7 3 5 7-21,21-20,20-19,19-2,2-3 16530.1972463
31 6 0 31-30,30-7,7-6 1441.06654064
31 6 1 31-1,1-6 1506.42719061
31 6 2 31-1,1-29,29-15,15-7,7-6 2119.01965421
31 6 3 31-30,30-7,7-15,15-28,28-1,1-6 4050.07033213
31 6 4 31-1,1-8,8-21,21-7,7-6 4289.64560245
31 6 5 31-1,1-8,8-4,4-15,15-7,7-6 3463.90222889
5 31 0 5-15,15-7,7-30,30-31 1474.95078515
5 31 1 5-4,4-15,15-7,7-30,30-31 1475.09478591
5 31 2 5-15,15-29,29-1,1-31 2121.62149737
5 31 3 5-4,4-8,8-1,1-31 3028.23650665
5 31 4 5-15,15-28,28-1,1-31 3084.66342305
5 31 5 5-4,4-8,8-28,28-1,1-31 3544.96532979
20 25 0 20-18,18-25 1687.3320037
20 25 1 20-21,21-8,8-25 2969.44834172
20 25 2 20-21,21-8,8-9,9-25 2977.41046416
20 25 3 20-19,19-2,2-27,27-22,22-23,23-25 4673.90149587
20 25 4 20-19,19-2,2-27,27-18,18-25 3031.08521687
20 25 5 20-21,21-8,8-28,28-25 3845.13337959
3 35 0 3-27,27-35 13827.7658704
3 35 1 3-2,2-27,27-35 14672.2435858
3 35 2 3-27,27-33,33-32,32-34,34-35 15202.1508448
3 35 3 3-2,2-27,27-26,26-35 42503.0429465
3 35 4 3-2,2-19,19-20,20-18,18-27,27-35 16881.6282579
3 35 5 3-27,27-22,22-33,33-32,32-34,34-35 15775.2778503
16 9 0 16-17,17-22,22-1,1-8,8-9 3918.39609628
16 9 1 16-13,13-22,22-1,1-8,8-9 3922.84207591
16 9 2 16-13,13-25,25-9 4172.6350028
16 9 3 16-17,17-28,28-9 4426.85238652
16 9 4 16-13,13-27,27-2,2-21,21-8,8-9 3954.66178013
16 9 5 16-13,13-25,25-8,8-9 4195.69790625
6 28 0 6-7,7-15,15-28 1507.03865993
6 28 1 6-1,1-28 1837.17525603
6 28 2 6-1,1-8,8-28 2297.47785987
6 28 3 6-7,7-15,15-4,4-8,8-9,9-28 2435.76140036
6 28 4 6-1,1-2,2-28 2984.74650573
6 28 5 6-7,7-30,30-31,31-1,1-28 3016.0894606
21 28 0 21-8,8-28 1070.16590128
21 28 1 21-8,8-9,9-28 1100.31916956
21 28 2 21-2,2-28 2446.26449141
21 28 3 21-20,20-19,19-2,2-1,1-28 2769.06868295
21 28 4 21-7,7-15,15-28 2933.0141398
21 28 5 21-2,2-0,0-1,1-28 2647.09915114
30 6 0 30-7,7-6 1154.44550205
30 6 1 30-31,31-1,1-6 1793.04822921
30 6 2 30-31,31-1,1-29,29-15,15-7,7-6 2405.64069281
30 6 3 30-7,7-15,15-28,28-1,1-6 3763.44929353
30 6 4 30-7,7-15,15-4,4-8,8-1,1-6 4145.28994253
30 6 5 30-7,7-15,15-29,29-1,1-6 2800.40736785
19 4 0 19-2,2-1,1-29,29-15,15-4 2467.76852945
19 4 1 19-20,20-21,21-8,8-4 2577.54696831
19 4 2 19-2,2-1,1-6,6-7,7-15,15-4 2621.66859167
19 4 3 19-20,20-21,21-7,7-15,15-5,5-4 3043.11258055
19 4 4 19-2,2-28,28-15,15-4 3384.65536294
19 4 5 19-2,2-0,0-1,1-29,29-15,15-5,5-4 2955.87674374
17 20 0 17-27,27-2,2-19,19-20 2601.25982857
17 20 1 17-22,22-27,27-2,2-19,19-20 2601.25982857
17 20 2 17-27,27-18,18-20 2718.98088272
17 20 3 17-7,7-21,21-20 4755.73139241
17 20 4 17-22,22-1,1-8,8-21,21-20 3701.5470979
17 20 5 17-22,22-23,23-25,25-18,18-20 3759.973671
7 25 0 7-21,21-20,20-18,18-25 3654.40075614
7 25 1 7-15,15-29,29-1,1-2,2-27,27-18,18-25 3711.39374353
7 25 2 7-15,15-28,28-25 3740.91286567
7 25 3 7-17,17-10,10-25 6189.39937345
7 25 4 7-21,21-8,8-25 4589.5406735
7 25 5 7-15,15-4,4-8,8-9,9-25 3771.75942238
22 19 0 22-27,27-2,2-19 2093.49163097
22 19 1 22-1,1-2,2-19 3156.66309907
22 19 2 22-27,27-2,2-21,21-20,20-19 3179.35534747
22 19 3 22-17,17-27,27-18,18-20,20-19 3226.74908032
22 19 4 22-1,1-0,0-2,2-19 3311.34266661
22 19 5 22-33,33-27,27-18,18-20,20-19 3796.36133788
20 7 0 20-21,21-7 1967.06875244
20 7 1 20-21,21-8,8-4,4-15,15-7 2304.62575447
20 7 2 20-19,19-2,2-1,1-29,29-15,15-7 2771.97214463
20 7 3 20-18,18-27,27-17,17-7 5507.64352269
20 7 4 20-19,19-2,2-0,0-1,1-6,6-7 3049.26937306
20 7 5 20-21,21-8,8-28,28-15,15-7 2383.08770931
30 26 0 30-31,31-1,1-2,2-27,27-35,35-26 16821.9209051
30 26 1 30-7,7-15,15-29,29-1,1-2,2-27,27-26 17337.3746697
30 26 2 30-31,31-1,1-22,22-27,27-26 17526.7069603
30 26 3 30-7,7-17,17-27,27-26 18171.7152575
30 26 4 30-7,7-6,6-1,1-0,0-2,2-27,27-26 17614.6718982
30 26 5 30-31,31-1,1-22,22-27,27-35,35-26 18018.6123343
18 19 0 18-20,20-19 1832.38879517
18 19 1 18-27,27-2,2-19 2160.60561315
18 19 2 18-20,20-21,21-2,2-19 2978.84333925
18 19 3 18-25,25-8,8-21,21-20,20-19 3839.92794544
18 19 4 18-27,27-22,22-1,1-2,2-19 4551.02338422
18 19 5 18-25,25-23,23-22,22-17,17-27,27-2,2-19 4528.8447044
23 26 0 23-22,22-27,27-26 15541.2953635
23 26 1 23-22,22-27,27-35,35-26 16033.2007376
23 26 2 23-25,25-18,18-27,27-26 16153.5960474
23 26 3 23-13,13-27,27-26 16327.5384839
23 26 4 23-16,16-17,17-27,27-26 16424.6135286
23 26 5 23-22,22-17,17-27,27-35,35-26 16033.2007376
21 6 0 21-7,7-6 2161.18560435
21 6 1 21-8,8-1,1-6 2390.61233417
21 6 2 21-2,2-1,1-6 2423.82385425
21 6 3 21-8,8-4,4-15,15-7,7-6 2498.74260638
21 6 4 21-20,20-19,19-2,2-0,0-1,1-6 2855.15252115
21 6 5 21-8,8-28,28-15,15-7,7-6 2577.20456122
8 5 0 8-4,4-5 1481.42669635
8 5 1 8-4,4-15,15-5 1919.69426175
8 5 2 8-28,28-15,15-5 1998.15621659
8 5 3 8-1,1-29,29-15,15-5 2424.15645315
8 5 4 8-21,21-7,7-15,15-4,4-5 2776.86403742
8 5 5 8-9,9-28,28-15,15-5 2028.30948486
32 2 0 32-34,34-35,35-27,27-2 1785.887751
32 2 1 32-33,33-27,27-2 1898.39102529
32 2 2 32-33,33-22,22-1,1-2 3534.68949886
32 2 3 32-34,34-35,35-27,27-18,18-20,20-19,19-2 3995.27242313
32 2 4 32-33,33-22,22-1,1-0,0-2 3689.3690664
32 2 5 32-33,33-27,27-18,18-20,20-21,21-2 4178.10301873
13 32 0 13-22,22-33,33-32 1873.95496869
13 32 1 13-16,16-17,17-22,22-33,33-32 1875.62080043
13 32 2 13-27,27-35,35-34,34-32 2414.05026855
13 32 3 13-27,27-33,33-32 2526.55354284
13 32 4 13-22,22-27,27-35,35-34,34-32 2515.5709919
13 32 5 13-10,10-17,17-22,22-33,33-32 2363.55801693
35 15 0 35-27,27-2,2-1,1-29,29-15 2865.4460359
35 15 1 35-27,27-17,17-7,7-15 3731.06902496
35 15 2 35-26,26-27,27-2,2-28,28-15 31613.1322301
35 15 3 35-27,27-22,22-17,17-7,7-15 3731.06902496
35 15 4 35-27,27-2,2-0,0-1,1-28,28-15 3983.16752912
35 15 5 35-27,27-22,22-1,1-29,29-15 4062.13746508
9 0 0 9-8,8-1,1-0 1535.34203787
9 0 1 9-8,8-1,1-2,2-0 1693.43366353
9 0 2 9-28,28-1,1-0 2051.19910339
9 0 3 9-28,28-2,2-0 2163.13563687
9 0 4 9-8,8-21,21-2,2-0 1696.21921731
9 0 5 9-8,8-28,28-1,1-0 2052.07086101
33 3 0 33-27,27-3 14226.4896151
33 3 1 33-22,22-27,27-3 14799.6166206
33 3 2 33-27,27-2,2-3 15070.9673305
33 3 3 33-32,32-34,34-35,35-27,27-3 14803.4271001
33 3 4 33-22,22-1,1-2,2-3 16707.2658041
33 3 5 33-22,22-17,17-27,27-3 14799.6166206
14 31 0 14-16,16-17,17-22,22-1,1-31 18508.6493955
14 31 1 14-10,10-17,17-22,22-1,1-31 18800.8743403
14 31 2 14-16,16-17,17-7,7-30,30-31 19726.8997699
14 31 3 14-10,10-27,27-2,2-1,1-31 18885.7656543
14 31 4 14-16,16-13,13-27,27-2,2-0,0-1,1-31 18696.8090932
14 31 5 14-16,16-13,13-22,22-1,1-31 18513.0953752
10 7 0 10-17,17-7 3920.27993676
10 7 1 10-11,11-17,17-7 3948.72248841
10 7 2 10-17,17-22,22-1,1-29,29-15,15-7 4282.63077823
10 7 3 10-13,13-28,28-15,15-7 5356.49834457
10 7 4 10-13,13-16,16-17,17-7 4064.04413817
10 7 5 10-27,27-2,2-1,1-29,29-15,15-7 4367.5220922
34 8 0 34-35,35-27,27-2,2-1,1-8 2819.72980262
34 8 1 34-35,35-27,27-18,18-20,20-21,21-8 3216.8855099
34 8 2 34-32,32-33,33-27,27-2,2-1,1-8 3907.62008164
34 8 3 34-32,32-33,33-22,22-1,1-8 4350.19221332
34 8 4 34-35,35-27,27-18,18-25,25-8 3714.14786393
34 8 5 34-35,35-27,27-2,2-28,28-8 3290.30353358
15 30 0 15-7,7-30 802.481640476
15 30 1 15-29,29-1,1-31,31-30 2022.3944299
15 30 2 15-7,7-6,6-1,1-31,31-30 2176.29449212
15 30 3 15-28,28-1,1-6,6-7,7-30 4115.4131551
15 30 4 15-4,4-8,8-1,1-31,31-30 3367.27700458
15 30 5 15-28,28-2,2-1,1-31,31-30 4133.00760527
11 22 0 11-17,17-22 1145.83718881
11 22 1 11-10,10-17,17-22 1145.83995641
11 22 2 11-13,13-22 1283.29993972
11 22 3 11-16,16-23,23-22 2145.50037595
11 22 4 11-12,12-10,10-13,13-22 1895.20387156
11 22 5 11-13,13-23,23-22 2145.50024016
35 21 0 35-27,27-2,2-21 2097.61782089
