s t h tm
0 1 0 0.003660651923
0 1 1 0.004940466932
0 2 0 7.57242710872e-05
0 2 1 0.00964475894691
0 3 0 0.00297106414686
0 3 1 0.000232347983144
0 4 0 0.00448721942487
0 4 1 0.00467564822413
0 5 0 0.00189545749078
0 5 1 0.0216610698202
0 6 0 0.00848834980488
0 6 1 0.00443994356312
0 7 0 0.00172266382386
0 7 1 0.00101791455614
0 8 0 0.00537790907231
0 8 1 0.00369291448569
0 9 0 0.000387220347241
0 9 1 0.000221095462759
0 10 0 0.00822319545186
0 10 1 0.00187517007314
0 11 0 0.00212940593816
0 11 1 0.0236838373948
0 12 0 0.00742939790402
0 12 1 0.00324092145198
0 13 0 0.000539637503531
0 13 1 0.000176750187469
0 14 0 0.000664027947963
0 14 1 0.00167077622304
0 15 0 0.00421865624101
0 15 1 0.024880041262
0 16 0 0.00159679790888
0 16 1 4.82299181204e-05
0 17 0 0.0110109968212
0 17 1 0.0154561689088
0 18 0 0.0655871802245
0 18 1 0.00765975490347
0 19 0 0.0178603393866
0 19 1 0.0047783434594
0 20 0 0.00687445696131
0 20 1 0.0187757213807
0 21 0 0.000195142996129
0 21 1 0.000108291133871
0 22 0 0.000489227871314
0 22 1 6.85043068628e-06
0 23 0 0.00176288546576
0 23 1 0.00132427901124
0 24 0 0.0143447773199
0 24 1 0.0152157817021
0 25 0 0.00740195960816
0 25 1 0.0118686646568
0 26 0 0.00085043414476
0 26 1 0.00163532857024
0 27 0 0.000268292425309
0 27 1 0.000749023956691
0 28 0 0.00841601181081
0 28 1 0.00470213724919
0 29 0 0.00045573698984
0 29 1 0.00089297552816
0 30 0 0.000249505834922
0 30 1 2.66360230784e-05
0 31 0 0.00164404907921
0 31 1 0.00159080581779
1 0 0 1.61830220729e-05
1 0 1 3.25855029271e-05
1 2 0 0.000243249726397
1 2 1 0.000548467635603
1 3 0 0.000245845589869
1 3 1 1.50670571306e-05
1 4 0 0.000283562194216
1 4 1 0.000462738297784
1 5 0 0.000733466593646
1 5 1 0.00118517379235
1 6 0 0.00062746339602
1 6 1 0.00042552482498
1 7 0 3.19463933723e-05
1 7 1 0.000191269205628
1 8 0 7.17486356292e-05
1 8 1 0.000667055016371
1 9 0 1.78257079619e-05
1 9 1 3.17206140381e-05
1 10 0 0.00028389019793
1 10 1 0.00053860505707
