s t k edges
7 3 0 7-6,6-1,1-0,0-3 2247.52286324
7 3 1 7-4,4-5,5-6,6-1,1-0,0-3 2740.18187988
7 3 2 7-6,6-12,12-10,10-11,11-31,31-22,22-23,23-2,2-3 4720.2188676
7 3 3 7-6,6-8,8-9,9-17,17-13,13-20,20-19,19-18,18-24,24-25,25-26,26-30,30-31,31-22,22-23,23-2,2-3 8047.18783485
7 3 4 7-4,4-5,5-6,6-12,12-10,10-11,11-31,31-22,22-23,23-2,2-3 5212.87788424
7 3 5 7-6,6-12,12-18,18-24,24-25,25-26,26-27,27-28,28-29,29-31,31-22,22-23,23-2,2-3 14780.8931194
31 6 0 31-22,22-23,23-2,2-3,3-0,0-1,1-6 2694.98673809
31 6 1 31-11,11-10,10-12,12-6 3685.76846902
31 6 2 31-30,30-26,26-25,25-24,24-18,18-12,12-6 5188.08461516
31 6 3 31-29,29-28,28-27,27-26,26-25,25-24,24-18,18-19,19-20,20-13,13-17,17-9,9-8,8-6 15571.0955419
31 6 4 31-11,11-10,10-12,12-18,18-19,19-20,20-21,21-14,14-15,15-16,16-17,17-9,9-8,8-6 7377.72518022
31 6 5 31-29,29-28,28-27,27-26,26-25,25-24,24-18,18-12,12-6 13746.4427208
5 31 0 5-6,6-1,1-0,0-3,3-2,2-23,23-22,22-31 3057.69814422
5 31 1 5-4,4-7,7-6,6-1,1-0,0-3,3-2,2-23,23-22,22-31 3411.92087234
5 31 2 5-6,6-12,12-10,10-11,11-31 4048.47987514
5 31 3 5-6,6-8,8-9,9-17,17-13,13-20,20-19,19-18,18-24,24-25,25-26,26-30,30-31 7375.44884239
5 31 4 5-4,4-7,7-6,6-12,12-10,10-11,11-31 4402.70260326
5 31 5 5-6,6-12,12-18,18-24,24-25,25-26,26-27,27-28,28-29,29-31 14109.1541269
20 25 0 20-19,19-18,18-24,24-25 3550.42880449
20 25 1 20-19,19-18,18-12,12-10,10-11,11-31,31-30,30-26,26-25 4617.31291043
20 25 2 20-13,13-17,17-9,9-8,8-6,6-1,1-0,0-3,3-2,2-23,23-22,22-31,31-30,30-26,26-25 6157.29536987
20 25 3 20-21,21-14,14-15,15-16,16-17,17-9,9-8,8-6,6-12,12-18,18-24,24-25 7948.49688495
20 25 4 20-13,13-17,17-9,9-8,8-6,6-12,12-10,10-11,11-31,31-29,29-28,28-27,27-26,26-25 15706.4352064
20 25 5 20-13,13-17,17-9,9-8,8-6,6-12,12-18,18-24,24-25 6918.20341874
16 9 0 16-17,17-9 432.22631898
16 9 1 16-15,15-14,14-21,21-20,20-13,13-17,17-9 2330.25258047
16 9 2 16-17,17-13,13-20,20-19,19-18,18-12,12-6,6-8,8-9 4107.31835848
16 9 3 16-15,15-14,14-21,21-20,20-19,19-18,18-24,24-25,25-26,26-30,30-31,31-22,22-23,23-2,2-3,3-0,0-1,1-6,6-8,8-9 10305.7913216
16 9 4 16-15,15-14,14-21,21-20,20-19,19-18,18-12,12-6,6-8,8-9 5023.21156082
16 9 5 16-17,17-13,13-20,20-19,19-18,18-24,24-25,25-26,26-27,27-28,28-29,29-31,31-11,11-10,10-12,12-6,6-8,8-9 18939.0379558
6 28 0 6-1,1-0,0-3,3-2,2-23,23-22,22-31,31-30,30-26,26-27,27-28 2952.40194133
6 28 1 6-12,12-10,10-11,11-31,31-30,30-26,26-27,27-28 3943.18367225
6 28 2 6-1,1-0,0-3,3-2,2-23,23-22,22-31,31-29,29-28 11152.9239691
