s t h tm
0 1 0 0.00896492585417
0 1 1 0.00938051692483
0 2 0 0.00439577081312
0 2 1 0.0243033065859
0 3 0 0.0500389793241
0 3 1 0.0314176067719
0 4 0 0.000901600440511
0 4 1 0.00776903756749
0 5 0 0.0339080338245
0 5 1 0.00342102523948
0 6 0 0.00155035746236
0 6 1 0.0230982676286
0 7 0 0.014983632504
0 7 1 0.00988950315599
0 8 0 0.023815010315
0 8 1 0.037328638768
0 9 0 0.0265294785428
0 9 1 0.00710923104325
0 10 0 0.0243229380958
0 10 1 0.0476692648592
0 11 0 0.0010068581647
0 11 1 0.000395895351298
0 12 0 0.00734808817836
0 12 1 0.0128020955466
0 13 0 0.0223158779256
0 13 1 0.000456685278408
0 14 0 0.00369313529724
0 14 1 0.00381162589076
0 15 0 0.0168020018468
0 15 1 0.00466421315317
0 16 0 0.0529420673306
0 16 1 0.00224474746242
0 17 0 0.030033319776
0 17 1 0.000254308033005
0 18 0 0.00429586619993
0 18 1 0.00212459592907
0 19 0 0.00526914088497
0 19 1 0.015981438758
0 20 0 0.00123271840014
0 20 1 0.000192407276858
1 0 0 0.000574754256444
1 0 1 0.00298202781156
1 2 0 0.00153339865941
1 2 1 0.000804093968586
1 3 0 0.00633686154778
1 3 1 0.000297643348216
1 4 0 0.000489338239395
1 4 1 0.000216870958605
1 5 0 0.000131945082613
1 5 1 0.00290844535139
1 6 0 0.00196117260272
1 6 1 4.64173502808e-05
1 7 0 0.00174245929702
1 7 1 0.000283416671975
1 8 0 0.00403173763251
1 8 1 0.000948311969495
1 9 0 0.0025268764676
1 9 1 0.000212941073399
1 10 0 0.00260363779979
1 10 1 0.00326000866321
1 11 0 7.11850683924e-05
1 11 1 4.30668976076e-05
1 12 0 0.00138742227782
1 12 1 0.000253777028182
1 13 0 0.000849125405009
1 13 1 0.00100566239399
1 14 0 0.0003661769694
1 14 1 0.0002450734796
1 15 0 0.00142271414756
1 15 1 0.000325673740439
1 16 0 0.00295686493763
1 16 1 0.00153801031437
1 17 0 0.00130117689399
1 17 1 0.00116570055101
1 18 0 9.85198360244e-05
1 18 1 0.000424416238976
1 19 0 0.00148454809654
1 19 1 0.000246276646458
1 20 0 9.04190918414e-05
1 20 1 2.56550491586e-05
2 0 0 0.0108083433386
2 0 1 0.000715672746387
2 1 0 0.00242466726041
2 1 1 0.00241657830959
2 3 0 0.00192729941632
2 3 1 0.0195685751357
