s t k edges
7 3 0 7-6,6-1,1-0,0-3 1225.54574653
7 3 1 7-4,4-6,6-1,1-0,0-3 1520.30381608
7 3 2 7-6,6-20,20-14,14-15,15-3 2286.90673164
7 3 3 7-6,6-16,16-17,17-5,5-8,8-3 8926.73649372
7 3 4 7-4,4-6,6-20,20-19,19-5,5-8,8-13,13-9,9-10,10-11,11-12,12-2,2-3 6725.83421144
7 3 5 7-6,6-16,16-18,18-19,19-20,20-14,14-15,15-3 8350.53591639
16 9 0 16-17,17-5,5-8,8-13,13-9 4686.01206158
16 9 1 16-18,18-19,19-5,5-8,8-13,13-9 5283.44061781
16 9 2 16-18,18-19,19-20,20-14,14-15,15-3,3-2,2-12,12-11,11-10,10-9 5655.10807885
16 9 3 16-6,6-1,1-0,0-3,3-8,8-13,13-9 7098.99609844
16 9 4 16-6,6-1,1-0,0-3,3-2,2-12,12-11,11-10,10-9 6788.23008194
16 9 5 16-17,17-5,5-19,19-20,20-14,14-15,15-3,3-8,8-13,13-9 6829.91980646
19 4 0 19-20,20-6,6-4 2115.30038453
19 4 1 19-20,20-6,6-7,7-4 2119.71243606
19 4 2 19-5,5-8,8-3,3-0,0-1,1-6,6-4 4188.37354819
19 4 3 19-18,18-16,16-6,6-4 6851.6832663
19 4 4 19-18,18-16,16-6,6-7,7-4 6856.09531783
19 4 5 19-5,5-17,17-16,16-6,6-4 7715.7289774
17 20 0 17-5,5-19,19-20 3385.33309723
17 20 1 17-16,16-18,18-19,19-20 3639.53318804
17 20 2 17-5,5-8,8-3,3-15,15-14,14-20 5058.29297868
17 20 3 17-16,16-6,6-20 5834.01617624
17 20 4 17-5,5-8,8-13,13-9,9-10,10-11,11-12,12-2,2-3,3-0,0-1,1-6,6-20 7931.90034491
17 20 5 17-16,16-6,6-1,1-0,0-3,3-15,15-14,14-20 6733.46020635
20 7 0 20-6,6-7 1306.50422403
20 7 1 20-6,6-4,4-7 1601.26229358
20 7 2 20-14,14-15,15-3,3-0,0-1,1-6,6-7 2205.94825414
20 7 3 20-19,19-18,18-16,16-6,6-7 7370.13340878
20 7 4 20-19,19-5,5-17,17-16,16-6,6-4,4-7 8528.93718943
20 7 5 20-19,19-5,5-8,8-3,3-0,0-1,1-6,6-7 4706.82369067
18 19 0 18-19 891.804868094
