s t h tm
0 1 0 0.00431332295374
0 1 1 0.0188119408673
0 2 0 0.0124297179663
0 2 1 0.000292846771712
0 3 0 0.0110970772896
0 3 1 0.0161312401464
0 4 0 0.000502033232211
0 4 1 2.85050267891e-05
0 5 0 0.00184443923966
0 5 1 0.00577660271134
0 6 0 0.00590514786479
0 6 1 0.00270770956021
0 7 0 0.00274718135926
0 7 1 9.12096267423e-05
0 8 0 0.00237342828258
0 8 1 0.00574535253242
0 9 0 0.00627489617432
0 9 1 0.0145974212397
0 10 0 0.00809473337976
0 10 1 0.00336041190724
0 11 0 0.00233243629114
0 11 1 9.58597428649e-05
0 12 0 0.00398235502831
0 12 1 0.00405486989969
0 13 0 0.000155124940589
0 13 1 0.000383874738411
0 14 0 0.0012372126397
0 14 1 0.0077104683073
0 15 0 0.0216595879585
0 15 1 0.00121229808954
0 16 0 0.00893702244998
0 16 1 0.000517439558017
0 17 0 4.94201825892e-05
0 17 1 0.000585336845411
0 18 0 0.00121015159527
0 18 1 0.000858607228734
0 19 0 0.0105441460427
0 19 1 0.0152388245373
0 20 0 0.000473395033572
0 20 1 0.000984185810428
0 21 0 0.0104103029809
0 21 1 0.0130409925711
0 22 0 0.0334620192833
0 22 1 0.0314386029267
0 23 0 0.00385430130408
0 23 1 0.0162047578239
0 24 0 0.00153163919193
0 24 1 0.0211957627301
0 25 0 0.000101407450627
0 25 1 0.000167451086373
0 26 0 0.000304450869806
0 26 1 0.000135100497194
0 27 0 0.00135363153721
0 27 1 0.00138175793779
1 0 0 9.40070217061e-05
1 0 1 0.000672203647294
1 2 0 0.00074963699427
1 2 1 0.00028659496773
1 3 0 0.000655122873666
1 3 1 0.00156257877533
1 4 0 3.72976687107e-05
1 4 1 5.91379928934e-06
1 5 0 0.000348434485779
1 5 1 0.000272286840221
1 6 0 0.000220747737155
1 6 1 0.000480755326845
1 7 0 3.27565719282e-05
1 7 1 0.000198425703072
1 8 0 0.000415638524235
1 8 1 0.000245622812765
1 9 0 0.000271680387848
1 9 1 0.00142833551915
1 10 0 0.000440728392861
1 10 1 0.000492274340139
1 11 0 1.51361834965e-05
1 11 1 0.000182644532503
1 12 0 0.00045860565621
1 12 1 0.00019601308879
1 13 0 1.47924256446e-05
1 13 1 2.91082113554e-05
1 14 0 0.000367295979507
1 14 1 0.000361477909493
1 15 0 0.00108302530202
1 15 1 0.000779852179979
1 16 0 0.000155883745864
1 16 1 0.000614166627136
1 17 0 2.19540561775e-05
1 17 1 2.97458588225e-05
1 18 0 0.000144496124151
1 18 1 2.4000877849e-05
1 19 0 0.000795059809325
1 19 1 0.00130492071667
1 20 0 0.000110282922448
1 20 1 8.43463855189e-06
1 21 0 0.00107204873367
1 21 1 0.000838020698333
1 22 0 0.0020096134092
1 22 1 0.0032764354718
1 23 0 0.000300972532888
1 23 1 0.00133280482511
1 24 0 0.00114333854224
1 24 1 0.000707770944757
1 25 0 6.43272315699e-06
1 25 1 1.5465361843e-05
1 26 0 2.8933469321e-05
1 26 1 6.86726667905e-06
1 27 0 0.000142201355391
1 27 1 8.05916156091e-05
2 0 0 0.00141419080715
2 0 1 0.00106834084785
2 1 0 0.00270577661882
2 1 1 0.00339683329818
2 3 0 0.00705116131546
2 3 1 0.000134218331541
2 4 0 6.9164772176e-07
2 4 1 0.000139314021278
2 5 0 0.00147217196218
2 5 1 0.000538972495823
2 6 0 0.00206226044147
2 6 1 0.000210617807529
2 7 0 0.000483986044007
2 7 1 0.000265047268993
2 8 0 0.00153728052462
2 8 1 0.000605214051376
2 9 0 0.00400515567739
2 9 1 0.00150291602361
2 10 0 0.00108113107867
2 10 1 0.00194180884333
2 11 0 0.000467446957278
2 11 1 0.000173364908722
2 12 0 0.00146154048148
2 12 1 0.000659432015524
2 13 0 0.000104429828693
2 13 1 3.78087553074e-05
2 14 0 0.000769883446914
2 14 1 0.00159135259809
2 15 0 0.00358469234355
2 15 1 0.00245105279145
2 16 0 0.000455646367858
2 16 1 0.00203932597314
2 17 0 0.000134243638222
2 17 1 3.3264700778e-05
2 18 0 8.11064987495e-05
2 18 1 0.00046482578625
2 19 0 0.00363846327483
2 19 1 0.00316549853717
2 20 0 0.000219995464594
2 20 1 0.000164650841406
2 21 0 0.00235608172332
2 21 1 0.00383256589168
2 22 0 0.00146064530503
2 22 1 0.015666215766
2 23 0 0.0019996198374
2 23 1 0.0032938381786
2 24 0 0.0014812157321
2 24 1 0.0045164009619
2 25 0 2.98629953284e-05
2 25 1 4.10870616716e-05
2 26 0 7.55277463041e-05
2 26 1 4.04670616959e-05
2 27 0 0.000549197977617
2 27 1 0.000172653892383
3 0 0 0.00020521159932
3 0 1 0.00052758455268
3 1 0 0.0016694215971
3 1 1 0.000131952840896
3 2 0 0.000471633061174
3 2 1 0.000519408730826
3 4 0 4.20429558408e-06
3 4 1 3.71227164159e-05
3 5 0 0.000478585407335
3 5 1 0.000115066205665
3 6 0 0.000619502553626
3 6 1 5.14078983736e-05
3 7 0 3.16799677627e-05
3 7 1 0.000189420427237
3 8 0 0.000340843232638
3 8 1 0.000291580437362
3 9 0 0.000826852675196
3 9 1 0.000799025382804
3 10 0 0.000376142109902
3 10 1 0.000516172289098
3 11 0 3.62764529364e-06
3 11 1 0.000185527835706
3 12 0 7.63051190957e-06
3 12 1 0.00061844025009
3 13 0 1.3947598886e-05
3 13 1 2.8038527114e-05
3 14 0 0.000591051635447
3 14 1 0.000105940358553
3 15 0 0.000126352273538
3 15 1 0.00165528495146
3 16 0 0.000277953755066
3 16 1 0.000458514650934
3 17 0 1.38053792728e-05
3 17 1 3.56398977272e-05
3 18 0 9.42741807347e-05
3 18 1 6.68746512653e-05
3 19 0 0.00111993581207
3 19 1 0.000888464372932
3 20 0 3.47906132505e-05
3 20 1 7.87496647495e-05
3 21 0 0.00170173353136
3 21 1 0.000125037599644
3 22 0 0.00150522359149
3 22 1 0.00355030021751
3 23 0 0.00119149369148
3 23 1 0.000371034486523
3 24 0 0.00157995403808
3 24 1 0.000190428395917
3 25 0 1.56697697914e-05
3 25 1 5.27333820863e-06
3 26 0 1.60013765706e-05
3 26 1 1.82380854294e-05
3 27 0 7.28710243532e-05
3 27 1 0.000140205925647
4 0 0 0.00342079176236
4 0 1 0.00626644780964
4 1 0 0.0101640764464
4 1 1 0.0136492933306
4 2 0 0.00241125611168
4 2 1 0.0106898760943
4 3 0 0.0247172215891
4 3 1 0.00332129059888
4 5 0 0.00669930260846
4 5 1 0.00114850797054
4 6 0 0.0029031700834
4 6 1 0.0059659680276
4 7 0 0.00255767861286
4 7 1 0.000365170382137
4 8 0 0.00747387678506
4 8 1 0.000886483172936
4 9 0 0.0153755780743
4 9 1 0.00611780753774
4 10 0 0.000325986886766
4 10 1 0.0114700130492
4 11 0 0.00144809000431
4 11 1 0.00105246141969
4 12 0 0.00711985771234
4 12 1 0.00115651961566
4 13 0 0.00035925727983
4 13 1 0.00019578065517
4 14 0 0.00487109290671
4 14 1 0.00434283159929
4 15 0 0.0231438008647
4 15 1 0.000408651732271
4 16 0 0.00340471338164
4 16 1 0.00633107175636
4 17 0 0.000165757502745
4 17 1 0.000487887098255
4 18 0 0.00149265804778
4 18 1 0.000637657924221
4 19 0 0.0234872528701
4 19 1 0.00306290530794
4 20 0 0.000539491301287
4 20 1 0.000961460726713
4 21 0 0.00407934207372
4 21 1 0.0200697607023
4 22 0 0.0556720078643
4 22 1 0.0111597708947
4 23 0 0.00497331359531
4 23 1 0.0156826147477
4 24 0 0.0108422686441
4 24 1 0.0125614006169
4 25 0 0.000125860329172
4 25 1 0.000150998253828
4 26 0 7.26562114851e-05
