s t k edges
7 3 0 7-6,6-3 774.689817322
7 3 1 7-6,6-2,2-19,19-26,26-14,14-25,25-1,1-0,0-3 4121.80828654
7 3 2 7-4,4-5,5-8,8-9,9-16,16-15,15-12,12-13,13-1,1-0,0-3 4699.51636996
7 3 3 7-6,6-2,2-19,19-27,27-18,18-22,22-21,21-20,20-23,23-24,24-25,25-1,1-0,0-3 7647.94282695
7 3 4 7-4,4-5,5-8,8-9,9-16,16-17,17-10,10-11,11-12,12-13,13-1,1-0,0-3 5339.33275074
7 3 5 7-4,4-5,5-8,8-9,9-16,16-15,15-12,12-13,13-1,1-25,25-14,14-26,26-19,19-2,2-6,6-3 7306.87217183
20 25 0 20-23,23-24,24-25 1724.09603368
20 25 1 20-21,21-22,22-18,18-27,27-19,19-26,26-14,14-25 3747.51108762
20 25 2 20-21,21-22,22-18,18-27,27-19,19-2,2-6,6-3,3-0,0-1,1-25 5874.5797882
20 25 3 20-21,21-22,22-18,18-27,27-19,19-2,2-6,6-7,7-4,4-5,5-8,8-9,9-16,16-15,15-12,12-13,13-1,1-25 9158.17768363
20 25 4 20-21,21-22,22-18,18-27,27-19,19-2,2-6,6-7,7-4,4-5,5-8,8-9,9-16,16-17,17-10,10-11,11-12,12-13,13-1,1-25 9797.99406441
16 9 0 16-9 375.026187044
16 9 1 16-15,15-12,12-13,13-1,1-0,0-3,3-6,6-7,7-4,4-5,5-8,8-9 5099.18000024
16 9 2 16-17,17-10,10-11,11-12,12-13,13-1,1-0,0-3,3-6,6-7,7-4,4-5,5-8,8-9 5738.99638101
16 9 3 16-15,15-12,12-13,13-1,1-25,25-14,14-26,26-19,19-2,2-6,6-7,7-4,4-5,5-8,8-9 6981.11298985
16 9 4 16-15,15-12,12-13,13-1,1-25,25-24,24-23,23-20,20-21,21-22,22-18,18-27,27-19,19-2,2-6,6-7,7-4,4-5,5-8,8-9 10507.2475303
16 9 5 16-17,17-10,10-11,11-12,12-13,13-1,1-25,25-14,14-26,26-19,19-2,2-6,6-7,7-4,4-5,5-8,8-9 7620.92937063
19 4 0 19-2,2-6,6-7,7-4 1902.17790586
19 4 1 19-26,26-14,14-25,25-1,1-0,0-3,3-6,6-7,7-4 3749.32723332
19 4 2 19-26,26-14,14-25,25-1,1-13,13-12,12-15,15-16,16-9,9-8,8-5,5-4 5453.96127104
19 4 3 19-27,27-18,18-22,22-21,21-20,20-23,23-24,24-25,25-1,1-13,13-12,12-11,11-10,10-17,17-16,16-9,9-8,8-5,5-4 9619.91219223
19 4 4 19-27,27-18,18-22,22-21,21-20,20-23,23-24,24-25,25-1,1-0,0-3,3-6,6-7,7-4 7275.46177373
19 4 5 19-2,2-6,6-3,3-0,0-1,1-13,13-12,12-15,15-16,16-9,9-8,8-5,5-4 5797.42023543
17 20 0 17-10,10-11,11-12,12-13,13-1,1-25,25-24,24-23,23-20 4707.183698
17 20 1 17-16,16-15,15-12,12-13,13-1,1-25,25-14,14-26,26-19,19-27,27-18,18-22,22-21,21-20 6489.21914315
17 20 2 17-16,16-9,9-8,8-5,5-4,4-7,7-6,6-2,2-19,19-26,26-14,14-25,25-24,24-23,23-20 6736.96392704
17 20 3 17-10,10-11,11-12,12-13,13-1,1-0,0-3,3-6,6-2,2-19,19-27,27-18,18-22,22-21,21-20 7074.05771633
17 20 4 17-16,16-15,15-12,12-13,13-1,1-25,25-24,24-23,23-20 4465.80408921
17 20 5 17-16,16-9,9-8,8-5,5-4,4-7,7-6,6-2,2-19,19-27,27-18,18-22,22-21,21-20 6814.90640009
7 25 0 7-6,6-3,3-0,0-1,1-25 2399.08742521
7 25 1 7-6,6-2,2-19,19-26,26-14,14-25 2497.41067864
7 25 2 7-4,4-5,5-8,8-9,9-16,16-15,15-12,12-13,13-1,1-25 4858.72849825
7 25 3 7-6,6-2,2-19,19-27,27-18,18-22,22-21,21-20,20-23,23-24,24-25 6023.54521906
7 25 4 7-4,4-5,5-8,8-9,9-16,16-17,17-10,10-11,11-12,12-13,13-1,1-25 5498.54487903
7 25 5 7-4,4-5,5-8,8-9,9-16,16-15,15-12,12-13,13-1,1-0,0-3,3-6,6-2,2-19,19-26,26-14,14-25 7147.66004353
22 19 0 22-18,18-27,27-19 1633.38296391
