s t h tm
0 1 0 0.000396522258744
0 1 1 0.000162623993256
0 2 0 0.00136581095751
0 2 1 0.00666617725649
0 3 0 0.000796993882432
0 3 1 0.00828029105657
0 4 0 0.00121031918287
0 4 1 0.00178112517513
0 5 0 0.00635888330089
0 5 1 0.00219768314111
0 6 0 0.00549241421506
0 6 1 0.0165053924559
0 7 0 0.00594551455316
0 7 1 0.00612732174984
0 8 0 0.000720533958831
0 8 1 0.00183870206817
0 9 0 0.00408229880397
0 9 1 0.00438831404803
0 10 0 0.000164266951229
0 10 1 0.000403796982771
0 11 0 0.00402948820355
0 11 1 0.00540067480645
0 12 0 0.010305280987
0 12 1 0.013799916222
0 13 0 0.00371317498077
0 13 1 0.00625109603423
0 14 0 0.000624270034259
0 14 1 4.47147327405e-05
0 15 0 0.000700064706315
0 15 1 0.00148024693668
0 16 0 0.0196197117651
0 16 1 0.00755354317091
0 17 0 0.000439659852618
0 17 1 0.00109651751538
0 18 0 0.0240854924622
0 18 1 0.000630357507811
0 19 0 0.0262415618257
0 19 1 0.0421586695363
0 20 0 0.00373440461798
0 20 1 0.01740629078
0 21 0 0.014285876118
0 21 1 0.00966704600802
0 22 0 2.17658510712e-05
0 22 1 0.000261590232929
0 23 0 0.000125272925989
0 23 1 0.000337980186011
0 24 0 0.000614161666485
0 24 1 0.00226872707352
0 25 0 0.0175938580124
0 25 1 0.0100106973556
0 26 0 0.0102892661331
0 26 1 0.00770623300786
0 27 0 0.000660397177538
0 27 1 0.00166088417746
0 28 0 0.000149426235492
0 28 1 0.000800574959508
0 29 0 0.00411459164453
0 29 1 0.00813553771847
0 30 0 0.00034169716603
0 30 1 0.00091777188997
1 0 0 0.000100861167125
1 0 1 0.00223642468188
1 2 0 0.000191815891338
1 2 1 0.000462376331662
1 3 0 0.000540731543915
1 3 1 0.000198598377085
1 4 0 1.54111521145e-05
1 4 1 0.000228237067885
1 5 0 0.000429268313522
1 5 1 0.000267649942478
1 6 0 0.00120003828648
1 6 1 0.000591646868518
1 7 0 3.64905012675e-05
1 7 1 0.000946822148732
1 8 0 0.000159811950846
1 8 1 4.86336121538e-05
1 9 0 0.000549294175506
1 9 1 0.000140623302494
1 10 0 2.5381971549e-05
1 10 1 2.0885901451e-05
1 11 0 0.000254319175798
1 11 1 0.000513752083202
1 12 0 0.00182597974335
1 12 1 0.000137348902647
1 13 0 1.4716127921e-05
1 13 1 0.000796857349079
1 14 0 4.20863819053e-05
1 14 1 1.24013260947e-05
1 15 0 9.87954296493e-05
1 15 1 7.87873653507e-05
1 16 0 0.00095707071707
1 16 1 0.00125614618193
1 17 0 0.000112547017228
1 17 1 1.25721017725e-05
1 18 0 0.000582580695268
1 18 1 0.00143048461373
1 19 0 0.000490244467068
1 19 1 0.00508084182093
1 20 0 0.000167583862566
1 20 1 0.00155429098943
1 21 0 0.00024778919715
1 21 1 0.00170313689385
1 22 0 7.94238693468e-06
1 22 1 1.51365000653e-05
1 23 0 3.68977106655e-05
1 23 1 8.33493334501e-07
1 24 0 9.72704749395e-05
1 24 1 0.00013753606906
1 25 0 0.000859220559675
1 25 1 0.00138912505032
1 26 0 0.000663110556383
1 26 1 0.000802593235617
1 27 0 3.52702910403e-05
1 27 1 0.00015379425596
1 28 0 6.7405421865e-05
1 28 1 9.97061213504e-06
1 29 0 0.000227688823565
1 29 1 0.000770064054435
1 30 0 2.69411167322e-05
1 30 1 7.56405652678e-05
2 0 0 0.00397584488566
2 0 1 0.00359698898734
2 1 0 0.00010294847361
2 1 1 4.46066633904e-05
2 3 0 0.00195517047217
2 3 1 0.00044026724083
2 4 0 0.000543097742253
2 4 1 0.000246325381747
2 5 0 0.00101641636376
2 5 1 0.00124160705324
2 6 0 0.00120305126708
2 6 1 0.00460202988392
2 7 0 0.00283678763536
2 7 1 0.000349157014636
2 8 0 0.000590839833992
2 8 1 8.45262630079e-05
2 9 0 0.000400358701969
2 9 1 0.00183498210903
2 10 0 1.93542417074e-05
