s t k edges
7 3 0 7-0,0-3 802.136775892
7 3 1 7-6,6-25,25-29,29-4,4-15,15-14,14-19,19-13,13-2,2-3 4354.41188114
7 3 2 7-6,6-25,25-29,29-4,4-15,15-14,14-19,19-10,10-11,11-12,12-17,17-18,18-20,20-13,13-2,2-3 5466.21967035
7 3 3 7-6,6-25,25-24,24-23,23-1,1-0,0-3 6985.87105305
7 3 4 7-0,0-1,1-23,23-24,24-25,25-26,26-27,27-28,28-29,29-4,4-5,5-16,16-9,9-8,8-30,30-21,21-22,22-2,2-3 15658.2102497
7 3 5 7-6,6-25,25-29,29-4,4-5,5-16,16-9,9-8,8-30,30-21,21-22,22-2,2-3 5854.15627017
20 25 0 20-18,18-17,17-12,12-11,11-10,10-19,19-14,14-15,15-4,4-29,29-25 3049.28989026
20 25 1 20-13,13-2,2-3,3-0,0-7,7-6,6-25 3219.06655599
20 25 2 20-18,18-17,17-12,12-11,11-10,10-19,19-13,13-2,2-3,3-0,0-7,7-6,6-25 3393.36926835
20 25 3 20-13,13-2,2-22,22-21,21-30,30-8,8-9,9-16,16-5,5-4,4-29,29-28,28-27,27-26,26-25 10527.2171456
20 25 4 20-13,13-19,19-14,14-15,15-4,4-29,29-25 3487.14396758
20 25 5 20-13,13-2,2-3,3-0,0-1,1-23,23-24,24-25 7166.84506758
16 9 0 16-9 329.93463558
16 9 1 16-5,5-4,4-15,15-14,14-19,19-13,13-2,2-22,22-21,21-30,30-8,8-9 4134.95979181
16 9 2 16-5,5-4,4-15,15-14,14-19,19-10,10-11,11-12,12-17,17-18,18-20,20-13,13-2,2-22,22-21,21-30,30-8,8-9 5246.76758102
16 9 3 16-5,5-4,4-29,29-25,25-6,6-7,7-0,0-3,3-2,2-22,22-21,21-30,30-8,8-9 6326.35841048
16 9 4 16-5,5-4,4-29,29-28,28-27,27-26,26-25,25-24,24-23,23-1,1-0,0-3,3-2,2-22,22-21,21-30,30-8,8-9 15293.4019662
16 9 5 16-5,5-4,4-29,29-25,25-24,24-23,23-1,1-0,0-3,3-2,2-22,22-21,21-30,30-8,8-9 10274.1369221
6 28 0 6-25,25-26,26-27,27-28 3469.2480338
6 28 1 6-25,25-29,29-28 3736.91408988
6 28 2 6-7,7-0,0-3,3-2,2-13,13-19,19-14,14-15,15-4,4-29,29-28 6706.56566733
6 28 3 6-7,7-0,0-1,1-23,23-24,24-25,25-26,26-27,27-28 9028.51846751
6 28 4 6-7,7-0,0-3,3-2,2-22,22-21,21-30,30-8,8-9,9-16,16-5,5-4,4-29,29-28 8206.31005636
6 28 5 6-7,7-0,0-1,1-23,23-24,24-25,25-29,29-28 9296.18452359
21 28 0 21-22,22-2,2-3,3-0,0-7,7-6,6-25,25-26,26-27,27-28 5227.10458919
21 28 1 21-22,22-2,2-3,3-0,0-7,7-6,6-25,25-29,29-28 5494.77064528
21 28 2 21-30,30-8,8-9,9-16,16-5,5-4,4-29,29-28 6448.45350097
21 28 3 21-22,22-2,2-13,13-19,19-14,14-15,15-4,4-29,29-28 5558.48898947
21 28 4 21-30,30-8,8-9,9-16,16-5,5-4,4-29,29-25,25-26,26-27,27-28 6906.21025714
21 28 5 21-22,22-2,2-3,3-0,0-1,1-23,23-24,24-25,25-29,29-28 9442.54915687
19 4 0 19-14,14-15,15-4 915.964751913
19 4 1 19-13,13-2,2-22,22-21,21-30,30-8,8-9,9-16,16-5,5-4 3548.92967548
19 4 2 19-13,13-2,2-3,3-0,0-7,7-6,6-25,25-29,29-4 4240.58390512
19 4 3 19-10,10-11,11-12,12-17,17-18,18-20,20-13,13-2,2-3,3-0,0-1,1-23,23-24,24-25,25-26,26-27,27-28,28-29,29-4 14319.43525
19 4 4 19-13,13-2,2-3,3-0,0-1,1-23,23-24,24-25,25-29,29-4 8188.36241671
19 4 5 19-10,10-11,11-12,12-17,17-18,18-20,20-13,13-2,2-22,22-21,21-30,30-8,8-9,9-16,16-5,5-4 4660.73746469
17 20 0 17-18,18-20 320.062703854
17 20 1 17-12,12-11,11-10,10-19,19-13,13-20 1403.90187504
17 20 2 17-12,12-11,11-10,10-19,19-14,14-15,15-4,4-5,5-16,16-9,9-8,8-30,30-21,21-22,22-2,2-13,13-20 5256.63951275
17 20 3 17-12,12-11,11-10,10-19,19-14,14-15,15-4,4-29,29-25,25-6,6-7,7-0,0-3,3-2,2-13,13-20 5948.29374239
17 20 4 17-12,12-11,11-10,10-19,19-14,14-15,15-4,4-29,29-28,28-27,27-26,26-25,25-24,24-23,23-1,1-0,0-3,3-2,2-13,13-20 14915.3372981
17 20 5 17-12,12-11,11-10,10-19,19-14,14-15,15-4,4-29,29-25,25-24,24-23,23-1,1-0,0-3,3-2,2-13,13-20 9896.07225399
7 25 0 7-6,6-25 1117.97788278
7 25 1 7-0,0-3,3-2,2-13,13-19,19-14,14-15,15-4,4-29,29-25 4038.57077425
7 25 2 7-0,0-3,3-2,2-13,13-20,20-18,18-17,17-12,12-11,11-10,10-19,19-14,14-15,15-4,4-29,29-25 5150.37856347
7 25 3 7-0,0-1,1-23,23-24,24-25 5902.76681826
7 25 4 7-0,0-3,3-2,2-22,22-21,21-30,30-8,8-9,9-16,16-5,5-4,4-29,29-28,28-27,27-26,26-25 10557.5802074
7 25 5 7-0,0-3,3-2,2-22,22-21,21-30,30-8,8-9,9-16,16-5,5-4,4-29,29-25 5538.31516328
22 19 0 22-2,2-13,13-19 719.971322976
22 19 1 22-2,2-13,13-20,20-18,18-17,17-12,12-11,11-10,10-19 1831.77911219
22 19 2 22-21,21-30,30-8,8-9,9-16,16-5,5-4,4-15,15-14,14-19 3744.92310442
22 19 3 22-2,2-3,3-0,0-7,7-6,6-25,25-29,29-4,4-15,15-14,14-19 4743.29944548
22 19 4 22-2,2-3,3-0,0-1,1-23,23-24,24-25,25-26,26-27,27-28,28-29,29-4,4-15,15-14,14-19 13710.3430012
22 19 5 22-21,21-30,30-8,8-9,9-16,16-5,5-4,4-29,29-25,25-6,6-7,7-0,0-3,3-2,2-13,13-19 7069.54225762
20 7 0 20-13,13-2,2-3,3-0,0-7 2101.08867321
20 7 1 20-18,18-17,17-12,12-11,11-10,10-19,19-13,13-2,2-3,3-0,0-7 2275.39138556
