s t h tm
0 1 0 0.0143173150335
0 1 1 0.00245656114546
0 2 0 0.0147330843799
0 2 1 0.00946335572515
0 3 0 0.0185351677785
0 3 1 0.0243095721695
0 4 0 0.0266693172858
0 4 1 0.0277261549992
0 5 0 0.0119056796201
0 5 1 0.0366717484029
0 6 0 0.0042106669992
0 6 1 0.0161967375438
0 7 0 0.00553677031684
0 7 1 0.0263879801262
0 8 0 0.0515577033239
0 8 1 0.0390543099801
0 9 0 0.00797919362317
0 9 1 0.00166599290183
0 10 0 0.0128792784
0 10 1 0.028645432599
0 11 0 0.0140154763003
0 11 1 0.0134035655687
0 12 0 0.0110981353633
0 12 1 0.0165706512547
0 13 0 0.00345763492518
0 13 1 0.0645583403288
0 14 0 0.000131643658657
0 14 1 0.0372879358573
0 15 0 0.0639263706123
0 15 1 0.0161574969377
1 0 0 0.000271772094841
1 0 1 0.000674751625159
1 2 0 0.000309562217708
1 2 1 0.00166119801229
1 3 0 0.00182037868902
1 3 1 0.00166925487598
1 4 0 0.00394712379556
1 4 1 0.00048329791144
1 5 0 0.00341930685776
1 5 1 0.000537244717245
1 6 0 0.00127900331028
1 6 1 0.000383146207723
1 7 0 0.00245746828597
1 7 1 0.000142750103026
1 8 0 0.00323752214213
1 8 1 0.00414267723387
1 9 0 0.00058630350087
1 9 1 0.00019928107013
1 10 0 0.00212427663101
1 10 1 0.00125784274799
1 11 0 0.000648522808749
1 11 1 0.00158471303225
1 12 0 0.00219551439742
1 12 1 5.80627415835e-05
1 13 0 0.000315433913915
1 13 1 0.00522435534609
1 14 0 0.000776690015071
1 14 1 0.00227107315993
1 15 0 0.00163432854571
1 15 1 0.00488837068329
2 0 0 0.00207505527095
2 0 1 0.000991692808052
2 1 0 0.0038230407484
2 1 1 0.000603478399599
2 3 0 0.0056527419026
2 3 1 0.0056537122374
2 4 0 0.0122077719012
2 4 1 0.00214684697575
2 5 0 0.00625145565117
2 5 1 0.00656781837983
2 6 0 0.00258983187233
2 6 1 0.00279555228167
2 7 0 0.00812960581582
2 7 1 0.000295132606182
2 8 0 0.0145087980476
2 8 1 0.00940313546439
2 9 0 0.000103532622476
2 9 1 0.00244177070452
2 10 0 0.00443474592895
2 10 1 0.00652336097405
2 11 0 0.0019151682318
2 11 1 0.0053205423792
2 12 0 4.91494163848e-05
2 12 1 0.00725246724362
2 13 0 0.0171832509721
2 13 1 0.000765731935906
2 14 0 0.00915279110014
2 14 1 0.000721997736861
2 15 0 0.00339559637314
2 15 1 0.0177380264919
3 0 0 0.00086289900005
3 0 1 4.23467339504e-05
3 1 0 0.000973852703512
3 1 1 0.000332771601488
3 2 0 0.00121128998767
3 2 1 0.000673525209327
3 4 0 0.00204921533594
3 4 1 0.00218799527706
3 5 0 0.00301868318689
3 5 1 0.000765322814105
3 6 0 0.00150618667855
3 6 1 8.3476348452e-05
3 7 0 0.000532510388091
3 7 1 0.00195431224091
3 8 0 0.000921949499646
3 8 1 0.00613639871035
3 9 0 0.00020347509098
3 9 1 0.00054785006502
3 10 0 0.00198548183874
3 10 1 0.00124914300726
3 11 0 0.000127720565135
3 11 1 0.00200812365687
3 12 0 0.000827729076322
3 12 1 0.00132756935868
3 13 0 0.000576099663794
3 13 1 0.00472209888321
3 14 0 0.000940470352487
3 14 1 0.00197437959351
3 15 0 0.0036661189023
3 15 1 0.0025721248207
4 0 0 0.00837410180551
4 0 1 0.00359284463249
4 1 0 0.00750370048083
4 1 1 0.00976929234317
4 2 0 0.00869713558279
4 2 1 0.0162192839642
4 3 0 0.0327448964931
4 3 1 0.0113747141309
4 5 0 0.0146206624649
4 5 1 0.0354022157711
4 6 0 0.00637088265542
4 6 1 0.0146437563266
4 7 0 0.0282793122202
4 7 1 0.00459537812779
4 8 0 0.0516544477091
4 8 1 0.0416537798509
4 9 0 0.00170311102626
4 9 1 0.00822907374974
4 10 0 0.010733980245
4 10 1 0.032026323184
4 11 0 0.0165314051011
4 11 1 0.0117035066379
4 12 0 0.00841181830318
4 12 1 0.0200802694888
4 13 0 0.0245985752714
4 13 1 0.0454412557106
4 14 0 0.0260600744755
4 14 1 0.0124729468475
4 15 0 0.00737609406151
4 15 1 0.0750907165165
5 0 0 0.00332139983979
5 0 1 7.46679921437e-06
5 1 0 0.00325806127204
5 1 1 0.00154679766596
5 2 0 0.00512471435408
5 2 1 0.00180633010292
5 3 0 0.0104072557109
5 3 1 0.00186557434406
5 4 0 0.00831648889924
5 4 1 0.00726503611176
5 6 0 0.00253177424552
5 6 1 0.00331390501648
5 7 0 0.00196128524488
5 7 1 0.00718352546512
5 8 0 6.13876824529e-05
5 8 1 0.0258943268705
5 9 0 0.000701654872262
5 9 1 0.00206119851874
5 10 0 0.00246244585398
5 10 1 0.00943226331602
5 11 0 0.00589830566875
5 11 1 0.00195584962625
5 12 0 0.00708742322049
5 12 1 0.000838271191511
5 13 0 0.0136220077474
5 13 1 0.00586109580956
5 14 0 0.00904211734488
5 14 1 0.00167668129112
5 15 0 0.021644416641
5 15 1 0.00129552179099
6 0 0 0.000198900989414
6 0 1 7.21876095863e-05
6 1 0 6.33242078249e-06
6 1 1 0.000384954650218
6 2 0 0.000323134607819
6 2 1 0.000241299879181
6 3 0 0.000288163756779
6 3 1 0.000711282802221
6 4 0 0.00118948178618
6 4 1 7.94106768181e-05
6 5 0 0.000759153211014
6 5 1 0.000374020739986
6 7 0 0.000737329678431
6 7 1 7.38442156919e-06
6 8 0 0.000663322689405
6 8 1 0.00145039920459
6 9 0 0.000105819513392
6 9 1 0.000119175398608
6 10 0 0.000587474174648
6 10 1 0.000381179843352
6 11 0 0.000343003284696
6 11 1 0.000296605383304
6 12 0 6.89133496373e-05
6 12 1 0.000576521156363
6 13 0 0.000774412228358
6 13 1 0.000812208030642
6 14 0 0.000835041421412
6 14 1 3.78514945881e-05
6 15 0 0.000798344501445
6 15 1 0.00106978554056
7 0 0 0.00108851684749
7 0 1 0.00160165672951
7 1 0 0.00015201899468
7 1 1 0.00373095559132
7 2 0 0.00162660084841
7 2 1 0.00397461863159
7 3 0 0.00643834058688
7 3 1 0.00347976269412
7 4 0 0.00165113440434
7 4 1 0.0109408410127
7 5 0 0.0107391556196
7 5 1 0.000506004203356
7 6 0 0.00101292329325
7 6 1 0.00371117460575
7 8 0 0.0112218151157
7 8 1 0.0097539057683
7 9 0 0.00192968994918
7 9 1 0.000303068522823
7 10 0 0.00579050104765
7 10 1 0.00382202952035
7 11 0 0.00526963758891
7 11 1 0.00107758005009
7 12 0 0.00112230461743
7 12 1 0.00528272628457
7 13 0 0.013425244738
7 13 1 0.00231973278295
7 14 0 0.000770557603891
7 14 1 0.00789167852711
7 15 0 0.0135713423315
7 15 1 0.00496722437454
8 0 0 0.00310707978823
8 0 1 0.000156770083774
8 1 0 0.00459160562935
8 1 1 0.000119408638652
8 2 0 0.00300166520798
8 2 1 0.00379400762002
8 3 0 0.00695737257103
8 3 1 0.00507575435997
8 4 0 0.0116497357643
8 4 1 0.00362746333373
8 5 0 0.00278291050196
8 5 1 0.010860266189
8 6 0 0.000349302748575
8 6 1 0.00538220337143
8 7 0 0.00800464546925
8 7 1 0.000961556094749
8 9 0 0.00223040823679
8 9 1 0.000478483306208
8 10 0 0.00084536728058
8 10 1 0.0108170239214
8 11 0 0.00477143156446
8 11 1 0.00292932263654
8 12 0 0.000299029726498
8 12 1 0.0074718663465
8 13 0 0.018643340658
8 13 1 0.00045923446796
8 14 0 0.0100216249943
8 14 1 0.000487822619663
8 15 0 0.0102157584802
8 15 1 0.0122761353798
9 0 0 0.00400895173968
9 0 1 0.00140408485732
9 1 0 0.00350375786413
9 1 1 0.00430937498287
9 2 0 0.000580457325881
9 2 1 0.0106900444321
9 3 0 0.0136126959824
9 3 1 0.00634402966863
9 4 0 0.0206071016839
9 4 1 0.00472985959507
9 5 0 0.0131511703244
9 5 1 0.00947579403755
9 6 0 0.000433240317356
9 6 1 0.00907236000164
9 7 0 0.00978911729791
9 7 1 0.00508116752209
9 8 0 0.0223767970672
9 8 1 0.0198295295998
9 10 0 0.0126027996643
9 10 1 0.00673906741567
9 11 0 0.000833487286426
9 11 1 0.0119380757306
9 12 0 0.00198210558603
9 12 1 0.01090578647
9 13 0 0.0219359005973
9 13 1 0.00974537835766
9 14 0 0.0163465096189
9 14 1 0.00108322115508
9 15 0 0.0173650472987
9 15 1 0.0199373561173
10 0 0 0.00422096816059
10 0 1 0.00194376000941
10 1 0 0.000419849999999
10 1 1 0.008478268328
10 2 0 0.00466125355827
10 2 1 0.00817434775973
10 3 0 0.00535485203469
10 3 1 0.0173732020983
10 4 0 0.0219266592934
10 4 1 0.00692876707063
10 5 0 0.018350247736
10 5 1 0.00741885286001
10 6 0 0.00908083821728
10 6 1 0.00174477528172
10 7 0 0.00926730211792
10 7 1 0.00766797295008
