s t k edges
7 3 0 7-15,15-2,2-3 7423.87952618
7 3 1 7-15,15-6,6-4,4-0,0-3 7595.56958589
7 3 2 7-13,13-6,6-4,4-2,2-3 8382.29924114
7 3 3 7-15,15-2,2-5,5-0,0-3 7975.92523265
7 3 4 7-13,13-15,15-2,2-3 8430.31948264
7 3 5 7-13,13-14,14-6,6-4,4-0,0-3 8595.52635784
6 9 0 6-13,13-9 4102.49949533
6 9 1 6-15,15-9 4197.07328491
6 9 2 6-14,14-13,13-9 4214.63034874
6 9 3 6-13,13-10,10-9 4439.88427969
6 9 4 6-15,15-12,12-10,10-9 4702.68867388
6 9 5 6-15,15-13,13-9 4221.11353326
12 1 0 12-1 1786.88681407
12 1 1 12-13,13-7,7-1 3211.07729423
12 1 2 12-15,15-7,7-1 3696.50128861
12 1 3 12-11,11-7,7-1 4953.75568923
12 1 4 12-10,10-11,11-7,7-1 6096.44203326
12 1 5 12-13,13-15,15-7,7-1 4032.87572811
7 12 0 7-13,13-12 2236.55105152
7 12 1 7-15,15-12 2721.9750459
7 12 2 7-1,1-12 2761.41305678
7 12 3 7-11,11-12 3979.22944652
7 12 4 7-11,11-10,10-12 5121.91579055
7 12 5 7-15,15-13,13-12 3058.3494854
14 4 0 14-6,6-4 6125.71696682
14 4 1 14-13,13-6,6-4 7418.51552674
14 4 2 14-6,6-15,15-2,2-4 7469.6485063
14 4 3 14-13,13-7,7-15,15-2,2-5,5-0,0-4 9488.75340026
14 4 4 14-13,13-15,15-6,6-4 7537.12956467
14 4 5 14-6,6-15,15-2,2-3,3-0,0-4 8299.21396721
13 4 0 13-6,6-4 6716.05082007
13 4 1 13-14,14-6,6-4 6828.18167349
13 4 2 13-6,6-15,15-2,2-4 8059.98235955
13 4 3 13-7,7-15,15-2,2-5,5-0,0-4 8786.28869359
13 4 4 13-15,15-6,6-4 6834.664858
13 4 5 13-12,12-15,15-2,2-4 9724.49362613
0 7 0 0-4,4-6,6-15,15-7 7117.07897419
0 7 1 0-5,5-2,2-15,15-7 7497.43462094
0 7 2 0-4,4-6,6-13,13-7 8004.90489272
0 7 3 0-3,3-2,2-15,15-7 7902.37013789
0 7 4 0-4,4-6,6-14,14-13,13-7 8117.03574614
0 7 5 0-5,5-2,2-15,15-13,13-7 8503.8745774
15 1 0 15-7,7-1 1827.28866729
15 1 1 15-13,13-7,7-1 2833.72862375
15 1 2 15-12,12-1 3656.09943538
15 1 3 15-6,6-13,13-12,12-1 4574.5239001
15 1 4 15-7,7-11,11-12,12-1 6618.87868517
15 1 5 15-6,6-14,14-13,13-7,7-1 3527.90950238
1 6 0 1-7,7-15,15-6 2177.62069886
1 6 1 1-7,7-13,13-6 3065.44661739
1 6 2 1-12,12-15,15-6 4006.43146696
1 6 3 1-12,12-13,13-14,14-6 4336.32272195
1 6 4 1-7,7-15,15-13,13-6 3887.24505127
1 6 5 1-12,12-13,13-6 4224.19186853
0 10 0 0-4,4-6,6-13,13-10 9861.69758881
0 10 1 0-4,4-6,6-15,15-12,12-10 10124.501983
0 10 2 0-5,5-2,2-15,15-13,13-10 10360.6672735
0 10 3 0-3,3-2,2-15,15-12,12-10 10909.7931467
0 10 4 0-4,4-6,6-14,14-13,13-12,12-11,11-10 10460.2287652
0 10 5 0-4,4-6,6-15,15-7,7-11,11-10 10248.0219527
3 7 0 3-2,2-15,15-7 7423.87952618
3 7 1 3-0,0-4,4-6,6-15,15-7 7595.56958589
3 7 2 3-2,2-4,4-6,6-13,13-7 8382.29924114
