s t h tm
0 1 0 0.0341308292589
0 1 1 0.00105930074907
0 2 0 0.0229819019635
0 2 1 0.0393294117005
0 3 0 0.00746833509669
0 3 1 0.0716418039673
0 4 0 0.0349667987653
0 4 1 0.0356818586467
0 5 0 0.0251395211259
0 5 1 0.00454001916513
0 6 0 0.0344055780008
0 6 1 0.0120242320742
0 7 0 0.119651930618
0 7 1 0.0121297907681
0 8 0 0.000803435538345
0 8 1 0.0132240563687
0 9 0 0.0414485588846
0 9 1 0.0189429686394
0 10 0 0.0231657818573
0 10 1 0.0167111439997
0 11 0 0.0170032872148
0 11 1 0.0232368553032
0 12 0 0.0393940361064
0 12 1 0.0595251024706
0 13 0 0.0519585102651
0 13 1 0.00246271295289
0 14 0 0.0854904284488
0 14 1 0.0309796679122
0 15 0 0.00183099976392
0 15 1 0.000438396510077
0 16 0 0.0243138150801
0 16 1 0.00828546295092
1 0 0 0.000331786886606
1 0 1 0.00165515489939
1 2 0 0.000315953824294
1 2 1 0.00475920013671
1 3 0 0.00512393746327
1 3 1 0.00131945318273
1 4 0 0.00146926499076
1 4 1 0.00428495189924
1 5 0 0.00182121091117
1 5 1 0.000596138805834
1 6 0 0.00176376986333
1 6 1 0.00201786176467
1 7 0 0.00907862292906
1 7 1 0.00165478142294
1 8 0 0.000294673654417
1 8 1 0.000847842478583
1 9 0 0.00122543842782
1 9 1 0.00369335211118
1 10 0 0.00224192483844
1 10 1 0.00100598515256
1 11 0 0.000781908998067
1 11 1 0.00249558439193
1 12 0 0.000279376716979
1 12 1 0.00777742434302
1 13 0 0.00142467534768
1 13 1 0.00300784373032
1 14 0 0.00578059569315
1 14 1 0.00370570199685
1 15 0 4.40394852841e-05
1 15 1 0.000140799106716
1 16 0 0.00116711910408
1 16 1 0.00148803844792
2 0 0 0.0061218232268
2 0 1 0.0003158917272
2 1 0 0.00780843829384
2 1 1 0.00147801300916
2 3 0 0.0206019104463
2 3 1 0.000274751670702
2 4 0 0.0144294585708
2 4 1 0.00421427240025
2 5 0 0.0036891017797
2 5 1 0.0041431399753
2 6 0 0.000947682065918
2 6 1 0.0113048492601
2 7 0 0.017242702147
2 7 1 0.017533655259
2 8 0 0.00278369076107
2 8 1 0.000918075059927
2 9 0 0.00294014808981
2 9 1 0.0129967915962
2 10 0 0.00958896344709
2 10 1 0.000934303445909
2 11 0 0.00606950169008
2 11 1 0.00454961576792
2 12 0 0.0243453675052
2 12 1 0.00175876348681
2 13 0 0.00121832420305
2 13 1 0.013143090181
2 14 0 0.0269970112627
2 14 1 0.00373870576629
2 15 0 0.00010863706555
2 15 1 0.00049024216545
2 16 0 0.00543815003071
2 16 1 0.00316459192829
3 0 0 0.00150267889546
3 0 1 0.000397612178541
3 1 0 0.00224695474855
3 1 1 0.00049422914245
3 2 0 0.000674113096672
3 2 1 0.00417971293833
3 4 0 0.00201898348185
3 4 1 0.00348429148615
