s t k edges
7 3 0 7-6,6-4,4-2,2-3 1450.68568836
7 3 1 7-6,6-1,1-5,5-4,4-2,2-3 1607.58897278
7 3 2 7-0,0-3 2436.9617958
7 3 3 7-6,6-15,15-14,14-13,13-16,16-9,9-2,2-3 6307.71032226
7 3 4 7-6,6-1,1-16,16-9,9-2,2-3 2771.41029818
7 3 5 7-6,6-15,15-14,14-5,5-4,4-2,2-3 4362.47388253
6 9 0 6-1,1-16,16-9 1619.34617066
6 9 1 6-4,4-2,2-9 1761.45948438
6 9 2 6-1,1-5,5-4,4-2,2-9 1918.3627688
6 9 3 6-15,15-14,14-13,13-16,16-9 5155.64619474
6 9 4 6-7,7-0,0-3,3-2,2-9 3589.02592332
6 9 5 6-4,4-8,8-11,11-12,12-13,13-16,16-9 7727.4251429
12 1 0 12-13,13-14,14-5,5-1 3819.61668629
12 1 1 12-13,13-16,16-1 3873.84968857
12 1 2 12-11,11-8,8-4,4-6,6-1 4635.91120111
12 1 3 12-11,11-10,10-16,16-1 5276.61021764
12 1 4 12-13,13-14,14-15,15-6,6-1 4909.22706027
12 1 5 12-11,11-8,8-4,4-5,5-1 4710.80140661
16 6 0 16-1,1-6 1200.84095872
16 6 1 16-9,9-2,2-4,4-6 2179.96469632
16 6 2 16-9,9-2,2-4,4-5,5-1,1-6 2336.86798074
16 6 3 16-13,13-14,14-15,15-6 4737.1409828
16 6 4 16-10,10-11,11-8,8-4,4-6 7563.15858881
16 6 5 16-9,9-2,2-3,3-0,0-7,7-6 4007.53113526
7 12 0 7-6,6-1,1-5,5-14,14-13,13-12 3990.27230075
7 12 1 7-6,6-4,4-8,8-11,11-12 4724.55373665
7 12 2 7-0,0-3,3-2,2-9,9-16,16-13,13-12 6591.89732958
7 12 3 7-6,6-1,1-16,16-10,10-11,11-12 5447.2658321
7 12 4 7-6,6-15,15-14,14-13,13-12 4997.86959581
7 12 5 7-6,6-1,1-16,16-13,13-12 4044.50530302
14 4 0 14-5,5-4 1391.45286145
14 4 1 14-5,5-1,1-6,6-4 2045.64089964
14 4 2 14-15,15-6,6-4 3053.2381947
14 4 3 14-13,13-16,16-9,9-2,2-4 3863.86748442
14 4 4 14-13,13-12,12-11,11-8,8-4 6409.88698776
14 4 5 14-15,15-6,6-7,7-0,0-3,3-2,2-4 5407.98281687
13 4 0 13-14,14-5,5-4 2550.33921489
13 4 1 13-16,16-9,9-2,2-4 2704.98113098
13 4 2 13-14,14-5,5-1,1-6,6-4 3204.52725308
13 4 3 13-12,12-11,11-8,8-4 5251.00063432
13 4 4 13-16,16-1,1-6,6-4 3258.76025535
13 4 5 13-14,14-15,15-6,6-4 4212.12454813
0 7 0 0-7 1415.51722901
0 7 1 0-3,3-2,2-4,4-6,6-7 2472.13025514
0 7 2 0-3,3-2,2-4,4-5,5-1,1-6,6-7 2629.03353956
0 7 3 0-3,3-2,2-9,9-16,16-13,13-14,14-15,15-6,6-7 7329.15488905
0 7 4 0-3,3-2,2-9,9-16,16-1,1-6,6-7 3792.85486497
0 7 5 0-3,3-2,2-4,4-5,5-14,14-15,15-6,6-7 5383.91844931
15 1 0 15-6,6-1 1656.95991704
15 1 1 15-14,14-5,5-1 1909.01631532
15 1 2 15-14,14-5,5-4,4-6,6-1 2869.74421803
15 1 3 15-6,6-7,7-0,0-3,3-2,2-9,9-16,16-1 6783.3189321
15 1 4 15-14,14-13,13-16,16-1 4281.02202447
15 1 5 15-6,6-4,4-5,5-1 3264.75298452
1 6 0 1-6 41.0065394614
1 6 1 1-5,5-4,4-6 1648.79960694
1 6 2 1-16,16-9,9-2,2-4,4-6 3339.79911558
