s t h tm
0 1 0 0.0121831970606
0 1 1 0.00700314637342
0 2 0 0.0165553145245
0 2 1 0.0306089459935
0 3 0 0.0119856655129
0 3 1 0.0139621620401
0 4 0 0.0025035008891
0 4 1 0.0530289880339
0 5 0 0.00086505799788
0 5 1 0.00021698131812
0 6 0 0.00880265332857
0 6 1 0.00674055563843
0 7 0 0.0125061596751
0 7 1 0.00505986917193
0 8 0 0.00265062999674
0 8 1 0.00313830339426
0 9 0 0.00608978467077
0 9 1 0.0104685688422
0 10 0 0.0415379749484
0 10 1 0.00103137361062
0 11 0 0.000471142368572
0 11 1 0.0228917675964
0 12 0 0.00183196688777
0 12 1 0.00312057279623
0 13 0 0.00614940909726
0 13 1 0.0102426101797
0 14 0 0.00103923659946
0 14 1 6.00598885386e-05
0 15 0 0.0117692298731
0 15 1 0.00647967567294
0 16 0 0.0261444317623
0 16 1 0.0205030616637
0 17 0 0.00867585235914
0 17 1 0.0106066394049
0 18 0 0.000490590760183
0 18 1 0.000804004020817
0 19 0 0.00319803376873
0 19 1 0.00102122534527
0 20 0 0.0121106539615
0 20 1 0.0404740322385
0 21 0 0.00124070156087
0 21 1 0.00173205253213
0 22 0 0.0127106805994
0 22 1 0.0351185256506
0 23 0 0.0231059263544
0 23 1 0.109259692362
0 24 0 0.0171678083438
0 24 1 0.0237428899202
0 25 0 0.0313319055499
0 25 1 0.0150209107211
0 26 0 0.00054735423101
0 26 1 9.86068989508e-07
1 0 0 0.00100597190215
1 0 1 0.000542618948848
1 2 0 0.00257493075765
1 2 1 0.00126652064935
1 3 0 0.00129367344946
1 3 1 0.000819734405539
1 4 0 0.00425255555549
1 4 1 0.000270474285508
1 5 0 1.99066310121e-05
1 5 1 6.82236909879e-05
1 6 0 0.000438473603194
1 6 1 0.000827495189806
1 7 0 0.000798419531692
1 7 1 0.000632304612308
1 8 0 0.000200155043659
1 8 1 0.000271344055341
1 9 0 0.000244499012104
1 9 1 0.0011041516339
1 10 0 0.000166755174133
1 10 1 0.00330044821587
1 11 0 0.000360736794052
1 11 1 0.00154213377795
1 12 0 0.00036999708222
1 12 1 3.33791257802e-05
1 13 0 0.000802806556745
1 13 1 0.000532296439255
1 14 0 8.83319802319e-05
1 14 1 1.20390976814e-06
1 15 0 0.00114611963838
1 15 1 0.000340223688625
1 16 0 0.00367241020208
1 16 1 0.000126951375919
1 17 0 0.000365258754234
1 17 1 0.00120526846977
1 18 0 7.63929241057e-05
1 18 1 2.90496908943e-05
1 19 0 0.000333607558219
1 19 1 1.00441537809e-05
1 20 0 0.0023846537731
1 20 1 0.0018982823869
1 21 0 1.88295830768e-06
1 21 1 0.000240242970692
1 22 0 0.000146332559749
1 22 1 0.00374927758325
1 23 0 0.0087791070168
1 23 1 0.0020018548122
1 24 0 0.000985502032334
1 24 1 0.00234660702067
1 25 0 0.00374403480209
1 25 1 3.13258069104e-05
1 26 0 1.84780587667e-05
1 26 1 2.61833562333e-05
2 0 0 0.00139166823484
2 0 1 0.00362578448916
2 1 0 0.00377761745361
2 1 1 0.00128553644639
2 3 0 0.00127843910047
2 3 1 0.00556902741753
2 4 0 0.0013396554171
2 4 1 0.0133150149129
2 5 0 0.000199523765638
2 5 1 8.60195223619e-05
2 6 0 0.00243019902673
2 6 1 0.00167155487827
2 7 0 0.00403093180103
2 7 1 0.000604631393967
2 8 0 0.00148319765826
2 8 1 4.44650137364e-05
2 9 0 0.00288856032541
2 9 1 0.00148108376259
2 10 0 0.000969655225432
2 10 1 0.0102641248806
2 11 0 0.0057385153007
2 11 1 0.000426807920301
2 12 0 0.000718692617156
2 12 1 0.000588251079844
2 13 0 0.00213872899101
2 13 1 0.00218702055099
2 14 0 0.000150117990198
2 14 1 0.000139979354802
2 15 0 0.000725518412236
2 15 1 0.00409025159676
2 16 0 0.00564343427548
2 16 1 0.00666654230052
2 17 0 0.00069431043992
2 17 1 0.00439421639208
2 18 0 4.60145052618e-05
2 18 1 0.000295620816738
2 19 0 0.000870961657332
2 19 1 0.000242473964668
2 20 0 0.00402913849664
2 20 1 0.00984762545936
2 21 0 6.01365668041e-05
2 21 1 0.000724354315196
2 22 0 4.25900332009e-05
2 22 1 0.0125792330348
2 23 0 0.00142713922995
2 23 1 0.033503304964
2 24 0 0.00188859582217
2 24 1 0.00890747702883
2 25 0 0.00247513824153
2 25 1 0.00975707490947
2 26 0 3.55551647723e-06
2 26 1 0.000141147998523
3 0 0 0.00105415205619
3 0 1 0.000426904606814
3 1 0 0.00113432248112
3 1 1 0.000360224299881
3 2 0 0.000743069173382
3 2 1 0.00293085618862
3 4 0 0.000373535729529
3 4 1 0.00395224436847
3 5 0 3.5547845914e-05
3 5 1 4.8739104086e-05
3 6 0 0.000816570603454
3 6 1 0.000394189175546
3 7 0 0.00106631409859
3 7 1 0.000302016035409
3 8 0 1.61745145018e-05
3 8 1 0.000434762465498
3 9 0 0.000884399207184
3 9 1 0.000405436661816
3 10 0 0.00311277181324
3 10 1 0.000203226521757
3 11 0 0.000551570568648
3 11 1 0.00126831564435
3 12 0 8.44107150155e-05
3 12 1 0.000301374218985
3 13 0 0.000570341794778
3 13 1 0.000706537238222
3 14 0 5.87684297368e-05
3 14 1 2.68627922632e-05
3 15 0 0.000737914611525
3 15 1 0.000683609147475
3 16 0 0.00147714899109
3 16 1 0.00215652208291
3 17 0 0.00073042733224
3 17 1 0.00077160905676
3 18 0 6.44106708462e-05
3 18 1 3.64335821538e-05
3 19 0 0.000173802551636
3 19 1 0.000154862477364
3 20 0 9.7257118303e-06
3 20 1 0.00408643121217
3 21 0 0.000172099448371
3 21 1 5.94673466292e-05
3 22 0 0.00298790573543
3 22 1 0.000737816495567
3 23 0 0.00258666388286
