s t k edges
7 3 0 7-5,5-3 52.1943187327
7 3 1 7-20,20-3 52.6895672259
7 3 2 7-20,20-5,5-3 59.7179496733
7 3 3 7-5,5-0,0-20,20-3 69.4403168152
7 3 4 7-20,20-1,1-5,5-3 59.7179496733
7 3 5 7-5,5-6,6-20,20-3 82.8056081729
20 25 0 20-24,24-25 528.047474332
20 25 1 20-12,12-25 528.616855507
20 25 2 20-8,8-24,24-25 529.553068036
20 25 3 20-5,5-12,12-25 552.761411584
20 25 4 20-0,0-5,5-24,24-25 552.183127936
20 25 5 20-24,24-12,12-25 529.934628845
16 9 0 16-9 13451.7298165
16 9 1 16-15,15-9 15846.6410197
16 9 2 16-17,17-15,15-9 15894.3327279
16 9 3 16-14,14-9 17867.6908505
16 9 4 16-10,10-14,14-9 18473.7804259
16 9 5 16-20,20-5,5-15,15-9 32228.7483886
19 4 0 19-5,5-4 62.27265143
19 4 1 19-20,20-4 68.4017609617
19 4 2 19-5,5-20,20-4 69.7962823706
19 4 3 19-20,20-0,0-5,5-4 85.152510551
19 4 4 19-5,5-1,1-20,20-4 69.7962823706
19 4 5 19-20,20-6,6-5,5-4 98.5178019087
17 20 0 17-16,16-20 8373.63914999
17 20 1 17-15,15-5,5-20 13905.2480139
17 20 2 17-15,15-5,5-0,0-20 13905.2480139
17 20 3 17-15,15-24,24-20 14609.8214405
17 20 4 17-16,16-15,15-5,5-1,1-20 13906.9586385
17 20 5 17-15,15-5,5-6,6-20 13918.6133052
7 25 0 7-20,20-24,24-25 547.435892711
7 25 1 7-20,20-12,12-25 548.005273886
7 25 2 7-5,5-24,24-25 564.047915375
7 25 3 7-5,5-12,12-25 564.626199022
7 25 4 7-20,20-8,8-24,24-25 548.941486416
7 25 5 7-5,5-20,20-12,12-25 564.756023475
22 19 0 22-21,21-20,20-19 346.803141951
22 19 1 22-21,21-20,20-5,5-19 348.19766336
22 19 2 22-12,12-20,20-19 670.875225072
22 19 3 22-12,12-5,5-19 672.139922028
22 19 4 22-12,12-24,24-20,20-19 672.192998411
22 19 5 22-21,21-20,20-0,0-5,5-19 348.19766336
20 7 0 20-7 19.3884183795
20 7 1 20-5,5-7 36.1391679687
20 7 2 20-0,0-5,5-7 36.1391679687
20 7 3 20-1,1-5,5-7 36.1391679687
20 7 4 20-6,6-5,5-7 49.5044593264
20 7 5 20-4,4-5,5-7 67.3923737871
18 19 0 18-5,5-19 873.80683759
18 19 1 18-20,20-19 891.080297329
18 19 2 18-20,20-5,5-19 892.474818738
18 19 3 18-5,5-0,0-20,20-19 896.686696711
18 19 4 18-20,20-1,1-5,5-19 892.474818738
