s t h tm
0 1 0 0.00266669490978
0 1 1 0.0695850303412
0 2 0 0.00374080026978
0 2 1 0.00395002726322
0 3 0 0.0239052657424
0 3 1 0.00920548746559
0 4 0 0.0117653362699
0 4 1 0.0100979135081
0 5 0 0.0178576658
0 5 1 0.00420472411798
0 6 0 0.0188719780292
0 6 1 0.0353622385778
0 7 0 0.00723267875727
0 7 1 0.0226047465427
0 8 0 0.0590198610669
0 8 1 0.00483698731609
0 9 0 0.000179619896514
0 9 1 0.00106461788049
0 10 0 0.00756090242511
0 10 1 0.0103122445859
0 11 0 0.016037995501
0 11 1 0.004161193524
0 12 0 0.000977975240403
0 12 1 0.0056787233696
0 13 0 0.00648301523488
0 13 1 0.0125574472081
0 14 0 0.0266425958759
0 14 1 0.0223079282131
0 15 0 0.0266014501271
0 15 1 0.000263576604901
0 16 0 0.00533597518342
0 16 1 0.000358953709582
0 17 0 0.0140017029471
0 17 1 0.00484749164092
0 18 0 0.00097773314744
0 18 1 0.00028634866356
0 19 0 0.00898964048122
0 19 1 0.0119947889438
0 20 0 0.0453455205507
0 20 1 0.00829446521128
0 21 0 0.0206347723335
0 21 1 0.00153817861753
0 22 0 0.000695771446446
0 22 1 0.000792884010554
1 0 0 0.000813889731266
1 0 1 0.00125945857873
1 2 0 0.000112644457421
1 2 1 0.000513760789579
1 3 0 1.57726156867e-05
1 3 1 0.00268104374731
1 4 0 6.76532859543e-05
1 4 1 0.00171307243105
1 5 0 0.00142763896527
1 5 1 0.000369306388734
1 6 0 0.00196153126138
1 6 1 0.00245575643562
1 7 0 0.00186199917734
1 7 1 0.000568210013659
1 8 0 0.003382347843
1 8 1 0.001818687377
1 9 0 2.68538079315e-05
1 9 1 7.44873110685e-05
1 10 0 0.00112502510207
1 10 1 0.000330713310929
1 11 0 0.00162938936233
1 11 1 1.58013446697e-05
1 12 0 0.000168320409973
1 12 1 0.000373856738027
1 13 0 3.25546658329e-05
1 13 1 0.00151825966817
1 14 0 0.000791092317448
1 14 1 0.00319584731855
1 15 0 0.000965064427926
1 15 1 0.00122304779107
1 16 0 0.00013115977749
1 16 1 0.00033268280951
1 17 0 0.00072593761834
1 17 1 0.00080929826366
1 18 0 9.21511281793e-06
1 18 1 9.37422701821e-05
1 19 0 8.96818386817e-05
1 19 1 0.00161946540732
1 20 0 0.0039536047
1 20 1 0.000415283871997
1 21 0 0.00154885566697
1 21 1 0.000257094701034
1 22 0 7.08657646619e-05
1 22 1 5.03827723381e-05
2 0 0 0.00319122418535
2 0 1 0.00352644893065
2 1 0 0.0142398680852
2 1 1 0.00482690228381
2 3 0 0.00355372794281
2 3 1 0.00518398905919
2 4 0 0.00302237563508
2 4 1 0.00274719680892
2 5 0 0.0057082801432
2 5 1 0.000113844115804
2 6 0 0.00715223458231
2 6 1 0.00715982994769
2 7 0 0.00146593700683
2 7 1 0.00640796959717
2 8 0 0.00601714217
2 8 1 0.010834273632
2 9 0 0.000277521499055
2 9 1 5.08249299454e-05
2 10 0 0.00412791668889
2 10 1 0.000588693034106
2 11 0 0.00440330216384
2 11 1 0.00092713524016
2 12 0 0.00152271199688
2 12 1 0.000233948392116
2 13 0 0.000178790193998
2 13 1 0.004845866641
2 14 0 0.0105377879633
2 14 1 0.00237994374474
2 15 0 0.00616830180403
2 15 1 0.000921207738969
2 16 0 0.000923204389947
2 16 1 0.000579651093053
2 17 0 0.0012487894097
2 17 1 0.0037253930553
2 18 0 0.000221268919711
2 18 1 0.000112314223289
2 19 0 0.00296496587867
2 19 1 0.00257269146833
2 20 0 0.00265286252388
2 20 1 0.0115023882691
2 21 0 0.00522594760322
2 21 1 0.000625353008777
2 22 0 0.000182004949358
2 22 1 0.000210841749642
3 0 0 0.00095406692729
3 0 1 0.00102886247471
3 1 0 0.002575629502
3 1 1 0.003052518654
3 2 0 0.000432706305223
3 2 1 0.000166381351777
3 4 0 0.000435013138038
3 4 1 0.00126805496896
3 5 0 0.00047234744746
3 5 1 0.00124623295654
3 6 0 0.00364834793965
3 6 1 0.000576301439345
3 7 0 0.000450943494457
3 7 1 0.00187328405354
3 8 0 9.97031012039e-05
3 8 1 0.0048745145008
3 9 0 9.9639286e-06
3 9 1 8.69576954e-05
3 10 0 0.00105014154524
3 10 1 0.00034211198276
3 11 0 0.000504259574567
3 11 1 0.00106918421643
3 12 0 0.000330078852352
3 12 1 0.000188453900648
3 13 0 0.00102628277644
3 13 1 0.000456900403565
3 14 0 0.00190759097367
3 14 1 0.00190547786233
3 15 0 0.00196083058487
3 15 1 0.000131857861126
3 16 0 0.000143415535054
3 16 1 0.000300198834946
3 17 0 0.00103882851465
3 17 1 0.000429455590352
3 18 0 7.9508340658e-05
3 18 1 1.8959062342e-05
3 19 0 0.000380661477543
3 19 1 0.00125394970146
3 20 0 0.00299453890113
3 20 1 0.00118382204387
3 21 0 0.00169252947822
3 21 1 3.46632297789e-05
3 22 0 0.000103454470444
3 22 1 1.25064075562e-05
4 0 0 0.00260159731753
4 0 1 0.0236118484295
4 1 0 0.0539040395489
4 1 1 0.0204975786861
4 2 0 0.00129031424317
4 2 1 0.00662935842983
4 3 0 0.0211596533794
4 3 1 0.0129363299496
4 5 0 0.0145881144656
4 5 1 0.00813075496342
4 6 0 0.0118460071973
4 6 1 0.0440019807257
4 7 0 0.0275423601279
4 7 1 0.00318289547708
4 8 0 0.0234657944206
4 8 1 0.0422911524004
4 9 0 0.000542424036724
4 9 1 0.000738836774276
4 10 0 0.00611533667396
4 10 1 0.012289636438
4 11 0 0.00630728280986
4 11 1 0.0144929450781
4 12 0 0.00605169334858
4 12 1 0.000803079281422
4 13 0 0.00992738389788
4 13 1 0.00967963881112
4 14 0 0.0286847732628
4 14 1 0.0217223027342
4 15 0 0.0213046398769
4 15 1 0.00635977167613
4 16 0 0.00378372500688
4 16 1 0.00208065987712
4 17 0 0.0153402526887
4 17 1 0.00406981087529
4 18 0 0.000738355562164
4 18 1 0.000563339753836
4 19 0 0.0191206494466
4 19 1 0.00248818413537
4 20 0 0.00196283019823
4 20 1 0.0532732451888
4 21 0 0.00297730033895
4 21 1 0.0198554199321
