s t k edges
7 3 0 7-6,6-19,19-17,17-16,16-0,0-3 3707.42936796
7 3 1 7-6,6-19,19-18,18-17,17-16,16-0,0-3 3815.37941378
7 3 2 7-4,4-5,5-8,8-21,21-22,22-3 4463.73327535
7 3 3 7-1,1-16,16-0,0-3 4534.13140595
7 3 4 7-4,4-5,5-8,8-21,21-9,9-22,22-3 4828.08722683
7 3 5 7-6,6-19,19-20,20-21,21-22,22-3 4498.35087933
16 9 0 16-17,17-19,19-20,20-21,21-9 1891.47155277
16 9 1 16-17,17-18,18-19,19-20,20-21,21-9 1999.42159859
16 9 2 16-15,15-13,13-22,22-9 2211.66500548
16 9 3 16-0,0-3,3-22,22-9 4688.06789925
16 9 4 16-15,15-13,13-22,22-21,21-9 2237.5788778
16 9 5 16-17,17-19,19-10,10-8,8-21,21-9 2504.83143433
19 4 0 19-6,6-4 951.023473161
19 4 1 19-10,10-8,8-5,5-4 1505.65522336
19 4 2 19-6,6-7,7-4 1569.55830899
19 4 3 19-17,17-16,16-1,1-7,7-4 3727.0212742
19 4 4 19-20,20-21,21-8,8-5,5-4 2448.33318829
19 4 5 19-18,18-17,17-16,16-1,1-7,7-4 3834.97132002
17 20 0 17-19,19-20 528.038576697
17 20 1 17-18,18-19,19-20 635.988622518
17 20 2 17-19,19-10,10-8,8-21,21-20 2250.96361946
17 20 3 17-16,16-15,15-13,13-22,22-21,21-20 3210.74403006
17 20 4 17-16,16-1,1-7,7-6,6-19,19-20 4572.36832857
17 20 5 17-16,16-0,0-3,3-22,22-21,21-20 5687.14692384
22 19 0 22-21,21-20,20-19 1264.0384421
22 19 1 22-9,9-21,21-20,20-19 1628.39239359
22 19 2 22-21,21-8,8-10,10-19 1877.39832367
22 19 3 22-13,13-15,15-16,16-17,17-19 2474.74416466
22 19 4 22-3,3-0,0-16,16-17,17-18,18-19 5059.09710425
22 19 5 22-21,21-8,8-5,5-4,4-6,6-19 2601.48074905
20 7 0 20-19,19-6,6-7 1471.47197003
20 7 1 20-19,19-6,6-4,4-7 2001.45900543
20 7 2 20-21,21-8,8-5,5-4,4-7 2546.41952725
20 7 3 20-19,19-17,17-16,16-1,1-7 3628.93493524
20 7 4 20-21,21-8,8-10,10-19,19-6,6-7 3194.3970128
20 7 5 20-19,19-18,18-17,17-16,16-1,1-7 3736.88498106
