s t h tm
0 1 0 0.0377948942881
0 1 1 0.0420598667739
0 2 0 0.0172407011749
0 2 1 0.0841425129011
0 3 0 0.00884756927977
0 3 1 0.0816918741262
0 4 0 0.0294413596793
0 4 1 0.00859431087566
0 5 0 0.0383622936587
0 5 1 0.0211396036973
0 6 0 0.0578253155218
0 6 1 0.111058908784
0 7 0 0.000670149088407
0 7 1 0.0173067149616
0 8 0 0.0484384888514
0 8 1 0.0289559796176
0 9 0 0.00731929175322
0 9 1 0.0437847886928
0 10 0 0.0155651769536
0 10 1 0.0360043820384
0 11 0 0.124250085065
0 11 1 0.00251925602314
0 12 0 0.0512477119681
0 12 1 0.0184955420449
0 13 0 0.0682129267245
0 13 1 0.0810487589765
0 14 0 0.00283706505821
0 14 1 7.12687027905e-05
0 15 0 0.0361880581857
0 15 1 0.00558938807333
0 16 0 0.016437808814
0 16 1 0.030776625973
0 17 0 0.00134582152233
0 17 1 0.0142138260477
1 0 0 0.00265857469456
1 0 1 0.00101456201844
1 2 0 0.000539248826666
1 2 1 0.00771824712733
1 3 0 0.00279300895189
1 3 1 0.00458127972511
1 4 0 9.67270548623e-06
1 4 1 0.00308827007151
1 5 0 0.00401361197371
1 5 1 0.000832719652285
1 6 0 0.0115099426811
1 6 1 0.00224539947892
1 7 0 0.000980472815483
1 7 1 0.000483713179517
1 8 0 0.00487657803145
1 8 1 0.00142707406755
1 9 0 0.00017754465615
1 9 1 0.00398479860085
1 10 0 0.000979639930226
1 10 1 0.00322061578877
1 11 0 0.00383516729634
1 11 1 0.00648998692866
1 12 0 0.00382618689182
1 12 1 0.00185428638118
1 13 0 0.0046023680501
1 13 1 0.0075547506309
1 14 0 6.50908149473e-05
1 14 1 0.000171788184053
1 15 0 0.000288698137957
1 15 1 0.00311400611204
1 16 0 0.00232950710432
1 16 1 0.00151603091468
1 17 0 0.0011224877925
1 17 1 0.0001448198975
2 0 0 0.0102314146189
2 0 1 0.00166959189709
2 1 0 0.00637113448183
2 1 1 0.0147020286402
2 3 0 0.00637050600513
2 3 1 0.0175222767729
2 4 0 0.00227693170496
2 4 1 0.00776043963504
2 5 0 0.0154921823703
2 5 1 0.000209989577721
2 6 0 0.0176608028172
2 6 1 0.0269066689298
2 7 0 0.00240122143758
2 7 1 0.00234275855242
2 8 0 0.01039883505
2 8 1 0.010025072518
2 9 0 0.00690859151453
2 9 1 0.00657745000747
2 10 0 0.010785048063
2 10 1 0.00282383028402
2 11 0 0.0302865088106
2 11 1 0.00316711334139
2 12 0 0.00440797893468
2 12 1 0.0139968218423
2 13 0 0.0318046713585
2 13 1 0.00758453735953
2 14 0 0.000434300888498
2 14 1 0.000333189877502
2 15 0 0.0083215404029
2 15 1 0.0027032617271
2 16 0 0.00629243564716
2 16 1 0.00616715314584
2 17 0 0.00157376418892
2 17 1 0.00253232775808
3 0 0 0.00138979795364
3 0 1 0.00212315293336
3 1 0 0.00462229057759
3 1 1 0.00159810657841
3 2 0 0.00165596161497
3 2 1 0.00624142419003
3 4 0 0.000817065186699
3 4 1 0.0021457760243
3 5 0 0.00222377248472
3 5 1 0.00241121017828
3 6 0 0.000398354610211
3 6 1 0.0127571158278
3 7 0 0.000118762950768
3 7 1 0.00128156976023
3 8 0 0.00419245420969
3 8 1 0.00183629504831
3 9 0 0.000422604226175
3 9 1 0.00355821886383
3 10 0 0.00317153074498
3 10 1 0.000845551440019
3 11 0 0.00829886934547
3 11 1 0.00157600396453
3 12 0 0.00436499652632
3 12 1 0.00106775079068
3 13 0 0.00478797128199
3 13 1 0.00683897434801
3 14 0 3.27169292069e-05
3 14 1 0.000193831754793
3 15 0 0.00260021829412
3 15 1 0.000654093714882
3 16 0 0.0026090119691
3 16 1 0.0010688217869
3 17 0 0.0004755555088
3 17 1 0.0007364847782
4 0 0 0.0159481175281
4 0 1 0.0304915325169
4 1 0 0.00584221799811
4 1 1 0.0763886688919
4 2 0 0.0251835177307
4 2 1 0.0792164140763
4 3 0 0.0752222702848
4 3 1 0.0180112280162
4 5 0 0.049456948973
4 5 1 0.011815462667
4 6 0 0.162066014684
4 6 1 0.0118434599901
4 7 0 0.0127140656341
4 7 1 0.00579771067989
4 8 0 0.0470905454103
4 8 1 0.0326068414197
4 9 0 0.0455816188388
4 9 1 0.00704309386318
4 10 0 0.0498507544214
4 10 1 0.00325328741764
4 11 0 0.10484485614
4 11 1 0.0256965819605
4 12 0 0.0510831105665
4 12 1 0.0207353953795
4 13 0 0.111624348097
4 13 1 0.0420787076857
4 14 0 0.000606468226005
4 14 1 0.00238840473299
4 15 0 0.00600421115735
4 15 1 0.0370163478206
4 16 0 0.0212420535139
4 16 1 0.0273772748131
4 17 0 0.0147260615475
4 17 1 0.00129657257445
5 0 0 0.00220609527156
5 0 1 0.0107121042484
5 1 0 0.0080627201395
5 1 1 0.0148115909835
5 2 0 0.00838929353809
5 2 1 0.0206518199859
5 3 0 0.00894621694455
5 3 1 0.0169887100385
5 4 0 0.00344181297103
5 4 1 0.00745346428597
5 6 0 0.00843511330561
5 6 1 0.0399415925934
5 7 0 0.00438689376539
5 7 1 0.000762559765611
5 8 0 0.0151462266914
5 8 1 0.0070233362426
5 9 0 0.00407009637003
5 9 1 0.01056861296
5 10 0 0.00292860326289
5 10 1 0.0118434419001
5 11 0 0.0314567004731
5 11 1 0.00485624205392
5 12 0 0.0126695285973
5 12 1 0.00730835211772
5 13 0 0.0387947947911
5 13 1 0.00396105585691
5 14 0 0.000666215473201
5 14 1 0.000166873629799
5 15 0 0.00277871436123
5 15 1 0.00918839055477
5 16 0 0.00456571203439
5 16 1 0.00895881244561
5 17 0 0.00327802561057
5 17 1 0.00117901883843
6 0 0 0.000717027146576
6 0 1 0.000334975529424
6 1 0 0.00112197648436
6 1 1 0.000740809151639
6 2 0 0.000129907748193
6 2 1 0.00223507578381
6 3 0 0.00138936693887
6 3 1 0.000722662105134
6 4 0 0.000835505877604
6 4 1 5.1758698396e-05
6 5 0 0.00115655478295
6 5 1 0.000231456128051
6 7 0 0.000338562880266
6 7 1 8.07864947336e-05
6 8 0 0.000294516472855
6 8 1 0.00151087749815
6 9 0 0.000506011502239
6 9 1 0.000686102101761
6 10 0 0.000745279070429
6 10 1 0.000457692830571
6 11 0 0.00207298687362
6 11 1 0.000884183174381
6 12 0 0.000881601277429
6 12 1 0.000745311508571
6 13 0 0.00121913629304
6 13 1 0.00226271651596
6 14 0 3.07828008857e-05
6 14 1 3.70603971143e-05
6 15 0 0.000523504447489
6 15 1 0.000451045169511
6 16 0 0.000703388928519
6 16 1 0.000397990247481
6 17 0 0.000217749517717
6 17 1 0.000145213036283
7 0 0 0.00610361412248
7 0 1 0.00433603479952
7 1 0 0.00999165450044
7 1 1 0.00849387648156
7 2 0 0.00546588961919
7 2 1 0.0180032501028
7 3 0 0.0133986225952
7 3 1 0.00756029912579
7 4 0 0.00511586102146
7 4 1 0.00368899365654
7 5 0 0.00555399409071
7 5 1 0.00822006461829
7 6 0 0.0186728140514
7 6 1 0.0204220942456
7 8 0 0.000617071239112
7 8 1 0.0172989280789
7 9 0 0.00383124348835
7 9 1 0.00799880959565
7 10 0 0.00180564857554
7 10 1 0.0101321578595
7 11 0 0.0196318096746
7 11 1 0.00971394943938
7 12 0 0.000285466458928
7 12 1 0.0158593577911
7 13 0 0.00214259552837
7 13 1 0.0324099030176
7 14 0 0.000116662723007
7 14 1 0.000556585723993
7 15 0 0.00761009912568
7 15 1 0.00206093697632
7 16 0 0.000432903040319
7 16 1 0.0104967382917
7 17 0 0.00133233255259
7 17 1 0.00226956097741
8 0 0 0.00789734202265
8 0 1 0.00476854953335
8 1 0 0.0125071077535
8 1 1 0.0099204405775
8 2 0 0.0278029136564
8 2 1 0.000670992012601
8 3 0 0.0141765843097
8 3 1 0.0112518023743
8 4 0 0.00517467659744
8 4 1 0.00550780279856
8 5 0 0.010041368403
8 5 1 0.00666999183404
8 6 0 0.0150853846487
8 6 1 0.0323464660343
8 7 0 0.0025415739183
8 7 1 0.0025073045957
8 9 0 0.00841320930182
8 9 1 0.00593958843818
8 10 0 0.013488291295
8 10 1 0.000995238068953
8 11 0 0.0310825946374
8 11 1 0.00452111247256
8 12 0 0.00251653327531
8 12 1 0.0170711554157
8 13 0 0.0336225208134
8 13 1 0.00829825667756
8 14 0 0.000805250804736
8 14 1 1.15670672638e-05
8 15 0 0.00684089970758
8 15 1 0.00489247326442
8 16 0 0.00218064065607
8 16 1 0.0110797336039
8 17 0 0.0042732678957
8 17 1 9.67251172959e-05
9 0 0 0.0187230111029
9 0 1 0.0022831433531
9 1 0 0.0333561651318
9 1 1 0.00383952237623
9 2 0 0.033114218421
9 2 1 0.014109244516
9 3 0 0.0134436530726
9 3 1 0.0287288711354
9 4 0 0.0152058156876
9 4 1 0.00251088519944
9 5 0 0.0191573188531
9 5 1 0.00855817300688
9 6 0 0.0722935354108
9 6 1 0.00637134003018
9 7 0 0.00824240084174
9 7 1 0.000131073810256
9 8 0 0.00217295015614
9 8 1 0.0338767534019
9 10 0 0.022252230724
9 10 1 0.00176844350604
9 11 0 0.0210560121059
9 11 1 0.0379920989141
9 12 0 0.0142420554831
9 12 1 0.0182437756379
9 13 0 0.00764848741174
9 13 1 0.0618763717753
9 14 0 0.000175269854611
9 14 1 0.00117940796639
9 15 0 0.000300215749903
9 15 1 0.0191593733251
9 16 0 0.00743109820908
9 16 1 0.0145609951719
9 17 0 0.000846525588702
9 17 1 0.0064010296113
10 0 0 0.0214626867151
10 0 1 0.00246052713887
10 1 0 0.0219387789582
10 1 1 0.0204221580988
10 2 0 0.0152554775137
10 2 1 0.0385257609873
10 3 0 0.036888043599
10 3 1 0.011140848007
10 4 0 0.00476666658477
10 4 1 0.0154102975042
10 5 0 0.0118302787374
10 5 1 0.0197339773586
10 6 0 0.0392005878343
10 6 1 0.0503882344297
10 7 0 0.00614193886621
10 7 1 0.00339433419279
10 8 0 0.0108731299533
10 8 1 0.0301826839237
10 9 0 0.0193670793941
10 9 1 0.0077423465979
10 11 0 0.0482617904713
10 11 1 0.0189861482517
10 12 0 0.0198969334264
10 12 1 0.0171001041216
10 13 0 0.0653635338609
10 13 1 0.0138160264931
10 14 0 0.00107780102361
10 14 1 0.000464996697385
10 15 0 0.00500270967415
10 15 1 0.0171591720709
10 16 0 0.00669437739657
10 16 1 0.0183516896584
10 17 0 0.00344068531407
10 17 1 0.00481331535593
11 0 0 0.00100818250418
11 0 1 0.00162269413782
11 1 0 0.0031067357209
11 1 1 0.0015517687981
11 2 0 0.00065212744242
11 2 1 0.00526228711058
11 3 0 0.00340962393478
11 3 1 0.00187219521622
11 4 0 0.000183539674434
11 4 1 0.00203535548957
11 5 0 0.00222446052607
11 5 1 0.00124671456793
11 6 0 0.00251346074355
11 6 1 0.00733877488645
11 7 0 0.000142956335657
11 7 1 0.000905763882343
11 8 0 0.00310090202766
11 8 1 0.00141407586834
11 9 0 0.00220544717136
11 9 1 0.000775822655637
11 10 0 0.00154056911569
11 10 1 0.00146785543431
11 12 0 0.00218811402761
11 12 1 0.00188051331139
11 13 0 0.00705356046256
11 13 1 0.00165395087544
11 14 0 0.000105278684121
11 14 1 6.43854138792e-05
11 15 0 0.00224626547126
11 15 1 0.000190914473745
11 16 0 0.00123000174293
11 16 1 0.00152435698107
11 17 0 0.000850881854606
11 17 1 5.68246813942e-05
12 0 0 0.0213346884144
12 0 1 0.0193360930316
12 1 0 0.0257377404563
12 1 1 0.0462781861407
12 2 0 0.00577529246637
12 2 1 0.0856557757126
12 3 0 0.0282878114922
12 3 1 0.0533639500778
12 4 0 0.0129084716859
12 4 1 0.0213934787841
12 5 0 0.0530562130892
12 5 1 0.000604761101844
12 6 0 0.10918665203
12 6 1 0.0431192811323
12 7 0 0.0143045949666
12 7 1 0.00190759457238
12 8 0 0.0663718430496
12 8 1 0.00342530224436
12 9 0 0.0394091315991
12 9 1 0.00667838600487
12 10 0 0.0182719590809
12 10 1 0.0282353439981
12 11 0 0.0660227767836
12 11 1 0.0483024236324
12 13 0 0.130004929875
12 13 1 0.00460468460924
12 14 0 0.000567488798952
12 14 1 0.00205535231705
12 15 0 0.00641195966221
12 15 1 0.0312644601678
12 16 0 0.0107368495138
12 16 1 0.0318428442292
12 17 0 0.00807533050872
12 17 1 0.00595692533128
13 0 0 0.00494621670524
13 0 1 0.0168968708278
13 1 0 0.00088047985242
13 1 1 0.0377971686336
13 2 0 0.0180162737655
13 2 1 0.0310886795805
13 3 0 0.0130069500831
13 3 1 0.0308458236219
13 4 0 0.0131751367056
13 4 1 0.00524743792942
13 5 0 0.00316278400295
13 5 1 0.0256569562301
13 6 0 0.0310256186853
13 6 1 0.0507734447097
13 7 0 0.00820503690835
13 7 1 0.000502056061646
13 8 0 0.034576887402
13 8 1 0.002909118522
13 9 0 0.00273454060645
13 9 1 0.0220177175356
13 10 0 0.0203821081913
13 10 1 0.00459560445472
13 11 0 0.0569058630404
13 11 1 0.00449485932362
13 12 0 0.0302589321844
13 12 1 0.00352120849964
13 14 0 0.000409590571883
13 14 1 0.000999060702117
13 15 0 0.0173612027238
13 15 1 0.00287370073824
13 16 0 0.00302937583435
13 16 1 0.0198389326776
13 17 0 0.00293679291338
13 17 1 0.00459952140662
14 0 0 0.0117113229472
14 0 1 0.0039722619008
14 1 0 0.0176861725185
14 1 1 0.0100848182275
14 2 0 0.0134531384538
14 2 1 0.0218047755702
14 3 0 0.0182712617545
14 3 1 0.0132155276555
14 4 0 0.00625777547419
14 4 1 0.00696984227781
14 5 0 0.0165355666488
14 5 1 0.00415733404821
14 6 0 0.0231805066755
14 6 1 0.0355521495615
14 7 0 0.00532979830464
14 7 1 0.000921993305359
14 8 0 0.0261971212632
14 8 1 0.000718256593845
14 9 0 0.0122347569945
14 9 1 0.00553764538051
14 10 0 0.00656510483821
14 10 1 0.0113691764308
14 11 0 0.0280795377364
14 11 1 0.0160068780446
14 12 0 0.0171591381894
14 12 1 0.00709538635064
14 13 0 0.00118631240584
14 13 1 0.0507222380332
14 15 0 0.0117956026754
14 15 1 0.00273328775063
14 16 0 0.0141814273175
14 16 1 0.00223827783347
14 17 0 0.00472439474831
14 17 1 0.000686764497694
15 0 0 0.0103076606036
15 0 1 0.000455441397407
15 1 0 0.0164619684449
15 1 1 0.00259630228605
15 2 0 0.00440892089957
15 2 1 0.0197873664074
15 3 0 0.00528166460761
15 3 1 0.0163266302684
15 4 0 0.00768005885247
15 4 1 0.00139759784853
15 5 0 0.0052720660182
15 5 1 0.0089287562468
15 6 0 0.021334546651
15 6 1 0.018971644568
15 7 0 0.000946813313605
15 7 1 0.00334357510439
15 8 0 0.00452089087241
15 8 1 0.0139502023166
15 9 0 0.00736048570566
15 9 1 0.00483609954034
15 10 0 0.00947474387691
15 10 1 0.00283293325709
15 11 0 0.00782503107383
15 11 1 0.0224299517322
15 12 0 0.00981735670962
