s t k edges
7 3 0 7-3 1910.39805546
7 3 1 7-12,12-13,13-14,14-3 3779.45229085
7 3 2 7-6,6-12,12-13,13-14,14-3 3808.6707033
7 3 3 7-2,2-3 4142.66597459
7 3 4 7-12,12-11,11-13,13-15,15-3 5161.74856763
7 3 5 7-12,12-13,13-15,15-3 3952.40324917
6 9 0 6-7,7-3,3-15,15-9 3958.99660588
6 9 1 6-7,7-2,2-9 3970.86466583
6 9 2 6-12,12-13,13-15,15-9 4582.9139606
6 9 3 6-7,7-2,2-10,10-9 3991.70586648
6 9 4 6-12,12-13,13-14,14-15,15-9 4636.05453533
6 9 5 6-7,7-3,3-2,2-9 4011.3843277
17 11 0 17-16,16-15,15-13,13-11 3975.09456291
17 11 1 17-8,8-13,13-11 4869.02966957
17 11 2 17-16,16-15,15-13,13-12,12-11 4952.17237727
17 11 3 17-8,8-15,15-14,14-13,13-11 5086.80063157
17 11 4 17-16,16-15,15-3,3-7,7-12,12-11 5417.28241202
17 11 5 17-8,8-9,9-15,15-13,13-11 5089.06469365
12 1 0 12-7,7-3,3-0,0-1 4428.90814274
12 1 1 12-6,6-7,7-3,3-0,0-1 4458.12655519
12 1 2 12-7,7-2,2-1 4564.11746864
12 1 3 12-13,13-14,14-3,3-2,2-1 5252.56197301
12 1 4 12-13,13-15,15-9,9-2,2-1 5855.00392155
12 1 5 12-6,6-7,7-2,2-1 4593.33588109
10 17 0 10-9,9-8,8-17 1346.10321751
10 17 1 10-2,2-9,9-8,8-17 2340.88229468
10 17 2 10-9,9-15,15-16,16-17 2882.02393616
10 17 3 10-2,2-3,3-15,15-16,16-17 3447.31202312
10 17 4 10-9,9-4,4-8,8-17 1827.01801403
10 17 5 10-9,9-4,4-5,5-8,8-17 1840.21183326
16 6 0 16-15,15-3,3-7,7-6 3268.34287264
16 6 1 16-15,15-13,13-12,12-6 3892.26022735
16 6 2 16-17,17-8,8-15,15-3,3-7,7-6 5378.5553355
16 6 3 16-15,15-14,14-13,13-11,11-12,12-6 5154.74612054
16 6 4 16-17,17-8,8-13,13-12,12-6 5837.84230295
16 6 5 16-15,15-14,14-3,3-7,7-6 3675.71421327
7 12 0 7-12 610.564696446
7 12 1 7-6,6-12 639.783108896
7 12 2 7-3,3-14,14-13,13-12 5079.28564986
7 12 3 7-3,3-15,15-13,13-11,11-12 6461.58192664
7 12 4 7-2,2-9,9-15,15-13,13-12 7913.99551753
7 12 5 7-2,2-3,3-14,14-13,13-12 7311.55356899
14 4 0 14-15,15-4 2118.98541324
14 4 1 14-15,15-8,8-4 2145.84391023
14 4 2 14-3,3-15,15-4 3178.87971574
14 4 3 14-13,13-8,8-4 3748.61795887
14 4 4 14-15,15-9,9-4 2201.18652656
14 4 5 14-15,15-16,16-17,17-8,8-5,5-4 2360.58544548
13 4 0 13-8,8-4 2838.34545355
13 4 1 13-8,8-5,5-4 2851.53927278
13 4 2 13-15,15-4 2976.11734382
13 4 3 13-14,14-15,15-9,9-4 3111.45903188
13 4 4 13-15,15-8,8-4 3002.97584082
13 4 5 13-14,14-15,15-4 3029.25791856
1 17 0 1-2,2-9,9-8,8-17 2780.35274388
1 17 1 1-2,2-10,10-9,9-8,8-17 2801.19394452
1 17 2 1-0,0-3,3-15,15-16,16-17 3711.05348454
1 17 3 1-0,0-3,3-14,14-15,15-16,16-17 4118.42482518
1 17 4 1-2,2-9,9-4,4-8,8-17 3261.26754039
1 17 5 1-2,2-3,3-15,15-16,16-17 3886.78247231
0 7 0 0-3,3-7 2273.10946158
0 7 1 0-3,3-14,14-13,13-12,12-7 4142.16369697
0 7 2 0-1,1-2,2-7 5498.7867569
0 7 3 0-3,3-15,15-13,13-12,12-6,6-7 4344.33306775
0 7 4 0-1,1-2,2-3,3-7 5539.30641877
0 7 5 0-3,3-2,2-7 4505.37738071
15 1 0 15-3,3-0,0-1 2550.93830862
15 1 1 15-3,3-2,2-1 2726.66729639
15 1 2 15-14,14-3,3-0,0-1 2958.30964926
15 1 3 15-9,9-2,2-1 3156.15828661
15 1 4 15-8,8-9,9-10,10-2,2-1 3759.76140442
15 1 5 15-4,4-9,9-2,2-1 4192.9765033
13 17 0 13-15,15-16,16-17 2333.97854336
13 17 1 13-14,14-15,15-16,16-17 2387.1191181
13 17 2 13-8,8-17 3227.91365002
13 17 3 13-15,15-8,8-17 3392.54403728
13 17 4 13-15,15-9,9-8,8-17 3447.94867411
13 17 5 13-14,14-3,3-15,15-16,16-17 3447.0134206
14 17 0 14-15,15-16,16-17 1476.84661277
14 17 1 14-15,15-8,8-17 2535.4121067
14 17 2 14-3,3-15,15-16,16-17 2536.74091528
14 17 3 14-13,13-8,8-17 4138.18615534
14 17 4 14-3,3-2,2-9,9-8,8-17 3703.09876784
14 17 5 14-15,15-4,4-8,8-17 2989.53042672
1 6 0 1-0,0-3,3-7,7-6 3899.00365423
1 6 1 1-2,2-7,7-6 4034.21298013
1 6 2 1-0,0-3,3-7,7-12,12-6 4988.03104369
1 6 3 1-2,2-3,3-14,14-13,13-12,12-6 5811.68487396
1 6 4 1-2,2-7,7-12,12-6 5123.24036959
1 6 5 1-2,2-9,9-15,15-3,3-7,7-6 5790.20946779
0 10 0 0-3,3-2,2-10 2006.91533554
0 10 1 0-3,3-15,15-9,9-10 2727.61308415
0 10 2 0-1,1-2,2-10 3000.32471172
