s t h tm
0 1 0 0.00344833973989
0 1 1 0.0123754580051
0 2 0 0.0206834888188
0 2 1 0.0131819618112
0 3 0 0.000306996449787
0 3 1 0.000352865007213
0 4 0 0.00774311116965
0 4 1 0.00173562436235
0 5 0 0.000771098965078
0 5 1 0.00994121546992
0 6 0 0.00318457821287
0 6 1 0.000345694637134
0 7 0 0.00743708614012
0 7 1 0.00266071632288
0 8 0 0.0219043956482
0 8 1 0.00405572607484
0 9 0 0.00599391979175
0 9 1 0.00825351426625
0 10 0 0.000920824568036
0 10 1 0.00209938920996
0 11 0 0.00831303812464
0 11 1 0.00168332851236
0 12 0 0.00048752074286
0 12 1 0.00018286467714
0 13 0 0.0068003615688
0 13 1 0.0043283924602
0 14 0 0.0240069767446
0 14 1 0.00444012541643
0 15 0 0.00792372600843
0 15 1 0.00383534126057
0 16 0 0.000392056921258
0 16 1 0.000397427513742
0 17 0 0.00227973840997
0 17 1 0.000293297915031
0 18 0 0.00556702772397
0 18 1 0.026500760501
0 19 0 0.000904693061408
0 19 1 0.000908185469592
0 20 0 0.00388630594459
0 20 1 0.0252814416994
0 21 0 0.000150184157775
0 21 1 0.0805705148912
0 22 0 0.000321694701125
0 22 1 0.0246269301339
0 23 0 0.014593188406
0 23 1 0.013674210399
0 24 0 0.000152397342254
0 24 1 0.000181997742746
0 25 0 9.59912391978e-05
0 25 1 0.000450704499802
0 26 0 6.20802460784e-05
0 26 1 0.00334008360192
0 27 0 0.0312160131769
0 27 1 0.0013607626891
0 28 0 0.00713699231644
0 28 1 0.0140999134876
1 0 0 0.00225842512179
1 0 1 8.42122332068e-05
1 2 0 0.000886280011033
1 2 1 0.00187200521497
1 3 0 2.76982338431e-05
1 3 1 2.60463961569e-05
1 4 0 0.000464569192205
1 4 1 0.000307458218795
1 5 0 0.000144369950263
1 5 1 0.000728130432737
1 6 0 6.61947414383e-05
1 6 1 0.000221340172562
1 7 0 0.000807037350133
1 7 1 1.54120438665e-05
1 8 0 7.77041615623e-05
1 8 1 0.00203670503344
1 9 0 0.00062876501144
1 9 1 0.00053166504756
1 10 0 0.000125265025505
1 10 1 0.000120726416495
1 11 0 0.000233326874459
1 11 1 0.000580860738541
1 12 0 3.10476555224e-05
1 12 1 2.35541334776e-05
1 13 0 0.000376182874132
1 13 1 0.000530235828868
1 14 0 0.00173336859668
1 14 1 0.000583601063316
1 15 0 0.000669929804759
1 15 1 0.000287826874241
1 16 0 5.57864411392e-05
1 16 1 8.51576686078e-06
1 17 0 0.000144934497206
1 17 1 6.46350777943e-05
1 18 0 0.00124102371557
1 18 1 0.00137084486543
1 19 0 0.000126755332468
1 19 1 2.09006405316e-05
1 20 0 0.000247055593157
1 20 1 0.00212860945484
1 21 0 0.0020334208378
1 21 1 0.0045411472692
1 22 0 0.00161457662096
1 22 1 0.00041744781704
1 23 0 0.000278474792637
1 23 1 0.00202385832436
1 24 0 1.84581440211e-05
1 24 1 8.7777849789e-06
1 25 0 3.49637103203e-05
1 25 1 9.56375767974e-06
1 26 0 0.000124541664412
1 26 1 0.000152558982588
1 27 0 0.00219313467169
1 27 1 0.000460190115312
1 28 0 0.00143505952131
1 28 1 0.000294651509688
2 0 0 0.00480969725325
2 0 1 0.00278047556375
2 1 0 0.00276406509196
2 1 1 0.00141173440504
2 3 0 1.55422371638e-05
2 3 1 0.000158591000836
2 4 0 0.00103125492753
2 4 1 0.00147012304147
2 5 0 0.00221214177311
2 5 1 0.000614769815889
2 6 0 0.000880171827621
2 6 1 5.14447053791e-05
2 7 0 0.00251739709662
2 7 1 0.000147348694378
2 8 0 0.00245025015693
2 8 1 0.00440046071407
2 9 0 0.00154167097718
2 9 1 0.00221813617782
2 10 0 0.000156934097204
2 10 1 0.000640081092796
2 11 0 0.00243048139559
2 11 1 0.000207496127407
2 12 0 0.000174921493763
2 12 1 1.9889512373e-06
2 13 0 0.00133149613628
2 13 1 0.00160531121072
2 14 0 0.0036282254645
2 14 1 0.0038787837135
2 15 0 0.00100783835313
2 15 1 0.00209530464587
2 16 0 1.36078227562e-05
2 16 1 0.000194732094244
2 17 0 0.000260709569328
2 17 1 0.000418298337672
2 18 0 0.00695630581312
2 18 1 0.00150617936888
2 19 0 0.000135859020223
2 19 1 0.000342548083777
2 20 0 0.00552041483867
2 20 1 0.00217676809433
2 21 0 0.00927759406692
2 21 1 0.0120240845771
2 22 0 0.00266306985213
2 22 1 0.00392071342887
2 23 0 0.00321489960976
2 23 1 0.00424468699624
2 24 0 3.56367218071e-05
2 24 1 5.26080121929e-05
2 25 0 0.000112120631093
2 25 1 3.21488949067e-05
2 26 0 0.000251895404034
2 26 1 0.000645913978966
2 27 0 0.00528513030032
2 27 1 0.00331167348068
2 28 0 0.0038005968945
2 28 1 0.0018036873615
3 0 0 4.71200620763e-05
3 0 1 0.00219335466492
3 1 0 0.00034378413681
3 1 1 0.00088883249319
3 2 0 0.00150631363245
3 2 1 0.00113168252455
3 4 0 0.000286077030461
3 4 1 0.000452282195539
3 5 0 0.000447832666532
3 5 1 0.000386617895468
3 6 0 7.82637005252e-05
3 6 1 0.000196731790475
3 7 0 0.00075887365334
3 7 1 2.77086476597e-05
3 8 0 0.0018261574191
3 8 1 0.000196042198902
3 9 0 0.000381587890342
3 9 1 0.000728235708658
3 10 0 3.59311457765e-05
3 10 1 0.000199332587223
3 11 0 0.000522570442219
3 11 1 0.000256110374781
3 12 0 3.3711914286e-05
3 12 1 1.8508685714e-05
3 13 0 0.000285833139144
3 13 1 0.000581056561856
3 14 0 0.00105694460031
3 14 1 0.00115898180169
3 15 0 0.000573067841085
3 15 1 0.000342920981915
3 16 0 5.46113652921e-05
3 16 1 6.8866177079e-06
3 17 0 6.9263348455e-05
3 17 1 0.000131166877545
3 18 0 0.000356918743766
3 18 1 0.00214104601123
3 19 0 3.23977066932e-05
3 19 1 0.000108818976307
3 20 0 0.0019507382579
3 20 1 0.0003213238221
3 21 0 0.0028549276681
3 21 1 0.0034329229259
3 22 0 0.00122197437075
3 22 1 0.000721433297248
3 23 0 0.00181197170576
3 23 1 0.000389956454239
3 24 0 3.56896026233e-06
3 24 1 2.24792077377e-05
3 25 0 2.10190609897e-05
3 25 1 2.15665600103e-05
3 26 0 5.85143901057e-05
3 26 1 0.000206501872894
3 27 0 0.000714727669959
3 27 1 0.00182288538204
3 28 0 0.000718490098185
3 28 1 0.000935788077815
4 0 0 0.0212480111132
4 0 1 0.0083700694168
4 1 0 0.000773620919568
4 1 1 0.0155210233224
4 2 0 0.016899106082
4 2 1 0.017974031139
4 3 0 0.000160605658462
4 3 1 0.000518890367538
4 5 0 0.00977303579506
4 5 1 0.00125802991594
4 6 0 0.000761003466031
4 6 1 0.00287431474897
4 7 0 0.00354733339882
4 7 1 0.00685093517118
4 8 0 0.018941721086
4 8 1 0.00779085947204
4 9 0 0.01250490061
4 9 1 0.00216647430801
4 10 0 0.00134729220628
4 10 1 0.00176278982572
4 11 0 0.00289190122476
4 11 1 0.00740191323724
4 12 0 0.000485576416772
4 12 1 0.000204756720228
4 13 0 0.00676284678426
4 13 1 0.00469704992774
4 14 0 0.0210879580195
4 14 1 0.00820560455647
4 15 0 0.0100762534153
4 15 1 0.00203271188268
4 16 0 0.00076359342429
4 16 1 4.93825887103e-05
4 17 0 0.00088772728732
4 17 1 0.00176187126168
4 18 0 0.0156702935353
4 18 1 0.0173516907687
4 19 0 0.0011706617421
4 19 1 0.000696160065895
4 20 0 0.0246628580912
4 20 1 0.00537279320282
4 21 0 0.0661739400884
4 21 1 0.0169486512886
4 22 0 0.0152287371503
4 22 1 0.0104622488297
4 23 0 0.023942210571
4 23 1 0.00516630146899
4 24 0 0.000189221873869
4 24 1 0.000155123335131
4 25 0 0.000119689182664
4 25 1 0.000443273813336
4 26 0 0.00125733613072
4 26 1 0.00224606112228
4 27 0 0.000909796414889
4 27 1 0.0326363207591
4 28 0 0.0180124584546
4 28 1 0.00385636409139
5 0 0 0.0063668560676
5 0 1 0.0018720577344
5 1 0 0.0042368531313
5 1 1 0.000295856852698
5 2 0 0.000740581525895
5 2 1 0.00896014068211
5 3 0 6.72516828654e-05
5 3 1 0.000121764927135
5 4 0 0.00175696906638
5 4 1 0.000958204615616
5 6 0 0.000731494667441
5 6 1 0.000279748224559
5 7 0 0.00280356456605
5 7 1 8.89401779548e-05
5 8 0 0.00351329615868
5 8 1 0.00392295301632
5 9 0 0.00381136457036
5 9 1 0.000269797717644
5 10 0 0.00016478923121
5 10 1 0.00070034778379
5 11 0 0.00275849545381
5 11 1 0.000104953106187
5 12 0 4.20897666959e-05
5 12 1 0.000149941422304
5 13 0 5.1823900096e-05
5 13 1 0.0031359958199
5 14 0 0.00426217411834
5 14 1 0.00388646795066
5 15 0 0.00133714635361
5 15 1 0.00203122592239
5 16 0 0.000104268891751
5 16 1 0.000121878082249
5 17 0 0.000259566295818
5 17 1 0.000477477215182
5 18 0 0.00864360685162
5 18 1 0.000542176878384
5 19 0 0.000467643322201
5 19 1 5.16537987991e-05
5 20 0 0.00752445313258
5 20 1 0.00083061706642
5 21 0 0.0219926043517
5 21 1 0.00112975378434
