s t k edges
7 3 0 7-11,11-3 258.661734006
7 3 1 7-17,17-15,15-16,16-11,11-3 260.432848232
7 3 2 7-11,11-18,18-1,1-3 292.87912569
7 3 3 7-17,17-4,4-0,0-11,11-3 260.444683597
7 3 4 7-17,17-18,18-1,1-3 294.419143067
7 3 5 7-17,17-12,12-13,13-11,11-3 796.446005585
20 25 0 20-14,14-25 208.089979144
20 25 1 20-14,14-26,26-12,12-24,24-25 861.412922091
20 25 2 20-9,9-13,13-12,12-24,24-25 17300.4459751
20 25 3 20-14,14-10,10-12,12-24,24-25 864.741465144
20 25 4 20-14,14-28,28-27,27-12,12-24,24-25 1072.9916576
20 25 5 20-14,14-13,13-2,2-12,12-24,24-25 1086.03969771
16 9 0 16-11,11-13,13-9 8603.42015636
16 9 1 16-15,15-17,17-4,4-0,0-11,11-13,13-9 8603.43199173
16 9 2 16-15,15-17,17-12,12-10,10-14,14-20,20-9 9395.57909273
16 9 3 16-15,15-17,17-8,8-12,12-13,13-9 8661.54141499
16 9 4 16-11,11-0,0-4,4-17,17-5,5-12,12-13,13-9 8790.73657995
16 9 5 16-15,15-17,17-12,12-2,2-13,13-9 8829.37677143
6 28 0 6-17,17-15,15-16,16-11,11-13,13-28 436.521489163
6 28 1 6-18,18-11,11-13,13-28 479.99966164
6 28 2 6-17,17-12,12-27,27-28 624.853549944
6 28 3 6-17,17-8,8-12,12-13,13-28 494.642747791
6 28 4 6-17,17-5,5-12,12-27,27-28 641.205666954
6 28 5 6-18,18-1,1-3,3-11,11-13,13-28 596.839104856
21 28 0 21-14,14-28 437.45998711
21 28 1 21-14,14-13,13-28 462.372129369
21 28 2 21-22,22-23,23-12,12-13,13-28 656.846371326
21 28 3 21-14,14-26,26-12,12-27,27-28 708.649917551
21 28 4 21-14,14-19,19-13,13-28 469.189818683
21 28 5 21-14,14-10,10-12,12-27,27-28 711.978460604
19 4 0 19-13,13-11,11-16,16-15,15-17,17-4 433.626739493
19 4 1 19-13,13-11,11-0,0-4 433.638574859
19 4 2 19-14,14-13,13-12,12-17,17-4 817.579929493
19 4 3 19-13,13-2,2-12,12-8,8-17,17-4 664.409131266
19 4 4 19-13,13-12,12-5,5-17,17-4 503.274338432
19 4 5 19-13,13-28,28-27,27-12,12-17,17-4 671.447456722
17 20 0 17-15,15-16,16-11,11-13,13-14,14-20 803.636728015
17 20 1 17-12,12-26,26-14,14-20 804.966567475
17 20 2 17-18,18-11,11-13,13-9,9-20 17413.896823
17 20 3 17-8,8-12,12-10,10-14,14-20 813.120887226
17 20 4 17-5,5-12,12-24,24-25,25-14,14-20 824.647227537
17 20 5 17-4,4-0,0-11,11-13,13-19,19-14,14-20 810.466252695
7 25 0 7-11,11-13,13-14,14-25 642.357071838
7 25 1 7-17,17-15,15-16,16-11,11-13,13-14,14-25 644.128186064
7 25 2 7-17,17-12,12-24,24-25 648.786568576
7 25 3 7-17,17-8,8-12,12-26,26-14,14-25 650.283802221
7 25 4 7-17,17-5,5-12,12-24,24-25 665.138685586
7 25 5 7-11,11-13,13-19,19-14,14-25 649.174761152
22 19 0 22-21,21-14,14-19 468.634659013
22 19 1 22-23,23-12,12-13,13-19 607.912874548
22 19 2 22-21,21-14,14-13,13-19 728.695783975
