s t h tm
0 1 0 0.00904587163018
0 1 1 0.0706077962338
0 2 0 0.0241751687229
0 2 1 0.0469588826021
0 3 0 0.00349861952901
0 3 1 0.026384835015
0 4 0 0.000276514165251
0 4 1 0.0464722934397
0 5 0 0.0440140629267
0 5 1 0.0886730690883
0 6 0 7.78538294758e-05
0 6 1 0.0140460144195
0 7 0 0.0485359985029
0 7 1 0.0122704509871
0 8 0 0.0282995989666
0 8 1 0.0118513026144
0 9 0 0.0188280259333
0 9 1 0.0216885878007
0 10 0 0.0207718373958
0 10 1 0.0788269283602
0 11 0 0.0521689124442
0 11 1 0.00262621356881
0 12 0 0.0708666834389
0 12 1 0.0464036245301
0 13 0 0.000364035636694
0 13 1 0.00192095259931
0 14 0 0.0010926552905
0 14 1 0.0317305971465
0 15 0 0.0131199912965
0 15 1 0.0239749355235
0 16 0 0.000185206981465
0 16 1 0.0120395287495
0 17 0 0.0327603203261
0 17 1 0.00220665582694
0 18 0 0.0194139104866
0 18 1 0.0704815851494
1 0 0 0.00299727452116
1 0 1 0.00211274845084
1 2 0 0.00128595449203
1 2 1 0.00450779693297
1 3 0 0.00154400415444
1 3 1 0.000889954043555
1 4 0 0.000474615612404
1 4 1 0.0033329978386
1 5 0 0.00264362291528
1 5 1 0.00816352564272
1 6 0 0.00039441577772
1 6 1 0.00075595004928
1 7 0 0.00444166613095
1 7 1 0.000510919119046
1 8 0 0.00193849281327
1 8 1 0.00133173204973
1 9 0 0.00259553259052
1 9 1 0.000704478925476
1 10 0 0.00611171512288
1 10 1 0.00200044045212
1 11 0 0.00116402515248
1 11 1 0.00329894769252
1 12 0 0.00737490831664
1 12 1 0.00217656529236
1 13 0 0.000149028544857
1 13 1 3.70799871429e-05
1 14 0 0.000470695791506
1 14 1 0.00220270410649
1 15 0 0.00210347996684
1 15 1 0.000917840781158
1 16 0 8.81307228465e-05
1 16 1 0.000907553886154
1 17 0 0.00184006416782
1 17 1 0.00100793849918
1 18 0 0.00112448845556
1 18 1 0.00619735173544
2 0 0 0.010897988416
2 0 1 0.00565854662205
2 1 0 0.00286151645858
2 1 1 0.0181585794484
2 3 0 0.00264846183093
2 3 1 0.00523759159707
2 4 0 0.00388661141541
2 4 1 0.00845010132759
2 5 0 0.0195448568296
2 5 1 0.0154704326774
2 6 0 0.00188514186365
2 6 1 0.00184205706035
2 7 0 0.00131898949625
2 7 1 0.0147274454558
2 8 0 0.00408497694654
2 8 1 0.00651059039646
2 9 0 0.00939382623657
2 9 1 0.00129825021543
2 10 0 0.0223294348359
2 10 1 0.00395404544208
2 11 0 0.00872601808197
2 11 1 0.00573406687003
2 12 0 0.0117232703019
2 12 1 0.0192236174771
2 13 0 0.000301991717368
2 13 1 0.000301002132632
2 14 0 0.0045345316632
2 14 1 0.0041273157158
2 15 0 0.00905439760692
2 15 1 0.000734717450075
2 16 0 0.00252140956727
2 16 1 0.000704620374732
2 17 0 0.00650590835785
2 17 1 0.00272165406315
2 18 0 0.0035335468033
2 18 1 0.0201893022577
3 0 0 2.41209618551e-05
3 0 1 0.00486305344414
3 1 0 0.00508538848226
3 1 1 0.00111934424074
3 2 0 0.00320777993748
3 2 1 0.00233330546152
3 4 0 0.0027799943209
3 4 1 0.000861568762097
3 5 0 0.00274142375045
3 5 1 0.00759442407655
3 6 0 0.000471755315203
3 6 1 0.000628442953797
3 7 0 0.000491013139459
3 7 1 0.00424558941754
3 8 0 0.00103289772423
3 8 1 0.00209471233477
3 9 0 0.00262978813809
3 9 1 0.000526309575907
3 10 0 0.00770970102357
3 10 1 4.86827094281e-05
3 11 0 0.00211603825385
3 11 1 0.00215230393915
3 12 0 0.00889646720376
3 12 1 0.000238465772239
3 13 0 2.11755918627e-05
3 13 1 0.000156816730137
3 14 0 0.00250607935311
3 14 1 5.07333328902e-05
3 15 0 0.000311226573355
3 15 1 0.00257833410164
3 16 0 0.000287720027719
3 16 1 0.000664542684281
3 17 0 0.000841946641536
3 17 1 0.00188185437046
3 18 0 0.00526511975629
