s t k edges
7 3 0 7-3 7077.36709023
7 3 1 7-6,6-1,1-2,2-11,11-0,0-3 10448.8547089
7 3 2 7-6,6-14,14-2,2-11,11-0,0-3 13585.0706038
7 3 3 7-5,5-4,4-6,6-1,1-2,2-11,11-0,0-3 19109.3381758
7 3 4 7-6,6-13,13-14,14-2,2-11,11-0,0-3 16184.7580644
7 3 5 7-6,6-14,14-17,17-18,18-10,10-2,2-11,11-0,0-3 20330.9927036
16 9 0 16-9 1320.9851701
16 9 1 16-15,15-9 1320.9851701
16 9 2 16-8,8-15,15-9 1952.92815146
16 9 3 16-13,13-14,14-9 7873.03724579
16 9 4 16-17,17-14,14-9 9738.82163573
16 9 5 16-15,15-14,14-9 6242.60897927
8 5 0 8-12,12-13,13-4,4-5 11545.3990083
8 5 1 8-16,16-13,13-4,4-5 12480.8009743
8 5 2 8-12,12-13,13-6,6-7,7-5 12999.2402163
8 5 3 8-15,15-14,14-6,6-7,7-5 13931.6773798
8 5 4 8-15,15-9,9-14,14-6,6-4,4-5 14352.2965328
8 5 5 8-16,16-13,13-6,6-7,7-5 13934.6421823
9 0 0 9-14,14-2,2-11,11-0 9922.61178707
9 0 1 9-15,15-14,14-2,2-11,11-0 9922.61178707
9 0 2 9-14,14-6,6-7,7-3,3-0 15661.4497161
9 0 3 9-16,16-17,17-18,18-10,10-2,2-11,11-0 13407.9112563
9 0 4 9-15,15-14,14-6,6-7,7-3,3-0 15661.4497161
9 0 5 9-16,16-13,13-14,14-2,2-11,11-0 14195.0103938
10 7 0 10-2,2-1,1-6,6-7 9005.75241739
10 7 1 10-2,2-11,11-0,0-3,3-7 9947.19931596
10 7 2 10-18,18-17,17-14,14-6,6-7 17461.1604779
10 7 3 10-2,2-14,14-13,13-6,6-7 14741.6557729
10 7 4 10-2,2-1,1-6,6-4,4-5,5-7 17666.2358843
10 7 5 10-18,18-17,17-16,16-13,13-6,6-7 18306.5383313
0 17 0 0-11,11-2,2-10,10-18,18-17 9508.31916871
0 17 1 0-11,11-2,2-14,14-17 12161.2026961
0 17 2 0-3,3-7,7-6,6-14,14-17 17900.0406251
0 17 3 0-3,3-7,7-6,6-13,13-16,16-17 18745.4184786
0 17 4 0-11,11-2,2-14,14-9,9-16,16-17 13822.2038747
0 17 5 0-3,3-7,7-6,6-13,13-12,12-8,8-16,16-17 19260.5476216
14 1 0 14-2,2-1 8497.01552088
14 1 1 14-6,6-1 11223.9752746
14 1 2 14-13,13-6,6-1 13823.6627352
14 1 3 14-17,17-18,18-10,10-2,2-1 15242.9376207
14 1 4 14-9,9-15,15-8,8-12,12-13,13-6,6-1 17668.4871141
14 1 5 14-15,15-16,16-17,17-18,18-10,10-2,2-1 16903.9387993
12 17 0 12-8,8-16,16-17 4876.73058588
12 17 1 12-13,13-16,16-17 6574.32402224
12 17 2 12-13,13-14,14-17 8328.63362946
12 17 3 12-8,8-15,15-14,14-17 9960.73542902
12 17 4 12-8,8-15,15-16,16-17 6700.11279845
12 17 5 12-13,13-14,14-9,9-16,16-17 9989.63480805
15 4 0 15-8,8-12,12-13,13-4 12191.3778621
15 4 1 15-16,16-13,13-4 12494.8368467
15 4 2 15-14,14-6,6-4 12542.9501926
15 4 3 15-9,9-14,14-6,6-7,7-5,5-4 13285.6985261
15 4 4 15-14,14-13,13-4 13268.1772923
15 4 5 15-16,16-13,13-6,6-4 14369.2972076
3 2 0 3-0,0-11,11-2 2156.46725862
3 2 1 3-7,7-6,6-1,1-2 15369.7545405
3 2 2 3-7,7-6,6-14,14-2 18505.9704354
3 2 3 3-7,7-5,5-4,4-6,6-1,1-2 24030.2380075
3 2 4 3-7,7-6,6-13,13-14,14-2 21105.657896
3 2 5 3-7,7-6,6-14,14-17,17-18,18-10,10-2 25251.8925352
4 5 0 4-5 581.683743224
4 5 1 4-6,6-7,7-5 8078.79972372
4 5 2 4-13,13-6,6-7,7-5 18604.5166744
4 5 3 4-6,6-1,1-2,2-11,11-0,0-3,3-7,7-5 25605.0215228
4 5 4 4-13,13-14,14-6,6-7,7-5 21050.568266
4 5 5 4-13,13-12,12-8,8-15,15-9,9-14,14-6,6-7,7-5 24895.392645
16 0 0 16-15,15-14,14-2,2-11,11-0 11243.5969572
16 0 1 16-9,9-14,14-2,2-11,11-0 11243.5969572
16 0 2 16-13,13-6,6-7,7-3,3-0 16166.811561
16 0 3 16-17,17-18,18-10,10-2,2-11,11-0 12086.9260862
16 0 4 16-8,8-12,12-13,13-6,6-7,7-3,3-0 16681.940704
16 0 5 16-13,13-14,14-2,2-11,11-0 12874.0252237
17 13 0 17-16,16-13 5467.96273256
17 13 1 17-16,16-8,8-12,12-13 5983.09187556
17 13 2 17-14,14-13 7222.27233978
17 13 3 17-14,14-15,15-16,16-13 11370.5557033
17 13 4 17-16,16-9,9-14,14-13 8883.27351837
17 13 5 17-14,14-15,15-8,8-12,12-13 11067.0967187
18 10 0 18-10 2724.64256914
18 10 1 18-17,17-14,14-2,2-10 14631.9447784
18 10 2 18-17,17-16,16-15,15-14,14-2,2-10 16292.945957
18 10 3 18-17,17-14,14-6,6-1,1-2,2-10 23742.2703261
18 10 4 18-17,17-16,16-9,9-14,14-2,2-10 16292.945957
18 10 5 18-17,17-16,16-13,13-14,14-2,2-10 17923.3742235
8 12 0 8-12 1572.85811386
8 12 1 8-16,16-13,13-12 4720.98265922
8 12 2 8-15,15-16,16-13,13-12 6544.36487178
8 12 3 8-15,15-14,14-13,13-12 7317.70531739
8 12 4 8-16,16-9,9-14,14-13,13-12 8136.29344503
8 12 5 8-16,16-17,17-14,14-13,13-12 11632.5061015
10 14 0 10-2,2-14 6018.69759097
10 14 1 10-18,18-17,17-14 11337.8897566
10 14 2 10-18,18-17,17-16,16-15,15-14 12998.8909352
10 14 3 10-2,2-1,1-6,6-14 15129.0231387
10 14 4 10-2,2-11,11-0,0-3,3-7,7-6,6-14 16070.4700373
10 14 5 10-18,18-17,17-16,16-9,9-14 12998.8909352
8 18 0 8-16,16-17,17-18 7217.71684585
8 18 1 8-15,15-16,16-17,17-18 9041.09905842
8 18 2 8-15,15-14,14-2,2-10,10-18 12431.8146617
8 18 3 8-16,16-9,9-14,14-17,17-18 13120.3098166
8 18 4 8-12,12-13,13-16,16-17,17-18 12061.0265099
8 18 5 8-15,15-9,9-14,14-2,2-10,10-18 12431.8146617
11 15 0 11-2,2-14,14-15 7766.14452845
11 15 1 11-2,2-14,14-9,9-15 7766.14452845
11 15 2 11-0,0-3,3-7,7-6,6-13,13-16,16-15 19644.2639898
11 15 3 11-2,2-10,10-18,18-17,17-16,16-8,8-15 11883.3869791
11 15 4 11-2,2-14,14-13,13-12,12-8,8-15 11735.0841505
11 15 5 11-2,2-14,14-9,9-16,16-15 10408.1148687
14 8 0 14-15,15-8 3688.47450155
14 8 1 14-9,9-15,15-8 3688.47450155
14 8 2 14-15,15-16,16-8 4507.06262919
14 8 3 14-13,13-12,12-8 5202.0889297
14 8 4 14-17,17-16,16-8 8003.27528564
14 8 5 14-9,9-16,16-8 4507.06262919
12 8 0 12-8 1572.85811386
12 8 1 12-13,13-16,16-8 4720.98265922
12 8 2 12-13,13-16,16-15,15-8 6544.36487178
12 8 3 12-13,13-14,14-15,15-8 7317.70531739
12 8 4 12-13,13-14,14-9,9-16,16-8 8136.29344503
12 8 5 12-13,13-14,14-17,17-16,16-8 11632.5061015
15 13 0 15-8,8-12,12-13 3906.8820005
15 13 1 15-16,16-13 4210.34098514
15 13 2 15-9,9-16,16-13 4210.34098514
15 13 3 15-14,14-13 4983.68143075
15 13 4 15-9,9-14,14-13 4983.68143075
15 13 5 15-16,16-8,8-12,12-13 4725.47012814
2 18 0 2-10,10-18 3438.00753626
2 18 1 2-14,14-17,17-18 13918.5798113
2 18 2 2-14,14-9,9-16,16-17,17-18 15579.5809899
2 18 3 2-1,1-6,6-14,14-17,17-18 23028.905359
2 18 4 2-14,14-15,15-16,16-17,17-18 15579.5809899
2 18 5 2-14,14-13,13-16,16-17,17-18 17210.0092564
0 14 0 0-11,11-2,2-14 7461.79988248
0 14 1 0-3,3-7,7-6,6-14 13200.6378115
0 14 2 0-11,11-2,2-10,10-18,18-17,17-14 14207.7219823
0 14 3 0-3,3-7,7-6,6-13,13-14 15800.3252722
0 14 4 0-11,11-2,2-1,1-6,6-14 16572.1254302
0 14 5 0-3,3-7,7-6,6-13,13-12,12-8,8-15,15-14 19645.1496511
3 11 0 3-0,0-11 2156.46725862
3 11 1 3-7,7-6,6-1,1-2,2-11 15369.7545405
3 11 2 3-7,7-6,6-14,14-2,2-11 18505.9704354
3 11 3 3-7,7-5,5-4,4-6,6-1,1-2,2-11 24030.2380075
3 11 4 3-7,7-6,6-13,13-14,14-2,2-11 21105.657896
3 11 5 3-7,7-6,6-14,14-17,17-18,18-10,10-2,2-11 25251.8925352
1 15 0 1-2,2-14,14-15 10957.8274255
1 15 1 1-2,2-14,14-9,9-15 10957.8274255
1 15 2 1-6,6-14,14-15 13684.7871791
1 15 3 1-6,6-13,13-12,12-8,8-15 15207.6752095
1 15 4 1-2,2-10,10-18,18-17,17-16,16-15 14443.1268947
1 15 5 1-6,6-13,13-16,16-15 15511.1341942
4 12 0 4-13,13-12 9390.85715127
4 12 1 4-6,6-13,13-12 11265.3175122
4 12 2 4-13,13-16,16-8,8-12 13471.975345
4 12 3 4-5,5-7,7-6,6-14,14-15,15-8,8-12 16086.2192369
4 12 4 4-6,6-14,14-13,13-12 13711.3691038
4 12 5 4-13,13-16,16-15,15-8,8-12 15295.3575575
2 12 0 2-14,14-13,13-12 8934.5634397
2 12 1 2-14,14-15,15-8,8-12 10566.6652393
2 12 2 2-10,10-18,18-17,17-16,16-8,8-12 12228.582496
2 12 3 2-1,1-6,6-13,13-12 15598.8373957
2 12 4 2-14,14-9,9-16,16-13,13-12 13082.8468033
2 12 5 2-14,14-9,9-15,15-8,8-12 10566.6652393
5 1 0 5-7,7-6,6-1 9220.63671027
5 1 1 5-4,4-6,6-1 9641.2558632
5 1 2 5-7,7-3,3-0,0-11,11-2,2-1 16545.4494029
5 1 3 5-4,4-13,13-14,14-2,2-1 19886.0646518
5 1 4 5-4,4-13,13-6,6-1 20166.9728139
5 1 5 5-7,7-6,6-14,14-2,2-1 18740.2183992
3 17 0 3-0,0-11,11-2,2-10,10-18,18-17 9508.31916871
3 17 1 3-0,0-11,11-2,2-14,14-17 12161.2026961
3 17 2 3-7,7-6,6-14,14-17 17900.0406251
3 17 3 3-7,7-6,6-13,13-16,16-17 18745.4184786
3 17 4 3-7,7-6,6-13,13-12,12-8,8-16,16-17 19260.5476216
3 17 5 3-0,0-11,11-2,2-14,14-9,9-16,16-17 13822.2038747
16 7 0 16-13,13-6,6-7 9089.44447082
16 7 1 16-8,8-12,12-13,13-6,6-7 9604.57361381
16 7 2 16-13,13-4,4-5,5-7 15875.4675769
16 7 3 16-15,15-14,14-6,6-7 9905.06779598
16 7 4 16-9,9-14,14-6,6-7 9905.06779598
16 7 5 16-17,17-14,14-6,6-7 13401.2804524
6 14 0 6-14 6123.27072129
6 14 1 6-13,13-14 8722.95818194
6 14 2 6-13,13-12,12-8,8-15,15-14 12567.7825609
6 14 3 6-1,1-2,2-14 13597.7200741
6 14 4 6-13,13-16,16-9,9-14 12871.2415455
6 14 5 6-13,13-16,16-15,15-14 12871.2415455
17 6 0 17-14,14-6 10822.6735349
17 6 1 17-16,16-13,13-6 11668.0513883
17 6 2 17-16,16-8,8-12,12-13,13-6 12183.1805313
17 6 3 17-16,16-15,15-14,14-6 12483.6747135
17 6 4 17-14,14-13,13-6 13422.3609956
17 6 5 17-16,16-9,9-14,14-6 12483.6747135
7 15 0 7-6,6-14,14-15 8584.08262588
7 15 1 7-6,6-14,14-9,9-15 8584.08262588
7 15 2 7-5,5-4,4-13,13-16,16-15 17196.452747
7 15 3 7-6,6-13,13-12,12-8,8-15 10106.9706563
7 15 4 7-6,6-13,13-14,14-15 11183.7700865
7 15 5 7-6,6-13,13-16,16-15 10410.4296409
18 5 0 18-10,10-2,2-1,1-6,6-7,7-5 15850.3271435
18 5 1 18-10,10-2,2-1,1-6,6-4,4-5 16270.9462965
18 5 2 18-17,17-16,16-13,13-4,4-5 18247.9867112
18 5 3 18-17,17-14,14-6,6-7,7-5 18856.4500657
18 5 4 18-10,10-2,2-11,11-0,0-3,3-7,7-5 16791.7740421
18 5 5 18-17,17-16,16-8,8-12,12-13,13-4,4-5 18763.1158542
10 9 0 10-2,2-14,14-9 8479.50949556
10 9 1 10-2,2-14,14-15,15-9 8479.50949556
10 9 2 10-18,18-17,17-16,16-9 10538.0790306
10 9 3 10-18,18-17,17-14,14-9 13798.7016612
10 9 4 10-2,2-14,14-13,13-12,12-8,8-15,15-9 12448.4491176
10 9 5 10-18,18-17,17-16,16-15,15-9 10538.0790306
11 4 0 11-2,2-1,1-6,6-4 12251.255017
11 4 1 11-2,2-1,1-6,6-7,7-5,5-4 12994.0033505
11 4 2 11-0,0-3,3-7,7-6,6-4 13192.7019156
11 4 3 11-2,2-14,14-13,13-4 16112.6980116
11 4 4 11-0,0-3,3-7,7-5,5-4 13935.4502491
11 4 5 11-2,2-14,14-15,15-8,8-12,12-13,13-4 19957.5223905
12 7 0 12-13,13-6,6-7 7306.44994546
12 7 1 12-13,13-14,14-6,6-7 9752.50153713
12 7 2 12-8,8-16,16-13,13-4,4-5,5-7 18173.5912452
12 7 3 12-8,8-15,15-14,14-6,6-7 11384.6033367
12 7 4 12-13,13-4,4-6,6-7 13349.724718
12 7 5 12-8,8-15,15-9,9-14,14-6,6-7 11384.6033367
15 10 0 15-14,14-2,2-10 8479.50949556
15 10 1 15-9,9-14,14-2,2-10 8479.50949556
15 10 2 15-16,16-17,17-18,18-10 10538.0790306
15 10 3 15-8,8-16,16-17,17-18,18-10 11170.022012
15 10 4 15-8,8-12,12-13,13-14,14-2,2-10 12448.4491176
15 10 5 15-14,14-17,17-18,18-10 13798.7016612
13 6 0 13-6 6200.08865578
13 6 1 13-14,14-6 8646.14024745
13 6 2 13-4,4-6 12243.3634283
13 6 3 13-12,12-8,8-15,15-14,14-6 12490.9646264
13 6 4 13-4,4-5,5-7,7-6 12986.1117618
13 6 5 13-16,16-9,9-14,14-6 12794.423611
0 5 0 0-3,3-7,7-5 11197.2992472
0 5 1 0-3,3-7,7-6,6-4,4-5 11617.9184002
0 5 2 0-11,11-2,2-1,1-6,6-7,7-5 14568.7868659
0 5 3 0-11,11-2,2-14,14-13,13-4,4-5 18850.8490135
0 5 4 0-11,11-2,2-14,14-6,6-4,4-5 18125.6219137
0 5 5 0-3,3-7,7-6,6-13,13-4,4-5 22143.6353508
1 0 0 1-2,2-11,11-0 5348.15015563
1 0 1 1-6,6-7,7-3,3-0 12178.0716435
1 0 2 1-6,6-14,14-2,2-11,11-0 18685.775157
1 0 3 1-6,6-4,4-5,5-7,7-3,3-0 20838.5551104
1 0 4 1-2,2-14,14-13,13-6,6-7,7-3,3-0 24297.340793
1 0 5 1-6,6-14,14-17,17-18,18-10,10-2,2-11,11-0 25431.6972569
4 11 0 4-6,6-1,1-2,2-11 12251.255017
4 11 1 4-5,5-7,7-6,6-1,1-2,2-11 12994.0033505
