s t h tm
0 1 0 0.0206512344941
0 1 1 0.0016739459279
0 2 0 0.223357188623
0 2 1 0.121768279849
0 3 0 0.152944452681
0 3 1 0.0324123452373
0 4 0 0.0243540071559
0 4 1 0.108734278229
0 5 0 0.00295259638694
0 5 1 0.0883812921751
0 6 0 0.024682238135
0 6 1 0.00940205594602
0 7 0 0.048293906069
0 7 1 0.000903085835956
0 8 0 0.0251442657926
0 8 1 0.0458227578884
0 9 0 0.0544523232103
0 9 1 0.0712092890457
1 0 0 0.0135902532297
1 0 1 0.00294444712927
1 2 0 0.0065643951431
1 2 1 0.0215455063389
1 3 0 0.00432107691859
1 3 1 0.0107759292564
1 4 0 0.00456037097845
1 4 1 0.00627945086155
1 5 0 0.000678438721265
1 5 1 0.00676055620674
1 6 0 0.00202384254262
1 6 1 0.000752267122376
1 7 0 0.00383493905029
1 7 1 0.000172074983714
1 8 0 0.00503701536134
1 8 1 0.000743131936664
1 9 0 0.00279020034505
1 9 1 0.00744473118895
2 0 0 0.0225295151309
2 0 1 0.0310431101451
2 1 0 0.00171815485511
2 1 1 0.00417331814489
2 3 0 0.0296056837859
2 3 1 0.0193087952801
2 4 0 0.0285681063177
2 4 1 0.00655304501032
2 5 0 0.013513235778
2 5 1 0.01058919602
2 6 0 0.0015038397125
2 6 1 0.0074907885285
2 7 0 0.0104404939249
2 7 1 0.00254227907112
2 8 0 0.0182032131509
2 8 1 0.00052453265213
2 9 0 0.0015949210622
2 9 1 0.0315663785018
3 0 0 0.00125147666277
3 0 1 0.0145621439102
3 1 0 0.000412045523007
3 1 1 0.00132700531099
3 2 0 0.0167734315964
3 2 1 0.0101105945266
3 4 0 0.00356617699684
3 4 1 0.00680091922716
3 5 0 0.000883192508311
3 5 1 0.00623138717469
3 6 0 8.24801434992e-05
3 6 1 0.0025725631265
3 7 0 0.002733562057
3 7 1 0.001098705731
3 8 0 0.00444078313685
3 8 1 0.00108729141215
3 9 0 0.00326775594932
3 9 1 0.00652082929068
4 0 0 0.0302135515981
4 0 1 0.178835486936
4 1 0 0.0172804680137
4 1 1 0.00570901140729
4 2 0 0.138321015283
4 2 1 0.21707386642
4 3 0 0.00384268979945
4 3 1 0.187029509696
4 5 0 0.00921016334564
4 5 1 0.0848414192994
4 6 0 0.0331085077229
4 6 1 0.00198998476508
4 7 0 0.0189919714113
4 7 1 0.0316689061977
4 8 0 0.0418075201036
4 8 1 0.0312711695034
4 9 0 0.0113436633821
4 9 1 0.118057084758
5 0 0 0.0332493776752
5 0 1 0.0249021628008
5 1 0 0.00620647909012
5 1 1 0.000188545026879
5 2 0 0.0368632149867
5 2 1 0.0619976073033
5 3 0 0.0137278532494
5 3 1 0.0393674037896
5 4 0 0.00824209238337
5 4 1 0.0298809049966
5 6 0 0.00922306542471
5 6 1 0.000540344256286
5 7 0 0.00574403219947
5 7 1 0.00834839365253
5 8 0 0.0173077739385
5 8 1 0.00302065429249
5 9 0 0.00245264103947
5 9 1 0.0335429937445
6 0 0 0.00467797559542
6 0 1 5.76360565766e-05
6 1 0 0.000331464990362
6 1 1 0.000189318302638
6 2 0 0.00339839372708
6 2 1 0.00465240695892
6 3 0 0.000462761313605
6 3 1 0.00386108833639
6 4 0 0.00152307531778
6 4 1 0.00158149782222
6 5 0 0.00204772426924
6 5 1 8.28369317562e-05
6 7 0 6.17589689671e-05
6 7 1 0.00108586765503
6 8 0 0.000484000937927
6 8 1 0.00117145893107
6 9 0 0.00150842974711
6 9 1 0.00142290012189
7 0 0 0.0118072247615
7 0 1 0.0351870692895
7 1 0 0.00219403757616
7 1 1 0.00297400511584
7 2 0 0.00203690707269
7 2 1 0.0778559816583
7 3 0 0.0097631935609
7 3 1 0.0331449409711
7 4 0 0.00853922868464
7 4 1 0.0222692990734
7 5 0 0.0111851972203
7 5 1 0.00995763013565
7 6 0 0.00146817047501
7 6 1 0.00642198242099
7 8 0 0.00238313192456
7 8 1 0.0140449820354
7 9 0 0.0279733465938
7 9 1 0.0011159850342
8 0 0 0.0122698600815
8 0 1 0.0447459109095
8 1 0 0.00230949832577
8 1 1 0.00396062328323
8 2 0 0.0704671463588
8 2 1 0.0264628052392
8 3 0 0.015975395501
8 3 1 0.036082847346
8 4 0 0.00980821006022
8 4 1 0.0275701993558
8 5 0 0.00477471788507
8 5 1 0.0208767920909
8 6 0 0.00182706959288
8 6 1 0.00774564896112
8 7 0 0.00358476099221
8 7 1 0.0102324228428
8 9 0 0.01806106317
8 9 1 0.017231533599
9 0 0 0.0639104578811
9 0 1 0.0306491778609
9 1 0 0.00895055948987
9 1 1 0.00144832497813
9 2 0 0.00953846354884
9 2 1 0.15121812636
9 3 0 0.0319471904105
9 3 1 0.0543904736325
9 4 0 0.0170539868876
9 4 1 0.0449374361444
9 5 0 0.0160872091453
9 5 1 0.0264553610487
9 6 0 0.00771785507214
9 6 1 0.00815832732086
9 7 0 0.0152983414728
9 7 1 0.00761721062322
9 8 0 0.0297634048473
9 8 1 0.00329244806765
