s t k edges
7 3 0 7-3 2883.22449516
7 3 1 7-6,6-0,0-3 3011.82022586
7 3 2 7-2,2-3 3864.85995462
7 3 3 7-8,8-3 5174.8012288
7 3 4 7-6,6-5,5-4,4-3 3879.31393686
7 3 5 7-8,8-9,9-3 5292.37275416
6 9 0 6-9 1517.84427999
6 9 1 6-7,7-8,8-9 2137.95106302
6 9 2 6-5,5-9 2698.90452761
6 9 3 6-0,0-3,3-9 6166.241917
6 9 4 6-5,5-1,1-9 2829.86339602
6 9 5 6-7,7-3,3-9 7364.89248927
0 7 0 0-6,6-7 1558.43039934
0 7 1 0-6,6-9,9-8,8-7 3886.97943937
0 7 2 0-3,3-7 4336.61432169
0 7 3 0-3,3-2,2-7 5318.24978115
0 7 4 0-3,3-4,4-5,5-6,6-7 5332.70376339
0 7 5 0-3,3-8,8-7 6628.19105533
1 6 0 1-5,5-6 1957.93692866
1 6 1 1-9,9-6 2389.77074735
1 6 2 1-9,9-8,8-7,7-6 3009.87753038
1 6 3 1-5,5-4,4-3,3-0,0-6 6020.71895884
1 6 4 1-9,9-5,5-6 3570.83099497
1 6 5 1-5,5-9,9-6 4673.57990669
3 7 0 3-7 2883.22449516
3 7 1 3-0,0-6,6-7 3011.82022586
3 7 2 3-2,2-7 3864.85995462
3 7 3 3-8,8-7 5174.8012288
3 7 4 3-4,4-5,5-6,6-7 3879.31393686
3 7 5 3-9,9-8,8-7 5292.37275416
2 5 0 2-3,3-4,4-5 3541.33518524
2 5 1 2-3,3-0,0-6,6-5 4174.94730381
2 5 2 2-7,7-6,6-5 4202.83870624
2 5 3 2-7,7-8,8-9,9-5 6211.34216432
2 5 4 2-3,3-9,9-1,1-5 6973.55263851
2 5 5 2-7,7-6,6-9,9-5 6918.48168427
8 5 0 8-9,9-5 2276.84233554
8 5 1 8-9,9-1,1-5 2407.80120395
8 5 2 8-7,7-6,6-5 2560.01325508
8 5 3 8-3,3-4,4-5 6494.10191058
8 5 4 8-3,3-0,0-6,6-5 7127.71402915
8 5 5 8-7,7-6,6-9,9-5 5275.65623311
5 8 0 5-9,9-8 2276.84233554
5 8 1 5-1,1-9,9-8 2407.80120395
5 8 2 5-6,6-7,7-8 2560.01325508
5 8 3 5-4,4-3,3-8 6494.10191058
5 8 4 5-6,6-0,0-3,3-8 7127.71402915
5 8 5 5-9,9-6,6-7,7-8 5275.65623311
4 0 0 4-3,3-0 2003.39132621
4 0 1 4-5,5-6,6-0 3560.49653354
4 0 2 4-3,3-7,7-6,6-0 4991.65639419
4 0 3 4-5,5-9,9-6,6-0 6276.13951157
4 0 4 4-3,3-2,2-7,7-6,6-0 5973.29185365
4 0 5 4-5,5-1,1-9,9-6,6-0 6407.09837998
9 0 0 9-6,6-0 2412.65152784
9 0 1 9-8,8-7,7-6,6-0 3032.75831087
9 0 2 9-3,3-0 5271.43466915
9 0 3 9-5,5-4,4-3,3-0 5866.87930994
9 0 4 9-1,1-5,5-6,6-0 3724.67064387
9 0 5 9-8,8-3,3-0 5810.84458924
6 7 0 6-7 663.623151486
6 7 1 6-9,9-8,8-7 2992.17219152
6 7 2 6-5,5-9,9-8,8-7 4173.23243914
6 7 3 6-0,0-3,3-7 5231.42156954
6 7 4 6-5,5-4,4-3,3-2,2-7 7080.55074
6 7 5 6-9,9-3,3-7 8219.11361778
7 6 0 7-6 663.623151486
7 6 1 7-8,8-9,9-6 2992.17219152
7 6 2 7-8,8-9,9-5,5-6 4173.23243914
7 6 3 7-3,3-0,0-6 5231.42156954
7 6 4 7-2,2-3,3-4,4-5,5-6 7080.55074
7 6 5 7-3,3-9,9-6 8219.11361778
0 4 0 0-3,3-4 2003.39132621
0 4 1 0-6,6-5,5-4 3560.49653354
0 4 2 0-6,6-7,7-3,3-4 4991.65639419
0 4 3 0-6,6-9,9-5,5-4 6276.13951157
0 4 4 0-6,6-7,7-2,2-3,3-4 5973.29185365
0 4 5 0-6,6-9,9-1,1-5,5-4 6407.09837998
3 2 0 3-2 1076.19731465
3 2 1 3-7,7-2 5671.88713513
3 2 2 3-0,0-6,6-7,7-2 5800.48286583
3 2 3 3-8,8-7,7-2 7963.46386878
3 2 4 3-4,4-5,5-6,6-7,7-2 6667.97657683
3 2 5 3-9,9-8,8-7,7-2 8081.03539413
2 6 0 2-3,3-0,0-6 3424.39438903
2 6 1 2-7,7-6 3452.28579146
2 6 2 2-3,3-4,4-5,5-6 4291.88810003
2 6 3 2-7,7-8,8-9,9-6 5780.83483149
2 6 4 2-3,3-7,7-6 4623.0449613
2 6 5 2-3,3-9,9-6 6412.08643727
8 2 0 8-7,7-2 3934.49982878
8 2 1 8-3,3-2 5105.16135464
8 2 2 8-7,7-3,3-2 5105.25899863
8 2 3 8-9,9-6,6-7,7-2 5298.62079417
8 2 4 8-9,9-3,3-2 5222.73288
8 2 5 8-9,9-5,5-4,4-3,3-2 5818.17752078
4 5 0 4-5 1915.13637091
4 5 1 4-3,3-0,0-6,6-5 3648.75148885
4 5 2 4-3,3-7,7-6,6-5 4847.40206112
4 5 3 4-3,3-9,9-5 6316.39795513
4 5 4 4-3,3-8,8-9,9-1,1-5 6986.76674363
4 5 5 4-3,3-2,2-7,7-6,6-5 5829.03752058
9 3 0 9-3 3818.04484262
9 3 1 9-6,6-0,0-3 3866.04135437
9 3 2 9-8,8-3 4357.45476271
9 3 3 9-5,5-4,4-3 4413.48948341
9 3 4 9-8,8-7,7-3 4357.55240669
9 3 5 9-6,6-7,7-2,2-3 6046.3273861
6 0 0 6-0 894.807247852
6 0 1 6-5,5-4,4-3,3-0 4669.0806119
6 0 2 6-7,7-3,3-0 5000.23747317
6 0 3 6-9,9-3,3-0 6789.27894914
6 0 4 6-7,7-2,2-3,3-0 5981.87293263
6 0 5 6-9,9-8,8-3,3-0 7328.68886923
7 5 0 7-6,6-5 1414.17606627
7 5 1 7-8,8-9,9-5 3422.67952435
7 5 2 7-8,8-9,9-1,1-5 3553.63839276
7 5 3 7-3,3-4,4-5 5348.36236575
