s t h tm
0 1 0 0.00380029413088
0 1 1 0.00899759845212
0 2 0 0.00835831754012
0 2 1 0.0270593927409
0 3 0 0.00337069875115
0 3 1 0.00757597510985
0 4 0 0.00168571832022
0 4 1 0.0107171294388
0 5 0 3.18570646388e-05
0 5 1 0.000114865007361
0 6 0 0.000106894396172
0 6 1 0.000132978542828
0 7 0 0.000723020159776
0 7 1 0.000769742600224
0 8 0 0.0118993369441
0 8 1 0.00239433026993
0 9 0 0.00455523078807
0 9 1 0.00476285720993
0 10 0 0.000756804450867
0 10 1 0.000445157426133
0 11 0 7.62269351561e-05
0 11 1 0.000415684662844
0 12 0 0.00383322702764
0 12 1 0.00250990257936
0 13 0 0.000396853955832
0 13 1 0.000255300419168
0 14 0 2.63780671746e-05
0 14 1 0.000107147141825
0 15 0 9.91302422258e-05
0 15 1 0.00146504651677
0 16 0 0.0291700767853
0 16 1 0.000504947481679
0 17 0 0.0108003786305
0 17 1 0.00685047250654
0 18 0 0.000936139068178
0 18 1 0.000761421359822
0 19 0 0.00241295202804
0 19 1 0.00214048636796
0 20 0 0.000714378966207
0 20 1 0.00609748842379
0 21 0 0.0130282079287
0 21 1 0.00695151367832
0 22 0 0.0031531677034
0 22 1 0.0007165628316
0 23 0 0.00380112060658
0 23 1 0.00236181538442
0 24 0 0.00092847934406
0 24 1 0.00298282271194
0 25 0 0.00048542332198
0 25 1 0.00769993018302
0 26 0 6.87777144713e-06
0 26 1 1.02587945529e-05
0 27 0 0.00267575168277
0 27 1 0.000346752410232
0 28 0 0.00177386260642
0 28 1 0.00120362446658
0 29 0 0.000382569426117
0 29 1 0.00114733664588
0 30 0 0.00492903386611
0 30 1 0.00277800282389
0 31 0 0.0115608897208
0 31 1 0.00819104791224
0 32 0 0.00127379050435
0 32 1 0.00808216985765
0 33 0 0.000344951625614
0 33 1 2.09083833865e-05
0 34 0 0.00407326868501
0 34 1 0.00367341607399
0 35 0 0.00140461982545
0 35 1 0.000642670976553
0 36 0 0.00478107074864
0 36 1 0.00465520281436
0 37 0 0.00261247139831
0 37 1 5.6702979692e-05
0 38 0 0.0026123506892
0 38 1 0.0133100176978
0 39 0 0.00663892892328
0 39 1 3.79405147175e-05
0 40 0 0.00545465537188
0 40 1 0.00217926080012
0 41 0 0.0043137313876
0 41 1 0.0033962525924
0 42 0 0.0037351295172
0 42 1 0.000748743986799
0 43 0 0.00251715364164
0 43 1 0.000135434458358
0 44 0 0.000239377158107
0 44 1 0.000345338741893
0 45 0 3.27300204357e-05
0 45 1 0.000437315880564
0 46 0 0.00432219320934
0 46 1 0.00478823982766
0 47 0 0.000730594240635
0 47 1 0.00405270529337
1 0 0 4.85763212339e-05
1 0 1 1.62104877661e-05
1 2 0 0.000159900263587
1 2 1 0.00272481395641
1 3 0 0.000568542000015
1 3 1 0.000323046572985
1 4 0 0.0006047497257
1 4 1 0.0004054418143
1 5 0 1.10765069837e-05
1 5 1 8.73764016299e-07
1 6 0 1.26430093153e-05
1 6 1 6.89424668474e-06
1 7 0 9.32759332006e-05
1 7 1 2.83071367994e-05
1 8 0 0.00108554585061
1 8 1 7.86498233877e-05
1 9 0 0.00035643229854
1 9 1 0.00040251063546
1 10 0 2.58220063944e-05
1 10 1 7.20758106056e-05
1 11 0 2.09500056871e-05
1 11 1 1.91153843129e-05
1 12 0 0.000260109906602
1 12 1 0.000256527561398
1 13 0 1.40273788184e-05
1 13 1 3.90895221816e-05
1 14 0 4.53881274438e-06
1 14 1 6.33659625562e-06
1 15 0 6.1336967517e-05
1 15 1 6.6062655483e-05
1 16 0 0.00178046233237
1 16 1 0.000636519561627
1 17 0 0.000887328366153
1 17 1 0.000550304413847
1 18 0 1.50161838589e-05
1 18 1 0.000123247319141
1 19 0 0.000236796627478
1 19 1 0.000134073436522
1 20 0 0.000139018429458
1 20 1 0.000415796960542
1 21 0 0.000366318498762
1 21 1 0.00126099694824
1 22 0 0.000126008379086
1 22 1 0.000189174804914
1 23 0 0.000142556425334
1 23 1 0.000359404569666
1 24 0 0.000176118923846
1 24 1 0.000142450192154
1 25 0 0.000173073807133
1 25 1 0.000493609766867
1 26 0 5.67539830916e-07
1 26 1 8.28205169084e-07
1 27 0 0.000150260367008
1 27 1 9.59176179922e-05
1 28 0 0.000141041005299
1 28 1 0.000101470416701
1 29 0 8.40428077213e-05
1 29 1 4.05655242787e-05
1 30 0 0.000486314212525
1 30 1 0.000141411243475
1 31 0 0.000544686227541
1 31 1 0.00106407658946
1 32 0 0.000448020080821
1 32 1 0.000314007495179
1 33 0 2.58330720065e-05
1 33 1 3.96562399352e-06
1 34 0 0.000587525375969
1 34 1 4.34293500314e-05
1 35 0 0.000108723211842
1 35 1 5.8025255158e-05
1 36 0 0.000751778345136
1 36 1 1.67906088638e-05
1 37 0 0.000174356526284
1 37 1 4.30433347164e-05
1 38 0 0.000955465609343
1 38 1 0.000341385094657
1 39 0 0.000243322799122
1 39 1 0.000300497229878
1 40 0 0.000373986226477
1 40 1 0.000247783683523
1 41 0 9.95511491392e-05
1 41 1 0.000528414358861
1 42 0 2.29472308036e-05
1 42 1 0.000342256887196
1 43 0 0.000183209623567
1 43 1 3.2839312433e-05
1 44 0 1.71638292191e-05
1 44 1 3.04603187809e-05
1 45 0 2.03287590583e-05
1 45 1 1.79557059417e-05
1 46 0 8.78191750888e-05
1 46 1 0.000654210603911
1 47 0 0.000282439030835
1 47 1 0.000107152845165
2 0 0 0.000160584978307
2 0 1 4.93250496929e-05
2 1 0 0.000686648261874
2 1 1 0.00269063412413
2 3 0 0.00222838723744
2 3 1 0.000660370312561
2 4 0 0.00260374539805
2 4 1 0.000669287173953
2 5 0 1.20914824081e-05
2 5 1 2.66275385919e-05
2 6 0 1.40489251606e-05
2 6 1 4.92520168394e-05
2 7 0 0.000255656609303
2 7 1 0.000138273980697
2 8 0 0.00256419078421
2 8 1 0.00120781700579
2 9 0 0.000278825445635
2 9 1 0.00218015866236
2 10 0 3.73825775537e-05
2 10 1 0.000279807510446
2 11 0 8.16290214407e-05
2 11 1 4.81833175593e-05
2 12 0 0.000379692575112
2 12 1 0.00129421895089
2 13 0 0.000161601505663
