s t k edges
31 6 0 31-30,30-36,36-29,29-6 1426.92726194
31 6 1 31-30,30-37,37-36,36-29,29-6 1435.30690029
31 6 2 31-20,20-32,32-2,2-6 2380.5058489
31 6 3 31-30,30-32,32-33,33-7,7-3,3-6 1621.77509924
31 6 4 31-30,30-36,36-35,35-34,34-29,29-3,3-6 1859.03667703
31 6 5 31-30,30-32,32-29,29-6 1661.99376235
40 22 0 40-41,41-21,21-30,30-36,36-29,29-6,6-22 26808.1532105
40 22 1 40-41,41-21,21-30,30-37,37-36,36-29,29-6,6-22 26816.5328488
40 22 2 40-39,39-1,1-0,0-4,4-5,5-3,3-24,24-22 40431.8553559
40 22 3 40-41,41-26,26-21,21-30,30-32,32-33,33-7,7-3,3-6,6-22 27106.3009529
40 22 4 40-41,41-21,21-30,30-36,36-35,35-34,34-29,29-6,6-22 26875.801551
40 22 5 40-41,41-26,26-21,21-30,30-32,32-29,29-6,6-22 27146.519616
21 28 0 21-30,30-36,36-35,35-34,34-28 11571.860179
21 28 1 21-30,30-36,36-29,29-28 11799.7697592
21 28 2 21-41,41-40,40-39,39-1,1-0,0-4,4-2,2-32,32-34,34-28 55079.0021324
21 28 3 21-30,30-32,32-29,29-28 12034.8362596
21 28 4 21-30,30-37,37-36,36-29,29-28 11808.1493975
21 28 5 21-30,30-32,32-34,34-28 11969.6813645
4 36 0 4-2,2-32,32-34,34-35,35-36 1513.72163574
4 36 1 4-2,2-32,32-37,37-36 1516.49623031
4 36 2 4-5,5-3,3-29,29-36 1643.52061709
4 36 3 4-5,5-2,2-6,6-29,29-36 1710.10156109
4 36 4 4-2,2-33,33-32,32-37,37-36 1757.34804298
4 36 5 4-5,5-3,3-6,6-29,29-36 1643.70966152
43 3 0 43-10,10-8,8-1,1-0,0-4,4-5,5-3 36429.7360006
43 3 1 43-10,10-8,8-1,1-0,0-4,4-2,2-3 36489.6156412
43 3 2 43-9,9-41,41-21,21-30,30-36,36-29,29-3 51676.8876923
43 3 3 43-9,9-8,8-1,1-0,0-4,4-2,2-33,33-7,7-3 36831.5381774
43 3 4 43-10,10-44,44-1,1-0,0-4,4-5,5-3 65121.9628517
43 3 5 43-9,9-8,8-1,1-0,0-4,4-2,2-3 36694.4174902
7 25 0 7-3,3-24,24-25 1275.98844956
7 25 1 7-3,3-23,23-25 1461.64616923
7 25 2 7-33,33-2,2-3,3-24,24-25 1861.49148501
7 25 3 7-3,3-6,6-25 1462.80961475
7 25 4 7-33,33-2,2-6,6-25 1989.10307789
7 25 5 7-3,3-29,29-6,6-25 1826.81773785
46 12 0 46-45,45-42,42-41,41-21,21-30,30-36,36-35,35-34,34-28,28-12 29219.2848245
46 12 1 46-45,45-42,42-41,41-21,21-30,30-37,37-36,36-35,35-34,34-28,28-12 29227.6644629
46 12 2 46-47,47-1,1-0,0-4,4-5,5-3,3-29,29-27,27-12 47424.3638241
46 12 3 46-45,45-42,42-26,26-21,21-30,30-36,36-29,29-12 29482.8701738
46 12 4 46-45,45-42,42-26,26-21,21-30,30-37,37-36,36-29,29-12 29491.2498121
46 12 5 46-45,45-42,42-41,41-21,21-30,30-36,36-29,29-12 29384.6462431
29 44 0 29-36,36-30,30-21,21-41,41-42,42-45,45-44 28919.5991193
29 44 1 29-36,36-37,37-30,30-21,21-41,41-42,42-45,45-44 28927.9787577
29 44 2 29-32,32-2,2-4,4-0,0-1,1-44 36676.5779649
29 44 3 29-34,34-35,35-36,36-30,30-21,21-26,26-42,42-45,45-44 29085.4713906
29 44 4 29-32,32-30,30-21,21-26,26-42,42-45,45-44 29252.8895504
29 44 5 29-32,32-30,30-21,21-41,41-42,42-45,45-44 29154.6656197
33 41 0 33-32,32-30,30-21,21-41 25165.8715458
33 41 1 33-32,32-30,30-21,21-26,26-41 25269.1714509
33 41 2 33-2,2-4,4-0,0-1,1-39,39-40,40-41 40688.0727032
33 41 3 33-7,7-3,3-29,29-36,36-30,30-21,21-41 25682.9588799
33 41 4 33-32,32-37,37-30,30-21,21-41 25357.1985378
33 41 5 33-2,2-32,32-30,30-21,21-26,26-41 25668.9481883
16 47 0 16-37,37-30,30-21,21-41,41-42,42-45,45-46,46-47 29685.8947302
16 47 1 16-37,37-32,32-2,2-4,4-0,0-1,1-47 36929.7489153
16 47 2 16-17,17-18,18-37,37-30,30-21,21-41,41-42,42-45,45-44,44-47 31763.8831352
16 47 3 16-37,37-36,36-30,30-21,21-26,26-42,42-45,45-46,46-47 30026.7061012
16 47 4 16-37,37-30,30-21,21-26,26-42,42-45,45-44,44-47 30001.2485893
16 47 5 16-37,37-32,32-30,30-21,21-41,41-42,42-45,45-46,46-47 30661.9812266
36 34 0 36-35,35-34 291.935177363
36 34 1 36-29,29-34 813.11308822
36 34 2 36-37,37-32,32-34 1123.6707952
36 34 3 36-29,29-28,28-34 1126.47479487
36 34 4 36-30,30-32,32-34 1460.60008539
