s t h tm
0 1 0 0.00549775100144
0 1 1 0.0312501362496
0 2 0 0.0524453325566
0 2 1 0.0518561890594
0 3 0 0.00605286396862
0 3 1 0.00504950087338
0 4 0 0.0214565147508
0 4 1 0.0263416787102
0 5 0 0.000120192170347
0 5 1 0.0314412717447
0 6 0 0.00963025046594
0 6 1 0.0222186892091
0 7 0 0.0541369197506
0 7 1 0.0241547929544
0 8 0 0.000997156895544
0 8 1 0.0420757088265
0 9 0 0.0571589372435
0 9 1 0.0350238643275
0 10 0 0.000363505576961
0 10 1 0.00143265767004
0 11 0 0.00153765484473
0 11 1 0.0242637557483
0 12 0 0.00255460933381
0 12 1 0.0266046410982
0 13 0 0.00874808147631
0 13 1 0.000861430152687
0 14 0 0.0070764930589
0 14 1 0.0204100368231
0 15 0 0.00332857170954
0 15 1 0.0673356806475
0 16 0 0.00284686850244
0 16 1 0.0359350866226
0 17 0 0.00675320653825
0 17 1 0.00146790855675
0 18 0 0.0143044603934
0 18 1 0.0129059580416
0 19 0 0.00120942132742
0 19 1 0.000615388472584
0 20 0 0.0161352393814
0 20 1 0.0141575724746
0 21 0 0.0340878071098
0 21 1 0.0433460827392
1 0 0 0.00145110318739
1 0 1 0.000462161043613
1 2 0 0.00609029839326
1 2 1 0.00240488890774
1 3 0 0.000110106117449
1 3 1 0.000794163229551
1 4 0 0.00273593780464
1 4 1 0.00115714639836
1 5 0 0.00241650185789
1 5 1 0.000154127442108
1 6 0 0.00234543025409
1 6 1 0.000248613472907
1 7 0 0.00336003346243
1 7 1 0.00301669770357
1 8 0 0.00270456357795
1 8 1 0.00080365045605
1 9 0 0.00398089197071
1 9 1 0.00352724552529
1 10 0 0.000123170503655
1 10 1 2.31240373451e-05
1 11 0 0.00192706154665
1 11 1 0.00017442088835
1 12 0 0.0023302277531
1 12 1 4.47452108993e-05
1 13 0 0.00048293186876
1 13 1 0.00029974704024
1 14 0 0.00118157034088
1 14 1 0.00105716228712
1 15 0 0.00190081044814
1 15 1 0.00385467662386
1 16 0 0.00209727089102
1 16 1 0.00106145553598
1 17 0 0.000539989331366
1 17 1 0.000129606964634
1 18 0 0.00153395482473
1 18 1 0.000682288980266
1 19 0 0.000100569165631
1 19 1 4.80585893695e-05
1 20 0 0.00213815948413
1 20 1 0.00032914019287
1 21 0 0.00582221855994
1 21 1 0.000484644346062
2 0 0 0.0025652447248
2 0 1 0.0036337540752
2 1 0 0.00513488944414
2 1 1 0.00456264407986
2 3 0 0.00131082195471
2 3 1 0.00161902145429
2 4 0 0.000252095932576
2 4 1 0.0123615430584
2 5 0 0.000350987363731
2 5 1 0.00797788205627
2 6 0 0.00676806658902
2 6 1 0.00163666585398
2 7 0 0.0165049284468
2 7 1 0.00415575616319
2 8 0 0.00408911729774
2 8 1 0.00727753778226
2 9 0 0.00799745680462
2 9 1 0.0163289977324
2 10 0 0.00028471609228
2 10 1 0.00018927995472
2 11 0 0.000519324077273
2 11 1 0.00628950393673
2 12 0 0.00674377462337
2 12 1 0.00095116594963
2 13 0 0.000208408675021
2 13 1 0.00232748027398
2 14 0 0.00535192081495
2 14 1 0.00190159945305
2 15 0 0.0149383540819
2 15 1 0.00370949229607
2 16 0 0.000939599177189
2 16 1 0.00929471191081
2 17 0 0.000493156154973
2 17 1 0.00167634378603
2 18 0 0.00267620460331
2 18 1 0.00450445161169
2 19 0 0.000178563857092
2 19 1 0.000302991832908
2 20 0 0.0046453139229
2 20 1 0.0033487662941
2 21 0 0.0157487127676
2 21 1 0.00468559785138
3 0 0 0.000439571885453
3 0 1 0.00139025471855
3 1 0 0.00257654884773
3 1 1 0.000285978699272
3 2 0 0.0042635768044
3 2 1 0.0038611346056
3 4 0 0.00233916023069
3 4 1 0.00138414621631
3 5 0 0.000898118105255
3 5 1 0.00156040581674
3 6 0 0.00207490565264
3 6 1 0.000406011591362
3 7 0 0.00299432876029
3 7 1 0.00310431257971
3 8 0 0.00314631876867
3 8 1 0.000208901732333
3 9 0 0.00430896059158
3 9 1 0.00287174634542
3 10 0 9.40298778384e-05
3 10 1 4.58847451616e-05
3 11 0 0.00160285065242
3 11 1 0.000406985942582
3 12 0 0.000537124331751
3 12 1 0.00173427584525
3 13 0 2.79162485796e-05
3 13 1 0.00072062996242
3 14 0 0.00162087949092
3 14 1 0.000520221804082
3 15 0 0.00365893410398
3 15 1 0.00184555565402
3 16 0 0.00229821154124
3 16 1 0.000722762538765
3 17 0 0.000504780451491
3 17 1 0.000135614689509
3 18 0 0.00120607620338
3 18 1 0.000913517007619
3 19 0 9.60661890416e-06
3 19 1 0.000132539466096
3 20 0 0.00205001291723
3 20 1 0.000309687596772
3 21 0 0.00574103850555
3 21 1 0.000290781535446
4 0 0 0.0132981308821
4 0 1 0.0108913638889
4 1 0 0.0203197889665
4 1 1 0.0175215534885
4 2 0 0.0264801189584
4 2 1 0.0809249563616
4 3 0 0.00592438392628
4 3 1 0.00550833837372
4 5 0 0.0257204850731
4 5 1 0.00678010893992
4 6 0 0.0271487351161
4 6 1 0.00564788866889
4 7 0 0.0251879328592
4 7 1 0.0554333962428
4 8 0 0.0389093744659
4 8 1 0.00544514994909
4 9 0 0.0312318100757
4 9 1 0.0636939454893
4 10 0 0.00139187924451
4 10 1 0.000457729906493
4 11 0 0.00565052835493
4 11 1 0.0209186185301
4 12 0 0.0242582854697
4 12 1 0.00576861577233
4 13 0 0.00832057375057
4 13 1 0.00157487460243
4 14 0 0.0152247507668
4 14 1 0.0130796571312
4 15 0 0.008040913022
4 15 1 0.06472599612
4 16 0 0.0348712776627
4 16 1 0.00506465756435
4 17 0 0.00779343787864
4 17 1 0.000672301376358
4 18 0 0.0243767389278
4 18 1 0.0036433416642
4 19 0 0.00161431588901
4 19 1 0.000264792209994
4 20 0 0.0265759523016
4 20 1 0.00461824015745
4 21 0 0.0670646281929
4 21 1 0.0126733530241
5 0 0 0.00363931436588
5 0 1 0.00308952014212
5 1 0 0.00778368990189
5 1 1 0.00274270320111
5 2 0 0.0129837197381
5 2 1 0.0168933398679
5 3 0 0.00317458718309
5 3 1 5.67338290781e-06
5 4 0 0.00609197514344
5 4 1 0.00759976638656
5 6 0 0.007292863179
5 6 1 0.001830231617
5 7 0 0.00851161297128
5 7 1 0.0139149646177
5 8 0 0.00752089588746
5 8 1 0.00481728055154
5 9 0 0.0153729369395
5 9 1 0.0110327282365
5 10 0 0.000139139667487
5 10 1 0.000375369378513
5 11 0 0.00206304929044
5 11 1 0.00532773725156
5 12 0 0.00098128847584
5 12 1 0.00737134770516
5 13 0 0.000256923596789
5 13 1 0.00249571075821
5 14 0 0.00474540636908
5 14 1 0.00312808079492
5 15 0 0.0070350848051
5 15 1 0.0132066149029
5 16 0 0.00848024669057
5 16 1 0.00262880298543
5 17 0 0.000683976489052
5 17 1 0.00167095315995
5 18 0 0.00475938393257
5 18 1 0.00303501140243
5 19 0 0.000154583128291
5 19 1 0.000368131692709
5 20 0 0.00550149096963
5 20 1 0.00317585267237
5 21 0 0.0203533852764
5 21 1 0.00182746987063
6 0 0 0.000357733170057
6 0 1 0.000190234206943
6 1 0 0.000210204663547
6 1 1 0.000647019572453
6 2 0 0.000110037005265
6 2 1 0.00232302238474
6 3 0 0.000186363277221
6 3 1 7.26234817792e-05
6 4 0 0.000235575929507
6 4 1 0.000879420684493
6 5 0 0.000298586905857
6 5 1 0.000437652748143
6 7 0 0.000265302402562
6 7 1 0.00156102173744
6 8 0 0.000605925126685
6 8 1 0.000398842961315
6 9 0 0.00197749056052
6 9 1 0.000172873379482
6 10 0 4.12312262525e-05
6 10 1 6.68180747517e-07
6 11 0 0.000196926409385
6 11 1 0.000404947497615
6 12 0 0.000589352949074
6 12 1 9.08498609256e-05
6 13 0 3.87938784098e-05
6 13 1 0.00018536883859
6 14 0 0.000102825174734
6 14 1 0.000538357797266
6 15 0 0.00115055092997
6 15 1 0.00049784614103
6 16 0 0.000478142804927
6 16 1 0.000426530479073
6 17 0 6.13658517841e-05
6 17 1 0.000130409502216
6 18 0 0.000396227129006
6 18 1 0.000238514943994
6 19 0 4.05523448793e-06
6 19 1 3.85124155121e-05
6 20 0 6.67008109714e-05
6 20 1 0.000639944780029
6 21 0 0.00130951326299
6 21 1 0.00049680029701
7 0 0 0.0028942357538
7 0 1 0.0025435707922
7 1 0 0.00176372723391
7 1 1 0.00674301925509
7 2 0 0.0196003888985
7 2 1 0.00454430809454
7 3 0 0.0013957379572
7 3 1 0.0011743418548
7 4 0 0.00753344532767
7 4 1 0.00353132995133
7 5 0 0.000566425322089
7 5 1 0.00673971912391
7 6 0 0.00433220360092
7 6 1 0.00304048843708
7 8 0 0.00489858761602
7 8 1 0.00507232436498
7 9 0 0.0203578923716
7 9 1 0.000981449350379
7 10 0 2.60198678935e-05
7 10 1 0.000389772890106
7 11 0 0.00340080223667
7 11 1 0.00257195090333
7 12 0 0.001060068472
7 12 1 0.005689989009
7 13 0 0.00106824359219
7 13 1 0.00115625651981
7 14 0 0.0040473055414
7 14 1 0.0023155348576
7 15 0 0.0139188009514
7 15 1 0.00243922465563
7 16 0 0.00239690431419
7 16 1 0.00658070733281
7 17 0 0.00139706614178
7 17 1 0.000506034885223
7 18 0 0.00605577675063
7 18 1 0.000243146774365
7 19 0 0.000168053611436
7 19 1 0.000254370520564
7 20 0 0.00464800504063
7 20 1 0.00236445989737
7 21 0 0.0101424255113
7 21 1 0.00778269943869
8 0 0 0.00504404918121
8 0 1 0.00155336310079
8 1 0 0.00731596846631
8 1 1 0.00300483152669
8 2 0 0.00283426478995
8 2 1 0.0264592599291
8 3 0 0.00199079523537
8 3 1 0.00112735101863
8 4 0 0.0052687681659
8 4 1 0.0081555571941
8 5 0 0.0070710951035
8 5 1 0.0017930758985
8 6 0 0.0075262302512
8 6 1 0.0014186795368
8 7 0 0.00333310902658
8 7 1 0.0186554505444
8 9 0 0.00514243362702
8 9 1 0.020747497168
8 10 0 3.46923540545e-05
8 10 1 0.000469767711946
8 11 0 0.0026048915688
8 11 1 0.0046415440272
8 12 0 0.00607852342692
8 12 1 0.00211097573008
8 13 0 0.00264246864026
8 13 1 5.64034577438e-05
