s t k edges
7 3 0 7-4,4-21,21-3 2895.13996263
7 3 1 7-16,16-4,4-21,21-3 3168.53670956
7 3 2 7-16,16-1,1-0,0-17,17-13,13-3 3790.52211364
7 3 3 7-4,4-21,21-20,20-3 3408.21231223
7 3 4 7-16,16-15,15-17,17-13,13-3 4422.25457914
7 3 5 7-4,4-21,21-17,17-2,2-11,11-10,10-18,18-20,20-3 5452.67887527
16 9 0 16-5,5-9 14430.6828335
16 9 1 16-15,15-8,8-9 15404.3993486
16 9 2 16-15,15-8,8-5,5-9 15416.0924583
16 9 3 16-1,1-0,0-17,17-15,15-8,8-9 20685.9914961
16 9 4 16-5,5-8,8-9 21940.4087549
16 9 5 16-4,4-21,21-17,17-15,15-8,8-9 21157.1666511
19 4 0 19-18,18-20,20-21,21-4 3784.52821325
19 4 1 19-17,17-21,21-4 3859.85245812
19 4 2 19-17,17-0,0-1,1-16,16-4 4537.19917436
19 4 3 19-17,17-15,15-16,16-7,7-4 5254.82742828
19 4 4 19-18,18-10,10-11,11-2,2-17,17-13,13-3,3-21,21-4 4617.85896011
19 4 5 19-17,17-15,15-16,16-4 5168.93163985
17 20 0 17-13,13-3,3-20 1140.04289479
17 20 1 17-2,2-11,11-10,10-18,18-20 1911.88505083
17 20 2 17-19,19-18,18-20 2348.93164496
17 20 3 17-21,21-20 2450.35421909
17 20 4 17-0,0-1,1-16,16-4,4-21,21-20 5972.79574264
17 20 5 17-21,21-3,3-20 2629.81806702
20 7 0 20-21,21-4,4-7 3061.94421346
20 7 1 20-3,3-21,21-4,4-7 3241.40806139
20 7 2 20-3,3-13,13-17,17-0,0-1,1-16,16-7 4136.79021241
20 7 3 20-18,18-10,10-11,11-2,2-17,17-15,15-16,16-7 5540.36483394
20 7 4 20-21,21-4,4-16,16-7 3335.3409604
20 7 5 20-18,18-19,19-17,17-21,21-4,4-7 5543.45737064
18 19 0 18-19 350.332031571
18 19 1 18-10,10-11,11-2,2-17,17-19 2204.95981506
