s t h tm
0 1 0 0.000857085416027
0 1 1 0.013552533443
0 2 0 0.00261897606596
0 2 1 0.00212975368304
0 3 0 0.008211733883
0 3 1 0.005371277116
0 4 0 0.00940333987459
0 4 1 0.0255167945024
0 5 0 0.0136416058728
0 5 1 0.00552326234824
0 6 0 0.00308587723763
0 6 1 0.000976748973374
0 7 0 0.00279913439447
0 7 1 0.0106474306865
0 8 0 0.000522553239342
0 8 1 0.000379212523658
0 9 0 0.00228883847216
0 9 1 0.0126809521278
0 10 0 0.0275653598271
0 10 1 0.0107001244689
0 11 0 0.00612231336532
0 11 1 0.00969534009468
0 12 0 0.000734413203242
0 12 1 0.000327558032758
0 13 0 0.00108025073183
0 13 1 0.00238085685417
0 14 0 0.020776713358
0 14 1 0.022359119593
0 15 0 0.000247901260607
0 15 1 0.00219068368139
0 16 0 0.00441386699706
0 16 1 0.0348209901469
0 17 0 0.0215692962177
0 17 1 0.0870117685363
0 18 0 0.00854749274976
0 18 1 0.0250120313952
0 19 0 0.020897025756
0 19 1 0.017126731425
0 20 0 9.93494157037e-05
0 20 1 0.000350460543296
0 21 0 7.94107219637e-05
0 21 1 0.000655974454036
0 22 0 0.00286583508911
0 22 1 0.00171056944489
0 23 0 0.0321643151694
0 23 1 0.0116561800876
0 24 0 0.00134005777769
0 24 1 0.0272266651503
0 25 0 0.0031524838843
0 25 1 0.000532404252703
0 26 0 0.0014464269535
0 26 1 6.16401855037e-05
0 27 0 0.0102978607521
0 27 1 0.00914844905088
0 28 0 0.00169271104468
0 28 1 0.000306616859324
0 29 0 5.6034579183e-05
0 29 1 0.000353317387817
0 30 0 0.00321686329956
0 30 1 0.00157847712644
0 31 0 5.25174085336e-05
0 31 1 0.0909230342565
0 32 0 0.05317263571
0 32 1 0.000940072171039
1 0 0 1.75377243241e-05
1 0 1 0.00102095127968
1 2 0 9.90097105257e-05
1 2 1 0.000287766513474
1 3 0 0.000209082772828
1 3 1 0.000897231121172
1 4 0 0.00237534270182
1 4 1 0.00046884478018
1 5 0 0.000768962223717
1 5 1 0.000791984756283
1 6 0 0.000225503209653
1 6 1 0.000105391010347
1 7 0 0.000477819288899
1 7 1 0.000617381310101
1 8 0 3.69980522239e-05
1 8 1 3.64492847761e-05
1 9 0 0.00103714618426
1 9 1 0.000182118626744
1 10 0 0.00121058673183
1 10 1 0.00190607399617
1 11 0 0.00127952210794
1 11 1 8.79973706487e-06
1 12 0 1.80344896704e-05
1 12 1 6.84613203296e-05
1 13 0 5.86591248064e-05
1 13 1 0.000223242392194
1 14 0 0.00269818235898
1 14 1 0.00081516025202
1 15 0 0.000152962915341
1 15 1 4.56558156588e-05
1 16 0 1.85010020298e-05
1 16 1 0.00317711354897
1 17 0 0.00148993076423
1 17 1 0.00735381828277
1 18 0 0.00181344038172
1 18 1 0.000919927635276
1 19 0 0.00135365644824
1 19 1 0.00174331600376
1 20 0 1.85236942004e-05
1 20 1 1.81125867996e-05
1 21 0 5.46356840219e-05
1 21 1 5.26022797811e-06
1 22 0 8.83012627366e-05
1 22 1 0.000284439356263
1 23 0 0.00148269177844
1 23 1 0.00208641545056
1 24 0 0.000540199752272
1 24 1 0.00178651282173
1 25 0 0.000155955418109
1 25 1 0.000144172656891
1 26 0 4.74850730614e-05
1 26 1 7.53445139386e-05
1 27 0 0.00152200929748
1 27 1 6.18606355215e-05
1 28 0 0.000139779135642
1 28 1 2.30628323575e-05
1 29 0 2.36799656561e-05
1 29 1 9.66107834392e-06
1 30 0 0.000345645500537
1 30 1 4.49270864628e-05
1 31 0 0.00100614427424
1 31 1 0.00640366470276
1 32 0 0.00382282166842
1 32 1 0.000584569342583
2 0 0 0.00131711248606
2 0 1 0.00204760420294
2 1 0 0.00334378225042
2 1 1 0.000458824440585
2 3 0 0.00357546528401
2 3 1 9.00485498967e-06
2 4 0 0.00651052155071
2 4 1 0.00270467962429
2 5 0 0.00208650972238
2 5 1 0.00297097700562
2 6 0 0.000586006523937
2 6 1 0.000486094672063
2 7 0 0.00231734954188
2 7 1 0.00123111338812
2 8 0 8.54989579936e-05
2 8 1 0.000152471287006
2 9 0 0.00175818979026
2 9 1 0.00219224265774
2 10 0 0.00548331506019
2 10 1 0.00461470266281
2 11 0 0.00217528408601
2 11 1 0.00199889397399
2 12 0 0.000103201656851
2 12 1 0.000177045792149
2 13 0 0.000852809686829
2 13 1 6.05545731711e-05
2 14 0 0.00696877466636
2 14 1 0.00441449706464
2 15 0 0.00028963257366
2 15 1 0.00035389446934
2 16 0 0.00211008165606
2 16 1 0.00824374739094
2 17 0 0.0205584652631
2 17 1 0.00809538654288
2 18 0 0.00425973716234
2 18 1 0.00459640763366
2 19 0 0.00123666026334
2 19 1 0.00879756721266
2 20 0 0.000111809637263
2 20 1 6.89234773713e-06
2 21 0 8.83181292507e-05
2 21 1 0.000105745337749
2 22 0 0.000708551930361
2 22 1 0.000499132094639
2 23 0 0.00712731274966
2 23 1 0.00443663700534
2 24 0 0.00367227787425
2 24 1 0.00386629846275
2 25 0 0.00051900032375
2 25 1 0.00045341819925
2 26 0 0.000373308318675
2 26 1 2.46609993249e-05
2 27 0 0.00326458417443
2 27 1 0.00186717319557
2 28 0 0.000153454943056
2 28 1 0.000374154963944
2 29 0 9.13699359105e-05
2 29 1 1.66554420895e-05
2 30 0 5.11059823368e-05
2 30 1 0.00121435383066
2 31 0 0.0220803932711
2 31 1 0.00192747570093
2 32 0 0.0135149332506
2 32 1 0.000765065900352
3 0 0 0.000255281262575
3 0 1 0.000737919141425
3 1 0 0.000269808600109
3 1 1 0.000852648607891
3 2 0 5.46977295156e-05
3 2 1 0.000315211147484
3 4 0 0.0017723577262
3 4 1 0.000947794480803
3 5 0 0.000886654953418
3 5 1 0.000606218986582
3 6 0 0.000165192658011
3 6 1 0.000151271234989
3 7 0 0.00101649026412
3 7 1 3.0948536883e-05
3 8 0 2.23034045276e-05
3 8 1 4.79408874724e-05
3 9 0 0.000399230524103
3 9 1 0.000766862036897
3 10 0 0.00045169005205
3 10 1 0.00252905281795
3 11 0 0.000559593158708
3 11 1 0.000672544854292
3 12 0 7.95201538161e-05
3 12 1 3.20356618392e-06
3 13 0 6.11693219845e-05
3 13 1 0.000208438445015
3 14 0 9.52508748415e-05
3 14 1 0.00326487454516
3 15 0 0.000122465285192
3 15 1 6.74916648078e-05
3 16 0 0.00179435853001
3 16 1 0.00126189497999
3 17 0 0.00398837882282
3 17 1 0.00446969352418
3 18 0 0.00167265527148
3 18 1 0.000941510318517
3 19 0 0.00208365494322
3 19 1 0.000878258258785
3 20 0 1.53509435991e-05
3 20 1 1.96876254009e-05
3 21 0 2.88737391442e-05
3 21 1 2.84101068558e-05
3 22 0 0.000266794037973
3 22 1 8.96913280274e-05
3 23 0 0.0014388060026
3 23 1 0.0019746521364
3 24 0 0.00185068183073
3 24 1 0.000374562596269
3 25 0 0.000278349145201
3 25 1 8.69031679934e-06
3 26 0 0.000105319496927
3 26 1 1.2153480073e-05
3 27 0 0.000955406678512
3 27 1 0.000559390543488
3 28 0 0.000136918441955
3 28 1 1.8821973045e-05
3 29 0 3.10178461564e-05
3 29 1 8.69191843628e-07
3 30 0 8.02588946906e-05
3 30 1 0.000293280786309
3 31 0 0.00632792706781
3 31 1 0.000758739466194
3 32 0 0.000610647679174
3 32 1 0.00360453660883
