s t k edges
7 3 0 7-22,22-30,30-2,2-3 2304.27396217
7 3 1 7-4,4-8,8-32,32-23,23-30,30-2,2-3 2314.72596448
7 3 2 7-22,22-0,0-3 2824.17652334
7 3 3 7-14,14-6,6-1,1-0,0-3 3573.532858
7 3 4 7-22,22-15,15-17,17-5,5-24,24-30,30-2,2-3 2937.09012418
7 3 5 7-4,4-8,8-32,32-31,31-12,12-23,23-30,30-2,2-3 2668.9486926
31 6 0 31-32,32-8,8-4,4-7,7-14,14-6 2667.53697258
31 6 1 31-12,12-23,23-30,30-22,22-7,7-14,14-6 3223.74155621
31 6 2 31-32,32-8,8-17,17-15,15-22,22-0,0-1,1-6 3291.22783648
31 6 3 31-12,12-23,23-30,30-2,2-3,3-0,0-1,1-6 3574.94457801
31 6 4 31-32,32-23,23-30,30-22,22-7,7-14,14-6 3479.52544087
31 6 5 31-32,32-8,8-17,17-15,15-16,16-22,22-0,0-1,1-6 3438.16839639
5 31 0 5-23,23-12,12-31 1034.87970503
5 31 1 5-17,17-8,8-32,32-31 1082.162216
5 31 2 5-23,23-32,32-31 1290.66358969
5 31 3 5-24,24-30,30-29,29-31 2527.5926291
5 31 4 5-17,17-15,15-22,22-30,30-23,23-12,12-31 2656.57663365
5 31 5 5-23,23-30,30-29,29-31 2347.60312231
20 25 0 20-19,19-0,0-3,3-26,26-25 4111.49053842
20 25 1 20-21,21-0,0-3,3-26,26-25 4255.38977048
20 25 2 20-19,19-0,0-22,22-30,30-29,29-28,28-25 4735.51399479
20 25 3 20-6,6-14,14-7,7-4,4-8,8-32,32-31,31-29,29-28,28-25 5117.95374264
20 25 4 20-6,6-1,1-0,0-3,3-26,26-25 4836.57466026
20 25 5 20-21,21-0,0-22,22-30,30-29,29-28,28-25 4879.41322686
16 9 0 16-22,22-11,11-10,10-9 1703.31740337
16 9 1 16-15,15-22,22-11,11-10,10-9 1829.58179459
16 9 2 16-22,22-13,13-9 2014.60570614
16 9 3 16-18,18-13,13-9 2453.27668924
16 9 4 16-22,22-0,0-9 2260.2082974
16 9 5 16-15,15-22,22-7,7-14,14-6,6-1,1-0,0-9 3828.36522081
6 28 0 6-14,14-7,7-4,4-8,8-32,32-31,31-29,29-28 3897.03982411
6 28 1 6-14,14-7,7-22,22-30,30-29,29-28 4053.56482545
6 28 2 6-1,1-0,0-3,3-26,26-25,25-28 4787.04416289
6 28 3 6-1,1-0,0-22,22-30,30-29,29-28 4239.68419811
6 28 4 6-1,1-0,0-3,3-26,26-27,27-29,29-28 4484.59185207
6 28 5 6-14,14-7,7-22,22-15,15-17,17-5,5-23,23-30,30-29,29-28 4506.39148067
21 28 0 21-0,0-22,22-30,30-29,29-28 4137.15275484
21 28 1 21-20,20-19,19-0,0-22,22-30,30-29,29-28 4306.39104566
21 28 2 21-0,0-3,3-26,26-25,25-28 4684.51271962
21 28 3 21-20,20-6,6-14,14-7,7-4,4-8,8-32,32-31,31-29,29-28 4688.8307935
21 28 4 21-0,0-3,3-26,26-27,27-29,29-28 4382.0604088
21 28 5 21-0,0-3,3-2,2-30,30-29,29-28 4302.23640398
19 4 0 19-0,0-22,22-7,7-4 2176.78442646
19 4 1 19-20,20-6,6-14,14-7,7-4 2298.19435805
19 4 2 19-0,0-22,22-15,15-17,17-8,8-4 3168.23185673
